STATE,TOTAL_VOTES,DEM_VOTES,DEM_PERCENT,DEM_EV,REP_VOTES,REP_PERCENT,REP_EV,OTH_VOTES,OTH_PERCENT,OTH_EV
Alabama,2265090,772412,34.10%,0,1462616,64.57%,9,30062,1.33%,0
Alaska,338177,140026,41.41%,0,184458,54.54%,3,13693,4.05%,0
Arizona,3390161,1582860,46.69%,0,1770242,52.22%,11,37059,1.09%,0
Arkansas,1182676,396905,33.56%,0,759241,64.20%,6,26530,2.24%,0
California,15865475,9276179,58.47%,54,6081697,38.33%,0,507599,3.20%,0
Colorado,3192745,1728159,54.13%,10,1377441,43.14%,0,87145,2.73%,0
Connecticut,1759010,992053,56.40%,7,736918,41.89%,0,30039,1.71%,0
Delaware,511697,289758,56.63%,3,214351,41.89%,0,7588,1.48%,0
District of Columbia,325869,294185,90.28%,3,21076,6.47%,0,10608,3.26%,0
Florida,10893752,4683038,42.99%,0,6110125,56.09%,30,100589,0.92%,0
Georgia,5250047,2548017,48.53%,0,2663117,50.73%,16,38913,0.74%,0
Hawaii,516701,313044,60.59%,4,193661,37.48%,0,9996,1.93%,0
Idaho,904812,274972,30.39%,0,605246,66.89%,4,24594,2.72%,0
Illinois,5633310,3062863,54.37%,19,2449079,43.47%,0,121368,2.15%,0
Indiana,2936677,1163603,39.62%,0,1720347,58.58%,11,52727,1.80%,0
Iowa,1663506,707278,42.52%,0,927019,55.73%,6,29209,1.76%,0
Kansas,1327591,544853,41.04%,0,758802,57.16%,6,23936,1.80%,0
Kentucky,2074530,704043,33.94%,0,1337494,64.47%,8,32993,1.59%,0
Louisiana,2006975,766870,38.21%,0,1208505,60.22%,8,31600,1.57%,0
Maine,830794,435652,52.44%,2,377977,45.50%,0,17165,2.07%,0
CD-1,433356,258863,59.73%,1,165214,38.12%,0,9279,2.14%,0
CD-2,397438,176789,44.48%,0,212763,53.53%,1,7886,1.98%,0
Maryland,3038334,1902577,62.62%,10,1035550,34.08%,0,100207,3.30%,0
Massachusetts,3473668,2126518,61.22%,11,1251303,36.02%,0,95847,2.76%,0
Michigan,5664186,2736533,48.31%,0,2816636,49.73%,15,111017,1.96%,0
Minnesota,3253920,1656979,50.92%,10,1519032,46.68%,0,77909,2.39%,0
Mississippi,1228008,466668,38.00%,0,747744,60.89%,6,13596,1.11%,0
Missouri,2995327,1200599,40.08%,0,1751986,58.49%,10,42742,1.43%,0
Montana,602963,231906,38.46%,0,352079,58.39%,4,18978,3.15%,0
Nebraska,947159,369995,39.06%,0,564816,59.63%,2,12348,1.30%,0
CD-1,318304,136153,42.77%,0,177666,55.82%,1,4485,1.41%,0
CD-2,316690,163541,51.64%,1,148905,47.02%,0,4244,1.34%,0
CD-3,312165,70301,22.52%,0,238245,76.32%,1,3619,1.16%,0
Nevada,1484840,705197,47.49%,0,751205,50.59%,6,28438,1.92%,0
New Hampshire,826189,418488,50.65%,4,395523,47.87%,0,12178,1.47%,0
New Jersey,4272725,2220713,51.97%,14,1968215,46.06%,0,83797,1.96%,0
New Mexico,923403,478802,51.85%,5,423391,45.85%,0,21210,2.30%,0
New York,8262495,4619195,55.91%,28,3578899,43.31%,0,64401,0.78%,0
North Carolina,5699141,2715375,47.65%,0,2898423,50.86%,16,85343,1.50%,0
North Dakota,368155,112327,30.51%,0,246505,66.96%,3,9323,2.53%,0
Ohio,5767788,2533699,43.93%,0,3180116,55.14%,17,53973,0.94%,0
Oklahoma,1566173,499599,31.90%,0,1036213,66.16%,7,30361,1.94%,0
Oregon,2244493,1240600,55.27%,8,919480,40.97%,0,84413,3.76%,0
Pennsylvania,7034206,3423042,48.66%,0,3543308,50.37%,19,67856,0.96%,0
Rhode Island,513386,285156,55.54%,4,214406,41.76%,0,13824,2.69%,0
South Carolina,2548140,1028452,40.36%,0,1483747,58.23%,9,35941,1.41%,0
South Dakota,428922,146859,34.24%,0,272081,63.43%,3,9982,2.33%,0
Tennessee,3063942,1056265,34.47%,0,1966865,64.19%,11,40812,1.33%,0
Texas,11388674,4835250,42.46%,0,6393597,56.14%,40,159827,1.40%,0
Utah,1488494,562566,37.79%,0,883818,59.38%,6,42110,2.83%,0
Vermont,369422,235791,63.83%,3,119395,32.32%,0,14236,3.85%,0
Virginia,4505941,2335395,51.83%,13,2075085,46.05%,0,95461,2.12%,0
Washington,3924243,2245849,57.23%,12,1530923,39.01%,0,147471,3.76%,0
West Virginia,762390,214309,28.11%,0,533556,69.98%,4,14525,1.91%,0
Wisconsin,3415787,1668229,48.84%,0,1697626,49.70%,10,49932,1.46%,0
Wyoming,269048,69527,25.84%,0,192633,71.60%,3,6888,2.56%,0
