Case_Year,Case Number,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2024,77013,11/26/2023 07:57:00 PM,Bronx,3,9,43,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2024,77052,12/14/2023 04:46:00 AM,Queens,,9,102,Outside Rubbish,Incendiary,Incendiary
2024,70012,12/16/2023 08:38:00 PM,Manhattan,2,2,6,Outside Rubbish,Incendiary,Incendiary
2024,41204,12/31/2023 11:46:00 PM,Queens,,2,108,MD Residential Structure,Electrical Wiring,Electrical
2024,30000,01/01/2024 12:04:00 AM,Brooklyn,43,13,62,PD Residential Structure,Electrical Wiring,Electrical
2024,20000,01/01/2024 12:05:00 AM,Bronx,,12,47,MD Residential Structure,Stove/Cooking - Stove,Cooking
2024,20001,01/01/2024 12:15:00 AM,Bronx,,5,46,Vehicle,Incendiary,Incendiary
2024,40000,01/01/2024 01:02:00 AM,Queens,,3,115,MD Residential Structure,Incense,Hot Objects
2024,10000,01/01/2024 01:37:00 AM,Manhattan,,1,14,No Fire,Preliminary Investigation Only,Other
2024,77000,01/01/2024 01:37:00 AM,Manhattan,7,4,14,Vehicle,Preliminary Investigation Only,Other
2024,20002,01/01/2024 02:12:00 AM,Bronx,,12,47,Vehicle,Incendiary,Incendiary
2024,77004,01/01/2024 02:30:00 AM,Bronx,14,1,40,MD Residential Structure,Incendiary - Attempted Arson,Incendiary
2024,77001,01/01/2024 03:07:00 AM,Manhattan,,Out of NYC,25,Vehicle,Other Motor,Motors
2024,20003,01/01/2024 03:13:00 AM,Bronx,,9,43,Vehicle,Preliminary Investigation Only,Other
2024,40001,01/01/2024 06:24:00 AM,Queens,,3,110,Vehicle,Preliminary Investigation Only,Other
2024,20004,01/01/2024 07:30:00 AM,Bronx,,8,50,MD Residential Structure,Incendiary,Incendiary
2024,77002,01/01/2024 07:39:00 AM,Manhattan,16,9,30,MFA,MFA,No Fire
2024,40002,01/01/2024 09:27:00 AM,Queens,,6,112,PD Residential Structure,Chimney/Flues,Hot Objects
2024,30001,01/01/2024 09:30:00 AM,Brooklyn,43,13,60,Vehicle,Preliminary Investigation Only,Other
2024,30002,01/01/2024 09:33:00 AM,Brooklyn,43,13,60,Vehicle,Incendiary,Incendiary
2024,40003,01/01/2024 12:37:00 PM,Queens,47,14,101,Vehicle,Preliminary Investigation Only,Other
2024,30003,01/01/2024 12:47:00 PM,Brooklyn,,14,70,MD Residential Structure,Incendiary - Fireworks,Incendiary
