Manufacturer,Sales_in_thousands,__year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor
Acura,21.630,21.986,30.600,2.800,181.300,108.000,69.700,187.300,3.335,16.100,25.000,80.347
Audi,13.519,28.270,39.980,2.933,220.000,108.100,72.767,189.400,3.487,19.533,23.333,94.000
BMW,13.379,32.400,36.150,2.800,193.000,109.350,69.700,182.000,3.335,17.550,24.500,82.938
Buick,60.505,14.941,26.781,3.625,206.250,111.000,73.400,199.400,3.570,17.750,24.250,84.225
Cadillac,27.150,22.158,36.857,4.067,250.000,110.233,73.433,200.867,3.864,18.500,22.000,103.701
Chevrolet,55.796,13.231,20.164,3.013,170.000,103.113,69.938,183.338,2.925,15.288,28.625,68.692
Chrysler,23.509,14.046,22.280,2.640,183.200,108.740,71.740,197.340,3.245,16.380,24.800,74.080
Dodge,80.089,17.359,24.171,3.656,195.889,114.744,75.044,194.878,3.554,21.711,20.444,79.561
Ford,184.697,12.960,21.921,3.460,176.400,113.670,73.440,197.350,3.549,19.650,22.100,71.749
Honda,118.535,15.557,20.277,2.520,160.400,107.560,70.460,184.180,3.327,17.080,25.000,65.211
Hyundai,45.775,7.532,12.166,1.967,126.667,100.933,68.067,175.367,2.646,14.533,27.667,50.007
Infiniti,23.713,19.690,29.465,3.000,227.000,108.300,70.200,193.700,3.342,18.500,25.000,92.437
Jeep,97.718,15.353,20.992,3.500,168.333,100.233,69.467,167.000,3.373,19.833,18.667,68.548
Lexus,14.382,33.142,41.105,3.333,241.667,109.167,71.133,192.033,3.634,20.267,22.667,102.201
Lincoln,31.355,21.125,41.205,4.600,245.000,113.350,75.900,211.900,3.995,19.500,21.500,103.749
Mercedes-B,16.520,44.119,58.488,3.700,245.750,109.475,70.725,186.750,3.833,20.450,23.000,110.447
Mercury,39.667,13.970,20.748,3.150,163.833,109.983,72.500,194.383,3.470,17.833,23.667,66.772
Mitsubishi,25.842,14.262,22.167,2.800,165.143,103.114,69.029,182.300,3.244,18.286,22.857,67.691
Nissan,56.094,13.612,23.167,2.760,168.600,105.940,70.660,185.780,3.367,17.720,24.000,69.289
Oldsmobile,15.045,16.574,27.829,3.700,193.750,111.950,70.950,195.000,3.771,19.050,22.000,80.228
Plymouth,20.710,9.858,15.857,2.133,138.000,108.767,74.067,182.333,3.010,16.167,26.667,55.483
Pontiac,66.192,13.824,22.412,3.440,185.000,106.980,71.720,192.120,3.295,16.500,25.200,74.976
Porsche,4.043,56.475,62.473,3.167,272.333,93.467,69.700,173.333,2.962,17.000,22.000,121.248
Saturn,36.796,10.193,12.503,1.900,108.000,102.400,66.400,177.933,2.384,12.100,32.333,43.517
Toyota,84.386,16.658,21.935,2.575,156.500,103.425,69.113,180.400,3.133,17.375,25.625,64.486
Volkswagen,31.950,14.345,18.058,1.960,122.000,100.100,68.020,168.680,2.901,14.740,26.200,50.628
