hour_of_day,money,coffee_name,Time_of_Day,Weekday,Month_name
10,38.7,Latte,Morning,Fri,Mar
12,38.7,Hot Chocolate,Afternoon,Fri,Mar
12,38.7,Hot Chocolate,Afternoon,Fri,Mar
13,28.9,Americano,Afternoon,Fri,Mar
13,38.7,Latte,Afternoon,Fri,Mar
15,33.8,Americano with Milk,Afternoon,Fri,Mar
16,38.7,Hot Chocolate,Afternoon,Fri,Mar
18,33.8,Americano with Milk,Night,Fri,Mar
19,38.7,Cocoa,Night,Fri,Mar
19,33.8,Americano with Milk,Night,Fri,Mar
19,33.8,Americano with Milk,Night,Fri,Mar
10,28.9,Americano,Morning,Sat,Mar
10,33.8,Americano with Milk,Morning,Sat,Mar
11,33.8,Americano with Milk,Morning,Sat,Mar
14,28.9,Americano,Afternoon,Sat,Mar
16,33.8,Americano with Milk,Afternoon,Sat,Mar
17,28.9,Americano,Night,Sat,Mar
10,38.7,Latte,Morning,Sun,Mar
11,28.9,Cortado,Morning,Sun,Mar
12,28.9,Americano,Afternoon,Sun,Mar
13,38.7,Hot Chocolate,Afternoon,Sun,Mar
17,38.7,Cocoa,Night,Sun,Mar
17,28.9,Cortado,Night,Sun,Mar
18,33.8,Americano with Milk,Night,Sun,Mar
18,33.8,Americano with Milk,Night,Sun,Mar
18,38.7,Hot Chocolate,Night,Sun,Mar
10,38.7,Latte,Morning,Mon,Mar
10,38.7,Latte,Morning,Mon,Mar
11,33.8,Americano with Milk,Morning,Mon,Mar
14,24.0,Espresso,Afternoon,Mon,Mar
9,38.7,Latte,Morning,Tue,Mar
14,38.7,Latte,Afternoon,Tue,Mar
17,38.7,Latte,Night,Tue,Mar
17,38.7,Hot Chocolate,Night,Tue,Mar
17,38.7,Cocoa,Night,Tue,Mar
17,38.7,Hot Chocolate,Night,Tue,Mar
17,38.7,Hot Chocolate,Night,Tue,Mar
17,28.9,Cortado,Night,Tue,Mar
18,38.7,Hot Chocolate,Night,Tue,Mar
13,28.9,Americano,Afternoon,Wed,Mar
13,28.9,Cortado,Afternoon,Wed,Mar
14,38.7,Cappuccino,Afternoon,Wed,Mar
14,38.7,Cappuccino,Afternoon,Wed,Mar
10,38.7,Hot Chocolate,Morning,Thu,Mar
11,38.7,Latte,Morning,Thu,Mar
15,28.9,Americano,Afternoon,Thu,Mar
15,33.8,Americano with Milk,Afternoon,Thu,Mar
10,28.9,Cortado,Morning,Fri,Mar
12,38.7,Cappuccino,Afternoon,Fri,Mar
13,28.9,Americano,Afternoon,Fri,Mar
14,28.9,Americano,Afternoon,Fri,Mar
14,28.9,Americano,Afternoon,Fri,Mar
14,33.8,Americano with Milk,Afternoon,Fri,Mar
18,38.7,Latte,Night,Fri,Mar
18,38.7,Latte,Night,Fri,Mar
12,24.0,Espresso,Afternoon,Sat,Mar
12,28.9,Americano,Afternoon,Sat,Mar
12,38.7,Cappuccino,Afternoon,Sat,Mar
12,28.9,Americano,Afternoon,Sat,Mar
