Product,Market Size,State,Profit,Sales
Amaretto,Major Market,Colorado,94,219
Amaretto,Major Market,Colorado,105,243
Amaretto,Major Market,Colorado,90,213
Amaretto,Major Market,Colorado,96,223
Amaretto,Major Market,Colorado,111,256
Amaretto,Major Market,Colorado,121,276
Amaretto,Major Market,Colorado,111,256
Amaretto,Major Market,Colorado,133,301
Amaretto,Major Market,Colorado,134,302
Amaretto,Major Market,Colorado,133,302
Amaretto,Major Market,Colorado,128,290
Amaretto,Major Market,Colorado,134,302
Amaretto,Major Market,Colorado,146,245
Amaretto,Major Market,Colorado,156,259
Amaretto,Major Market,Colorado,134,227
Amaretto,Major Market,Colorado,142,238
Amaretto,Major Market,Colorado,153,254
Amaretto,Major Market,Colorado,167,274
Amaretto,Major Market,Colorado,153,254
Amaretto,Major Market,Colorado,184,298
Amaretto,Major Market,Colorado,199,322
Amaretto,Major Market,Colorado,197,322
Amaretto,Major Market,Colorado,190,309
Amaretto,Major Market,Colorado,199,322
Colombian,Major Market,Colorado,68,190
Colombian,Major Market,Colorado,68,190
Colombian,Major Market,Colorado,69,193
Colombian,Major Market,Colorado,63,178
Colombian,Major Market,Colorado,68,190
Colombian,Major Market,Colorado,68,190
Colombian,Major Market,Colorado,71,199
Colombian,Major Market,Colorado,39,120
Colombian,Major Market,Colorado,42,132
Colombian,Major Market,Colorado,27,90
Colombian,Major Market,Colorado,27,92
Colombian,Major Market,Colorado,29,99
Colombian,Major Market,Colorado,106,213
Colombian,Major Market,Colorado,101,202
Colombian,Major Market,Colorado,102,206
Colombian,Major Market,Colorado,93,190
Colombian,Major Market,Colorado,94,188
Colombian,Major Market,Colorado,94,188
Colombian,Major Market,Colorado,98,197
Colombian,Major Market,Colorado,54,119
Colombian,Major Market,Colorado,62,141
Colombian,Major Market,Colorado,40,96
Colombian,Major Market,Colorado,40,98
Colombian,Major Market,Colorado,43,106
Green Tea,Major Market,Colorado,30,100
Green Tea,Major Market,Colorado,30,100
Green Tea,Major Market,Colorado,29,98
Green Tea,Major Market,Colorado,32,106
Green Tea,Major Market,Colorado,30,99
Green Tea,Major Market,Colorado,29,99
Green Tea,Major Market,Colorado,27,94
Green Tea,Major Market,Colorado,53,155
Green Tea,Major Market,Colorado,47,140
Green Tea,Major Market,Colorado,74,205
Green Tea,Major Market,Colorado,70,200
Green Tea,Major Market,Colorado,66,185
Green Tea,Major Market,Colorado,47,112
Green Tea,Major Market,Colorado,45,107
Green Tea,Major Market,Colorado,43,104
Green Tea,Major Market,Colorado,47,113
Green Tea,Major Market,Colorado,41,98
Green Tea,Major Market,Colorado,40,98
Green Tea,Major Market,Colorado,37,93
Green Tea,Major Market,Colorado,73,154
Green Tea,Major Market,Colorado,70,149
Green Tea,Major Market,Colorado,110,218
Green Tea,Major Market,Colorado,104,213
Green Tea,Major Market,Colorado,98,197
Caffe Mocha,Major Market,Colorado,54,134
Caffe Mocha,Major Market,Colorado,80,189
Caffe Mocha,Major Market,Colorado,84,198
Caffe Mocha,Major Market,Colorado,84,198
Caffe Mocha,Major Market,Colorado,88,210
Caffe Mocha,Major Market,Colorado,99,230
Caffe Mocha,Major Market,Colorado,98,230
Caffe Mocha,Major Market,Colorado,105,245
Caffe Mocha,Major Market,Colorado,84,199
Caffe Mocha,Major Market,Colorado,79,187
Caffe Mocha,Major Market,Colorado,48,123
Caffe Mocha,Major Market,Colorado,53,133
Caffe Mocha,Major Market,Colorado,84,150
Caffe Mocha,Major Market,Colorado,119,201
Caffe Mocha,Major Market,Colorado,125,211
Caffe Mocha,Major Market,Colorado,125,211
Caffe Mocha,Major Market,Colorado,121,208
Caffe Mocha,Major Market,Colorado,137,228
Caffe Mocha,Major Market,Colorado,135,228
Caffe Mocha,Major Market,Colorado,145,243
Caffe Mocha,Major Market,Colorado,125,212
Caffe Mocha,Major Market,Colorado,117,199
Caffe Mocha,Major Market,Colorado,71,131
Caffe Mocha,Major Market,Colorado,79,142
Decaf Espresso,Major Market,Colorado,53,180
Decaf Espresso,Major Market,Colorado,59,189
Decaf Espresso,Major Market,Colorado,54,180
Decaf Espresso,Major Market,Colorado,48,170
Decaf Espresso,Major Market,Colorado,44,160
Decaf Espresso,Major Market,Colorado,33,135
Decaf Espresso,Major Market,Colorado,31,131
Decaf Espresso,Major Market,Colorado,30,131
Decaf Espresso,Major Market,Colorado,39,150
Decaf Espresso,Major Market,Colorado,56,182
Decaf Espresso,Major Market,Colorado,58,189
Decaf Espresso,Major Market,Colorado,47,168
Decaf Espresso,Major Market,Colorado,83,201
Decaf Espresso,Major Market,Colorado,88,201
Decaf Espresso,Major Market,Colorado,80,192
Decaf Espresso,Major Market,Colorado,71,181
Decaf Espresso,Major Market,Colorado,61,159
Decaf Espresso,Major Market,Colorado,46,134
Decaf Espresso,Major Market,Colorado,43,130
Decaf Espresso,Major Market,Colorado,41,130
Decaf Espresso,Major Market,Colorado,58,160
Decaf Espresso,Major Market,Colorado,83,194
Decaf Espresso,Major Market,Colorado,86,201
Decaf Espresso,Major Market,Colorado,70,179
Chamomile,Major Market,Colorado,99,341
Chamomile,Major Market,Colorado,99,340
Chamomile,Major Market,Colorado,94,325
Chamomile,Major Market,Colorado,94,325
Chamomile,Major Market,Colorado,83,298
Chamomile,Major Market,Colorado,83,298
Chamomile,Major Market,Colorado,81,291
Chamomile,Major Market,Colorado,82,291
Chamomile,Major Market,Colorado,87,310
Chamomile,Major Market,Colorado,92,322
Chamomile,Major Market,Colorado,107,363
Chamomile,Major Market,Colorado,87,306
Chamomile,Major Market,Colorado,154,382
Chamomile,Major Market,Colorado,147,362
Chamomile,Major Market,Colorado,140,346
Chamomile,Major Market,Colorado,140,346
Chamomile,Major Market,Colorado,115,295
Chamomile,Major Market,Colorado,115,295
Chamomile,Major Market,Colorado,112,288
Chamomile,Major Market,Colorado,113,288
Chamomile,Major Market,Colorado,129,330
Chamomile,Major Market,Colorado,137,343
Chamomile,Major Market,Colorado,159,387
Chamomile,Major Market,Colorado,129,326
Lemon,Major Market,Colorado,0,150
Lemon,Major Market,Colorado,-3,129
Lemon,Major Market,Colorado,-4,125
Lemon,Major Market,Colorado,-4,125
Lemon,Major Market,Colorado,-3,128
Lemon,Major Market,Colorado,-7,107
Lemon,Major Market,Colorado,-10,95
Lemon,Major Market,Colorado,-10,89
Lemon,Major Market,Colorado,-2,126
Lemon,Major Market,Colorado,-5,122
Lemon,Major Market,Colorado,-4,125
Lemon,Major Market,Colorado,-6,112
Lemon,Major Market,Colorado,0,168
Lemon,Major Market,Colorado,-4,137
Lemon,Major Market,Colorado,-6,133
Lemon,Major Market,Colorado,-6,133
Lemon,Major Market,Colorado,-4,127
Lemon,Major Market,Colorado,-10,106
Lemon,Major Market,Colorado,-14,94
Lemon,Major Market,Colorado,-14,88
Lemon,Major Market,Colorado,-3,134
Lemon,Major Market,Colorado,-7,130
Lemon,Major Market,Colorado,-6,133
Lemon,Major Market,Colorado,-9,119
Mint,Major Market,Colorado,33,140
Mint,Major Market,Colorado,33,140
Mint,Major Market,Colorado,31,134
Mint,Major Market,Colorado,29,129
Mint,Major Market,Colorado,26,123
Mint,Major Market,Colorado,24,118
Mint,Major Market,Colorado,21,110
Mint,Major Market,Colorado,20,108
Mint,Major Market,Colorado,27,125
Mint,Major Market,Colorado,26,123
Mint,Major Market,Colorado,32,138
Mint,Major Market,Colorado,29,127
Mint,Major Market,Colorado,51,157
Mint,Major Market,Colorado,49,149
Mint,Major Market,Colorado,46,143
Mint,Major Market,Colorado,43,137
Mint,Major Market,Colorado,36,122
Mint,Major Market,Colorado,33,117
Mint,Major Market,Colorado,29,109
Mint,Major Market,Colorado,28,107
Mint,Major Market,Colorado,40,133
Mint,Major Market,Colorado,39,131
Mint,Major Market,Colorado,47,147
Mint,Major Market,Colorado,43,135
Earl Grey,Major Market,Colorado,36,140
Earl Grey,Major Market,Colorado,34,136
Earl Grey,Major Market,Colorado,32,135
Earl Grey,Major Market,Colorado,34,138
Earl Grey,Major Market,Colorado,27,122
Earl Grey,Major Market,Colorado,27,117
Earl Grey,Major Market,Colorado,23,109
Earl Grey,Major Market,Colorado,16,91
Earl Grey,Major Market,Colorado,25,113
Earl Grey,Major Market,Colorado,27,118
Earl Grey,Major Market,Colorado,29,125
Earl Grey,Major Market,Colorado,26,116
Earl Grey,Major Market,Colorado,56,157
Earl Grey,Major Market,Colorado,50,145
Earl Grey,Major Market,Colorado,47,144
Earl Grey,Major Market,Colorado,50,147
Earl Grey,Major Market,Colorado,37,121
Earl Grey,Major Market,Colorado,37,116
Earl Grey,Major Market,Colorado,32,108
Earl Grey,Major Market,Colorado,22,90
Earl Grey,Major Market,Colorado,37,120
Earl Grey,Major Market,Colorado,40,126
Earl Grey,Major Market,Colorado,43,133
Earl Grey,Major Market,Colorado,39,124
Amaretto,Small Market,Iowa,11,45
Amaretto,Small Market,Iowa,10,45
Amaretto,Small Market,Iowa,10,45
Amaretto,Small Market,Iowa,11,47
Amaretto,Small Market,Iowa,12,49
Amaretto,Small Market,Iowa,18,58
Amaretto,Small Market,Iowa,17,61
Amaretto,Small Market,Iowa,19,63
Amaretto,Small Market,Iowa,13,48
Amaretto,Small Market,Iowa,15,52
Amaretto,Small Market,Iowa,8,39
Amaretto,Small Market,Iowa,10,41
Amaretto,Small Market,Iowa,17,50
Amaretto,Small Market,Iowa,15,48
Amaretto,Small Market,Iowa,15,48
Amaretto,Small Market,Iowa,16,50
Amaretto,Small Market,Iowa,17,49
Amaretto,Small Market,Iowa,25,57
Amaretto,Small Market,Iowa,23,60
Amaretto,Small Market,Iowa,26,62
Amaretto,Small Market,Iowa,19,51
Amaretto,Small Market,Iowa,22,55
Amaretto,Small Market,Iowa,12,42
Amaretto,Small Market,Iowa,15,44
Colombian,Small Market,Iowa,5,62
Colombian,Small Market,Iowa,6,63
Colombian,Small Market,Iowa,6,63
Colombian,Small Market,Iowa,3,61
Colombian,Small Market,Iowa,7,68
Colombian,Small Market,Iowa,8,70
Colombian,Small Market,Iowa,9,75
Colombian,Small Market,Iowa,15,90
Colombian,Small Market,Iowa,7,72
Colombian,Small Market,Iowa,7,68
