Product,Product Line,Market Size,State,Profit,Sales
Amaretto,Beans,Major Market,Colorado,94,219
Amaretto,Beans,Major Market,Colorado,105,243
Amaretto,Beans,Major Market,Colorado,90,213
Amaretto,Beans,Major Market,Colorado,96,223
Amaretto,Beans,Major Market,Colorado,111,256
Amaretto,Beans,Major Market,Colorado,121,276
Amaretto,Beans,Major Market,Colorado,111,256
Amaretto,Beans,Major Market,Colorado,133,301
Amaretto,Beans,Major Market,Colorado,134,302
Amaretto,Beans,Major Market,Colorado,133,302
Amaretto,Beans,Major Market,Colorado,128,290
Amaretto,Beans,Major Market,Colorado,134,302
Amaretto,Beans,Major Market,Colorado,146,245
Amaretto,Beans,Major Market,Colorado,156,259
Amaretto,Beans,Major Market,Colorado,134,227
Amaretto,Beans,Major Market,Colorado,142,238
Amaretto,Beans,Major Market,Colorado,153,254
Amaretto,Beans,Major Market,Colorado,167,274
Amaretto,Beans,Major Market,Colorado,153,254
Amaretto,Beans,Major Market,Colorado,184,298
Amaretto,Beans,Major Market,Colorado,199,322
Amaretto,Beans,Major Market,Colorado,197,322
Amaretto,Beans,Major Market,Colorado,190,309
Amaretto,Beans,Major Market,Colorado,199,322
Colombian,Beans,Major Market,Colorado,68,190
Colombian,Beans,Major Market,Colorado,68,190
Colombian,Beans,Major Market,Colorado,69,193
Colombian,Beans,Major Market,Colorado,63,178
Colombian,Beans,Major Market,Colorado,68,190
Colombian,Beans,Major Market,Colorado,68,190
Colombian,Beans,Major Market,Colorado,71,199
Colombian,Beans,Major Market,Colorado,39,120
Colombian,Beans,Major Market,Colorado,42,132
Colombian,Beans,Major Market,Colorado,27,90
Colombian,Beans,Major Market,Colorado,27,92
Colombian,Beans,Major Market,Colorado,29,99
Colombian,Beans,Major Market,Colorado,106,213
Colombian,Beans,Major Market,Colorado,101,202
Colombian,Beans,Major Market,Colorado,102,206
Colombian,Beans,Major Market,Colorado,93,190
Colombian,Beans,Major Market,Colorado,94,188
Colombian,Beans,Major Market,Colorado,94,188
Colombian,Beans,Major Market,Colorado,98,197
Colombian,Beans,Major Market,Colorado,54,119
