Country,Processing method,Species,Year,Total Rating
United States,Natural / Dry,Arabica,2012,86.25
United States,Natural / Dry,Arabica,2012,85.58
United States,Natural / Dry,Arabica,2012,85.42
United States,Natural / Dry,Arabica,2012,84.83
United States,Natural / Dry,Arabica,2012,84.42
United States,Natural / Dry,Arabica,2012,84.25
United States,Natural / Dry,Arabica,2012,84.08
United States,Natural / Dry,Arabica,2012,83.42
United States,Natural / Dry,Arabica,2012,83.33
United States,Natural / Dry,Arabica,2012,83.25
United States,Natural / Dry,Arabica,2012,83.08
United States,Natural / Dry,Arabica,2012,83.08
United States,Natural / Dry,Arabica,2012,82.08
United States,Natural / Dry,Arabica,2012,81.83
United States,Natural / Dry,Arabica,2012,79.83
United States,Natural / Dry,Arabica,2012,78.25
United States,Natural / Dry,Arabica,2012,73.67
United States,Natural / Dry,Robusta,2012,79.33
United States,Natural / Dry,Arabica,2013,83.75
United States,Natural / Dry,Arabica,2013,83.17
United States,Natural / Dry,Arabica,2013,83.08
United States,Natural / Dry,Arabica,2013,82.75
United States,Natural / Dry,Arabica,2013,82.75
United States,Natural / Dry,Arabica,2013,82.25
United States,Natural / Dry,Arabica,2013,80.5
United States,Natural / Dry,Arabica,2013,78.75
United States,Natural / Dry,Arabica,2013,77.58
United States,Natural / Dry,Arabica,2013,77.25
United States,Natural / Dry,Arabica,2013,76.17
United States,Natural / Dry,Arabica,2014,85.08
United States,Natural / Dry,Arabica,2014,83.33
United States,Natural / Dry,Arabica,2014,81.08
United States,Natural / Dry,Arabica,2014,80.92
United States,Natural / Dry,Arabica,2014,80.25
United States,Natural / Dry,Arabica,2014,79.92
United States,Natural / Dry,Arabica,2014,78.33
United States,Natural / Dry,Arabica,2014,78.25
United States,Natural / Dry,Arabica,2014,78.0
United States,Natural / Dry,Arabica,2014,76.25
United States,Natural / Dry,Arabica,2014,74.42
United States,Natural / Dry,Arabica,2014,72.58
United States,Natural / Dry,Robusta,2014,77.17
Brazil,Natural / Dry,Arabica,2012,85.0
Brazil,Natural / Dry,Arabica,2012,83.17
Brazil,Natural / Dry,Arabica,2012,83.17
Brazil,Natural / Dry,Arabica,2012,82.42
Brazil,Natural / Dry,Arabica,2012,82.33
Brazil,Natural / Dry,Arabica,2012,82.25
Brazil,Natural / Dry,Arabica,2012,82.0
Brazil,Natural / Dry,Arabica,2012,81.92
Brazil,Natural / Dry,Arabica,2012,81.17
Brazil,Natural / Dry,Arabica,2013,88.83
Brazil,Natural / Dry,Arabica,2013,81.75
Brazil,Natural / Dry,Arabica,2013,81.17
Brazil,Natural / Dry,Arabica,2014,83.0
Brazil,Natural / Dry,Arabica,2014,82.67
Brazil,Natural / Dry,Arabica,2014,82.17
Brazil,Natural / Dry,Arabica,2014,81.0
Brazil,Natural / Dry,Arabica,2016,83.92
Brazil,Natural / Dry,Arabica,2016,83.67
Brazil,Natural / Dry,Arabica,2016,83.0
Brazil,Natural / Dry,Arabica,2016,83.0
Brazil,Natural / Dry,Arabica,2016,82.67
Brazil,Natural / Dry,Arabica,2016,82.33
Brazil,Natural / Dry,Arabica,2016,82.33
Brazil,Natural / Dry,Arabica,2016,82.17
Brazil,Natural / Dry,Arabica,2016,82.08
Brazil,Natural / Dry,Arabica,2016,82.0
Brazil,Natural / Dry,Arabica,2016,81.83
Brazil,Natural / Dry,Arabica,2016,81.08
Ethiopia,Natural / Dry,Arabica,2012,84.08
