,Gender,Primary_Device,Exceeded_Recommended_Limit,Health_Impacts,Urban_or_Rural,Avg_Daily_Screen_Time_hr
Poor Sleep,,,,,,
,Female,Laptop,TRUE,Poor Sleep,Urban,4.61
,Female,TV,TRUE,Poor Sleep,Urban,3.73
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.88
,Male,Tablet,TRUE,Poor Sleep,Rural,3.53
,Female,TV,TRUE,Poor Sleep,Rural,4.94
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.59
,Male,Smartphone,TRUE,Poor Sleep,Urban,6.15
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.69
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.22
,Male,TV,TRUE,Poor Sleep,Urban,11.68
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.63
,Male,TV,TRUE,Poor Sleep,Urban,4.21
,Male,TV,TRUE,Poor Sleep,Urban,7.61
,Female,Smartphone,TRUE,Poor Sleep,Rural,6.86
,Female,Tablet,TRUE,Poor Sleep,Urban,4.61
,Male,TV,TRUE,Poor Sleep,Urban,4.31
,Male,TV,TRUE,Poor Sleep,Urban,5.12
,Female,TV,TRUE,Poor Sleep,Urban,5.82
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.02
,Female,Tablet,TRUE,Poor Sleep,Urban,12.09
,Male,Laptop,TRUE,Poor Sleep,Urban,4.6
,Male,Tablet,TRUE,Poor Sleep,Rural,3.45
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.8
,Female,TV,TRUE,Poor Sleep,Urban,5.31
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.92
,Male,TV,TRUE,Poor Sleep,Urban,6.17
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.36
,Male,TV,TRUE,Poor Sleep,Rural,5.62
,Female,Tablet,TRUE,Poor Sleep,Rural,5.41
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.69
,Female,Tablet,TRUE,Poor Sleep,Urban,4.16
,Female,Laptop,TRUE,Poor Sleep,Urban,6.05
,Male,Smartphone,TRUE,Poor Sleep,Rural,6.55
,Male,Smartphone,TRUE,Poor Sleep,Urban,6.02
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.65
,Male,TV,TRUE,Poor Sleep,Urban,5.63
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.93
,Female,TV,TRUE,Poor Sleep,Urban,4.72
,Female,Tablet,TRUE,Poor Sleep,Urban,6.24
,Male,Laptop,TRUE,Poor Sleep,Urban,3.39
,Male,TV,TRUE,Poor Sleep,Urban,5.1
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.77
,Male,Laptop,TRUE,Poor Sleep,Urban,4.82
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.02
,Female,Tablet,TRUE,Poor Sleep,Urban,4.88
,Female,Laptop,TRUE,Poor Sleep,Urban,4.51
,Female,Smartphone,TRUE,Poor Sleep,Urban,5.01
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.8
,Male,Tablet,TRUE,Poor Sleep,Rural,4.63
,Female,TV,TRUE,Poor Sleep,Urban,3.66
,Female,Smartphone,TRUE,Poor Sleep,Urban,7.11
,Male,Laptop,TRUE,Poor Sleep,Urban,4.5
,Male,Tablet,TRUE,Poor Sleep,Urban,4.52
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.75
,Female,Tablet,TRUE,Poor Sleep,Urban,4.52
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.55
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.83
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.9
,Male,TV,TRUE,Poor Sleep,Urban,4.46
,Female,TV,TRUE,Poor Sleep,Rural,3.94
,Female,Smartphone,TRUE,Poor Sleep,Urban,6.07
,Female,Smartphone,TRUE,Poor Sleep,Rural,3.15
,Male,Laptop,TRUE,Poor Sleep,Urban,6.02
,Male,TV,TRUE,Poor Sleep,Urban,4.82
,Female,Smartphone,TRUE,Poor Sleep,Rural,7.7
,Male,Smartphone,TRUE,Poor Sleep,Urban,7.2
,Female,TV,TRUE,Poor Sleep,Urban,4.33
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.77
,Male,Smartphone,TRUE,Poor Sleep,Urban,3.04
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.83
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.89
,Male,Smartphone,TRUE,Poor Sleep,Rural,5.1
,Male,Laptop,TRUE,Poor Sleep,Urban,4.17
,Male,Smartphone,TRUE,Poor Sleep,Urban,5.06
,Female,Smartphone,TRUE,Poor Sleep,Urban,6.76
,Female,TV,TRUE,Poor Sleep,Urban,4.34
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.65
,Male,Smartphone,TRUE,Poor Sleep,Urban,4.78
,Female,Smartphone,TRUE,Poor Sleep,Urban,3.69
,Female,Smartphone,TRUE,Poor Sleep,Urban,4.64
,Female,TV,TRUE,Poor Sleep,Urban,3.51
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.42
,Female,TV,TRUE,Poor Sleep,Rural,4.85
,Male,TV,TRUE,Poor Sleep,Urban,5.6
,Female,Laptop,TRUE,Poor Sleep,Urban,3.63
,Male,Smartphone,TRUE,Poor Sleep,Rural,5.5
,Female,Laptop,TRUE,Poor Sleep,Urban,4.71
,Male,Smartphone,TRUE,Poor Sleep,Rural,4.81
