Gender,Primary_Device,Exceeded_Recommended_Limit,Health_Impacts,Avg_Daily_Screen_Time_hr
Female,Laptop,TRUE,Poor Sleep,4.61
Female,TV,TRUE,Poor Sleep,3.73
Female,Smartphone,TRUE,Poor Sleep,4.88
Male,Tablet,TRUE,Poor Sleep,3.53
Female,TV,TRUE,Poor Sleep,4.94
Male,Smartphone,TRUE,Poor Sleep,4.59
Male,Smartphone,TRUE,Poor Sleep,6.15
Female,Smartphone,TRUE,Poor Sleep,3.69
Male,Smartphone,TRUE,Poor Sleep,4.22
Male,TV,TRUE,Poor Sleep,11.68
Male,Smartphone,TRUE,Poor Sleep,4.63
Male,TV,TRUE,Poor Sleep,4.21
Male,TV,TRUE,Poor Sleep,7.61
Female,Smartphone,TRUE,Poor Sleep,6.86
Female,Tablet,TRUE,Poor Sleep,4.61
Male,TV,TRUE,Poor Sleep,4.31
Male,TV,TRUE,Poor Sleep,5.12
Female,TV,TRUE,Poor Sleep,5.82
Male,Smartphone,TRUE,Poor Sleep,4.02
Female,Tablet,TRUE,Poor Sleep,12.09
Male,Laptop,TRUE,Poor Sleep,4.6
Male,Tablet,TRUE,Poor Sleep,3.45
Male,Smartphone,TRUE,Poor Sleep,5.8
Female,TV,TRUE,Poor Sleep,5.31
Male,Smartphone,TRUE,Poor Sleep,4.92
Male,TV,TRUE,Poor Sleep,6.17
Male,Smartphone,TRUE,Poor Sleep,5.36
Male,TV,TRUE,Poor Sleep,5.62
Female,Tablet,TRUE,Poor Sleep,5.41
Female,Smartphone,TRUE,Poor Sleep,4.69
Female,Tablet,TRUE,Poor Sleep,4.16
Female,Laptop,TRUE,Poor Sleep,6.05
Male,Smartphone,TRUE,Poor Sleep,6.55
Male,Smartphone,TRUE,Poor Sleep,6.02
Male,Smartphone,TRUE,Poor Sleep,3.65
Male,TV,TRUE,Poor Sleep,5.63
Female,Smartphone,TRUE,Poor Sleep,4.93
Female,TV,TRUE,Poor Sleep,4.72
Female,Tablet,TRUE,Poor Sleep,6.24
Male,Laptop,TRUE,Poor Sleep,3.39
Male,TV,TRUE,Poor Sleep,5.1
Male,Smartphone,TRUE,Poor Sleep,3.77
Male,Laptop,TRUE,Poor Sleep,4.82
Male,Smartphone,TRUE,Poor Sleep,5.02
Female,Tablet,TRUE,Poor Sleep,4.88
Female,Laptop,TRUE,Poor Sleep,4.51
Female,Smartphone,TRUE,Poor Sleep,5.01
Female,Smartphone,TRUE,Poor Sleep,3.8
Male,Tablet,TRUE,Poor Sleep,4.63
Female,TV,TRUE,Poor Sleep,3.66
Female,Smartphone,TRUE,Poor Sleep,7.11
Male,Laptop,TRUE,Poor Sleep,4.5
Male,Tablet,TRUE,Poor Sleep,4.52
Female,Smartphone,TRUE,Poor Sleep,4.75
Female,Tablet,TRUE,Poor Sleep,4.52
Male,Smartphone,TRUE,Poor Sleep,4.55
Male,Smartphone,TRUE,Poor Sleep,3.83
Female,Smartphone,TRUE,Poor Sleep,4.9
Male,TV,TRUE,Poor Sleep,4.46
Female,TV,TRUE,Poor Sleep,3.94
Female,Smartphone,TRUE,Poor Sleep,6.07
Female,Smartphone,TRUE,Poor Sleep,3.15
Male,Laptop,TRUE,Poor Sleep,6.02
Male,TV,TRUE,Poor Sleep,4.82
Female,Smartphone,TRUE,Poor Sleep,7.7
Male,Smartphone,TRUE,Poor Sleep,7.2
Female,TV,TRUE,Poor Sleep,4.33
Female,Smartphone,TRUE,Poor Sleep,4.77
Male,Smartphone,TRUE,Poor Sleep,3.04
Male,Smartphone,TRUE,Poor Sleep,5.83
Female,Smartphone,TRUE,Poor Sleep,3.89
Male,Smartphone,TRUE,Poor Sleep,5.1
Male,Laptop,TRUE,Poor Sleep,4.17
Male,Smartphone,TRUE,Poor Sleep,5.06
Female,Smartphone,TRUE,Poor Sleep,6.76
Female,TV,TRUE,Poor Sleep,4.34
Female,Smartphone,TRUE,Poor Sleep,4.65
Male,Smartphone,TRUE,Poor Sleep,4.78
Female,Smartphone,TRUE,Poor Sleep,3.69
Female,Smartphone,TRUE,Poor Sleep,4.64
Female,TV,TRUE,Poor Sleep,3.51
Male,Smartphone,TRUE,Poor Sleep,4.42
Female,TV,TRUE,Poor Sleep,4.85
Male,TV,TRUE,Poor Sleep,5.6
Female,Laptop,TRUE,Poor Sleep,3.63
Male,Smartphone,TRUE,Poor Sleep,5.5
Female,Laptop,TRUE,Poor Sleep,4.71
Male,Smartphone,TRUE,Poor Sleep,4.81
Male,Laptop,TRUE,Poor Sleep,5.26
Female,Laptop,TRUE,Poor Sleep,3.98
Female,Smartphone,TRUE,Poor Sleep,4.42
Male,Smartphone,TRUE,Poor Sleep,3.08
Male,Smartphone,TRUE,Poor Sleep,6.0
Male,Smartphone,TRUE,Poor Sleep,4.49
Male,Smartphone,TRUE,Poor Sleep,5.29
Male,TV,TRUE,Poor Sleep,6.22
Male,Smartphone,TRUE,Poor Sleep,6.18
Female,TV,TRUE,Poor Sleep,8.27
Male,Smartphone,TRUE,Poor Sleep,5.53
Female,Laptop,TRUE,Poor Sleep,3.7
Male,Smartphone,TRUE,Poor Sleep,4.45
Male,Smartphone,TRUE,Poor Sleep,7.77
Male,TV,TRUE,Poor Sleep,4.59
Female,Laptop,TRUE,Poor Sleep,5.15
Male,Smartphone,TRUE,Poor Sleep,3.35
Male,Smartphone,TRUE,Poor Sleep,3.93
Male,Tablet,TRUE,Poor Sleep,4.41
Male,Laptop,TRUE,Poor Sleep,3.09
Female,TV,TRUE,Poor Sleep,7.11
Male,Tablet,TRUE,Poor Sleep,3.91
Female,Laptop,TRUE,Poor Sleep,4.2
Male,Smartphone,TRUE,Poor Sleep,3.14
Male,Smartphone,TRUE,Poor Sleep,9.35
Female,Smartphone,TRUE,Poor Sleep,3.24
Female,TV,TRUE,Poor Sleep,3.18
Female,Smartphone,TRUE,Poor Sleep,3.74
Male,Smartphone,TRUE,Poor Sleep,4.26
Female,Smartphone,TRUE,Poor Sleep,5.5
Male,Laptop,TRUE,Poor Sleep,5.41
Male,TV,TRUE,Poor Sleep,5.64
Male,Laptop,TRUE,Poor Sleep,3.85
Female,TV,TRUE,Poor Sleep,4.32
Female,Laptop,TRUE,Poor Sleep,5.48
Female,Laptop,TRUE,Poor Sleep,4.45
Female,TV,TRUE,Poor Sleep,4.78
Male,Smartphone,TRUE,Poor Sleep,7.02
Female,Smartphone,TRUE,Poor Sleep,4.17
Female,Smartphone,TRUE,Poor Sleep,5.68
Female,Smartphone,TRUE,Poor Sleep,4.43
Female,Tablet,TRUE,Poor Sleep,3.76
Female,Smartphone,TRUE,Poor Sleep,4.84
Male,Smartphone,TRUE,Poor Sleep,3.93
Female,Smartphone,TRUE,Poor Sleep,3.92
Male,Smartphone,TRUE,Poor Sleep,4.99
Female,Smartphone,TRUE,Poor Sleep,3.55
Female,Smartphone,TRUE,Poor Sleep,6.64
Female,TV,TRUE,Poor Sleep,4.42
Female,Smartphone,TRUE,Poor Sleep,5.58
Male,Smartphone,TRUE,Poor Sleep,5.29
Male,TV,TRUE,Poor Sleep,4.35
Male,Tablet,TRUE,Poor Sleep,4.05
Male,TV,TRUE,Poor Sleep,3.69
Male,Smartphone,TRUE,Poor Sleep,5.53
Male,Smartphone,TRUE,Poor Sleep,4.98
Male,Smartphone,TRUE,Poor Sleep,6.49
Male,Laptop,TRUE,Poor Sleep,5.97
Male,Smartphone,TRUE,Poor Sleep,4.31
Male,Tablet,TRUE,Poor Sleep,5.59
Female,Laptop,TRUE,Poor Sleep,5.54
Female,TV,TRUE,Poor Sleep,3.04
Female,Smartphone,TRUE,Poor Sleep,3.56
Male,TV,TRUE,Poor Sleep,4.87
Female,Laptop,TRUE,Poor Sleep,3.64
Male,Laptop,TRUE,Poor Sleep,3.77
Female,Tablet,TRUE,Poor Sleep,3.59
Male,TV,TRUE,Poor Sleep,3.03
Female,Smartphone,TRUE,Poor Sleep,6.89
Male,Smartphone,TRUE,Poor Sleep,4.72
Female,Smartphone,TRUE,Poor Sleep,3.13
Male,Smartphone,TRUE,Poor Sleep,5.3
Female,Smartphone,TRUE,Poor Sleep,5.1
Male,Smartphone,TRUE,Poor Sleep,4.89
Male,Smartphone,TRUE,Poor Sleep,3.6
Female,TV,TRUE,Poor Sleep,4.84
Female,Smartphone,TRUE,Poor Sleep,5.35
Male,Smartphone,TRUE,Poor Sleep,3.06
Female,Laptop,TRUE,Poor Sleep,6.87
Male,Smartphone,TRUE,Poor Sleep,7.04
Female,Tablet,TRUE,Poor Sleep,5.98
Female,Smartphone,TRUE,Poor Sleep,3.67
Female,Smartphone,TRUE,Poor Sleep,3.11
Female,Smartphone,TRUE,Poor Sleep,5.61
Male,TV,TRUE,Poor Sleep,3.03
Female,Laptop,TRUE,Poor Sleep,6.04
Female,Smartphone,TRUE,Poor Sleep,5.49
Male,Smartphone,TRUE,Poor Sleep,5.23
Male,Laptop,TRUE,Poor Sleep,3.45
Male,TV,TRUE,Poor Sleep,5.17
Male,Laptop,TRUE,Poor Sleep,5.5
Male,Smartphone,TRUE,Poor Sleep,3.85
Female,Smartphone,TRUE,Poor Sleep,8.95
Male,Laptop,TRUE,Poor Sleep,4.46
Male,Tablet,TRUE,Poor Sleep,5.31
Female,Laptop,TRUE,Poor Sleep,3.58
Female,Tablet,TRUE,Poor Sleep,7.85
Male,Smartphone,TRUE,Poor Sleep,4.28
Female,Smartphone,TRUE,Poor Sleep,4.84
