,Gender,Primary_Device,Health_Impacts,Avg_Daily_Screen_Time_hr
Poor Sleep,,,,
,Female,Laptop,Poor Sleep,4.61
,Female,TV,Poor Sleep,3.73
,Female,Smartphone,Poor Sleep,4.88
,Male,Tablet,Poor Sleep,3.53
,Female,TV,Poor Sleep,4.94
,Male,Smartphone,Poor Sleep,4.59
,Male,Smartphone,Poor Sleep,6.15
,Female,Smartphone,Poor Sleep,3.69
,Male,Smartphone,Poor Sleep,4.22
,Male,TV,Poor Sleep,11.68
,Male,Smartphone,Poor Sleep,4.63
,Male,TV,Poor Sleep,4.21
,Male,TV,Poor Sleep,7.61
,Female,Smartphone,Poor Sleep,6.86
,Female,Tablet,Poor Sleep,4.61
,Male,TV,Poor Sleep,4.31
,Male,TV,Poor Sleep,5.12
,Female,TV,Poor Sleep,5.82
,Male,Smartphone,Poor Sleep,4.02
,Female,Tablet,Poor Sleep,12.09
,Male,Laptop,Poor Sleep,4.6
,Male,Tablet,Poor Sleep,3.45
,Male,Smartphone,Poor Sleep,5.8
,Female,TV,Poor Sleep,5.31
,Male,Smartphone,Poor Sleep,4.92
,Male,TV,Poor Sleep,6.17
,Male,Smartphone,Poor Sleep,5.36
,Male,TV,Poor Sleep,5.62
,Female,Tablet,Poor Sleep,5.41
,Female,Smartphone,Poor Sleep,4.69
,Female,Tablet,Poor Sleep,4.16
,Female,Laptop,Poor Sleep,6.05
,Male,Smartphone,Poor Sleep,6.55
,Male,Smartphone,Poor Sleep,6.02
,Male,Smartphone,Poor Sleep,3.65
,Male,TV,Poor Sleep,5.63
,Female,Smartphone,Poor Sleep,4.93
,Female,TV,Poor Sleep,4.72
,Female,Tablet,Poor Sleep,6.24
,Male,Laptop,Poor Sleep,3.39
,Male,TV,Poor Sleep,5.1
,Male,Smartphone,Poor Sleep,3.77
,Male,Laptop,Poor Sleep,4.82
,Male,Smartphone,Poor Sleep,5.02
,Female,Tablet,Poor Sleep,4.88
,Female,Laptop,Poor Sleep,4.51
,Female,Smartphone,Poor Sleep,5.01
,Female,Smartphone,Poor Sleep,3.8
,Male,Tablet,Poor Sleep,4.63
,Female,TV,Poor Sleep,3.66
,Female,Smartphone,Poor Sleep,7.11
,Male,Laptop,Poor Sleep,4.5
,Male,Tablet,Poor Sleep,4.52
,Female,Smartphone,Poor Sleep,4.75
,Female,Tablet,Poor Sleep,4.52
,Male,Smartphone,Poor Sleep,4.55
,Male,Smartphone,Poor Sleep,3.83
,Female,Smartphone,Poor Sleep,4.9
,Male,TV,Poor Sleep,4.46
,Female,TV,Poor Sleep,3.94
,Female,Smartphone,Poor Sleep,6.07
,Female,Smartphone,Poor Sleep,3.15
,Male,Laptop,Poor Sleep,6.02
,Male,TV,Poor Sleep,4.82
,Female,Smartphone,Poor Sleep,7.7
,Male,Smartphone,Poor Sleep,7.2
,Female,TV,Poor Sleep,4.33
,Female,Smartphone,Poor Sleep,4.77
,Male,Smartphone,Poor Sleep,3.04
,Male,Smartphone,Poor Sleep,5.83
,Female,Smartphone,Poor Sleep,3.89
,Male,Smartphone,Poor Sleep,5.1
,Male,Laptop,Poor Sleep,4.17
,Male,Smartphone,Poor Sleep,5.06
,Female,Smartphone,Poor Sleep,6.76
,Female,TV,Poor Sleep,4.34
,Female,Smartphone,Poor Sleep,4.65
,Male,Smartphone,Poor Sleep,4.78
,Female,Smartphone,Poor Sleep,3.69
,Female,Smartphone,Poor Sleep,4.64
,Female,TV,Poor Sleep,3.51
,Male,Smartphone,Poor Sleep,4.42
,Female,TV,Poor Sleep,4.85
,Male,TV,Poor Sleep,5.6
,Female,Laptop,Poor Sleep,3.63
,Male,Smartphone,Poor Sleep,5.5
,Female,Laptop,Poor Sleep,4.71
,Male,Smartphone,Poor Sleep,4.81
,Male,Laptop,Poor Sleep,5.26
,Female,Laptop,Poor Sleep,3.98
,Female,Smartphone,Poor Sleep,4.42
,Male,Smartphone,Poor Sleep,3.08
,Male,Smartphone,Poor Sleep,6.0
,Male,Smartphone,Poor Sleep,4.49
,Male,Smartphone,Poor Sleep,5.29
,Male,TV,Poor Sleep,6.22
,Male,Smartphone,Poor Sleep,6.18
,Female,TV,Poor Sleep,8.27
,Male,Smartphone,Poor Sleep,5.53
,Female,Laptop,Poor Sleep,3.7
,Male,Smartphone,Poor Sleep,4.45
