Date,Region,Birth,Birth_rate,Death,Death_rate,Divorce,Divorce_rate,Marriage,Marriage_rate,Natural_growth,Natural_growth_rate
1/1/2000,Busan,3752,11.61,1875,5.8,814,2.5,2435,7.5,1877,5.8
1/1/2000,Chungcheongbuk-do,1903,15.06,924,7.3,220,1.7,828,6.6,979,7.7
1/1/2000,Chungcheongnam-do,2398,14.75,1466,9,321,2,1055,6.5,932,5.7
1/1/2000,Daegu,3057,14.39,1117,5.3,422,2,1577,7.4,1940,9.1
1/1/2000,Daejeon,1859,16.08,565,4.9,280,2.4,868,7.5,1294,11.2
1/1/2000,Gangwon-do,1966,14.91,1067,8.1,304,2.3,817,6.2,899,6.8
1/1/2000,Gwangju,2159,18.77,606,5.3,212,1.8,932,8.1,1553,13.5
1/1/2000,Gyeonggi-do,13527,17.85,3770,5,1931,2.5,5759,7.6,9757,12.9
1/1/2000,Gyeongsangbuk-do,3362,14.14,2230,9.4,406,1.7,1691,7.1,1132,4.8
1/1/2000,Gyeongsangnam-do,3928,15.05,2125,8.1,577,2.2,2092,8,1803,6.9
1/1/2000,Incheon,3320,15.61,957,4.5,604,2.8,1520,7.1,2363,11.1
1/1/2000,Jeju,842,18.45,288,6.3,136,3,396,8.7,554,12.1
1/1/2000,Jeollabuk-do,2547,14.97,1381,8.1,318,1.9,1131,6.6,1166,6.9
1/1/2000,Jeollanam-do,2679,14.69,1771,9.7,363,2,1216,6.7,908,5
1/1/2000,Seoul,12866,14.79,3931,4.5,1835,2.1,6781,7.8,8935,10.3
1/1/2000,Ulsan,1479,17.03,384,4.4,167,1.9,655,7.5,1095,12.6
1/1/2000,Whole country,61644,15.37,24457,6.1,9045,2.3,30120,7.5,37187,9.3
2/1/2000,Busan,3632,12.02,1453,4.8,802,2.7,2057,6.8,2179,7.2
2/1/2000,Chungcheongbuk-do,1722,14.57,878,7.4,257,2.2,753,6.4,844,7.1
2/1/2000,Chungcheongnam-do,2273,14.95,1120,7.4,326,2.1,893,5.9,1153,7.6
2/1/2000,Daegu,2698,13.56,983,4.9,429,2.2,1439,7.2,1715,8.6
2/1/2000,Daejeon,1752,16.17,467,4.3,307,2.8,757,7,1285,11.9
2/1/2000,Gangwon-do,1780,14.44,898,7.3,315,2.6,710,5.8,882,7.2
2/1/2000,Gwangju,1916,17.78,494,4.6,205,1.9,780,7.2,1422,13.2
2/1/2000,Gyeonggi-do,12437,17.51,3080,4.3,2008,2.8,5036,7.1,9357,13.2
2/1/2000,Gyeongsangbuk-do,3221,14.5,1899,8.5,408,1.8,1548,7,1322,6
2/1/2000,Gyeongsangnam-do,3612,14.79,1629,6.7,576,2.4,1882,7.7,1983,8.1
2/1/2000,Incheon,3069,15.42,852,4.3,649,3.3,1261,6.3,2217,11.1
2/1/2000,Jeju,764,17.89,259,6.1,139,3.3,441,10.3,505,11.8
2/1/2000,Jeollabuk-do,2296,14.45,1212,7.6,332,2.1,975,6.1,1084,6.8
2/1/2000,Jeollanam-do,2366,13.87,1537,9,376,2.2,1104,6.5,829,4.9
2/1/2000,Seoul,11797,14.48,3218,4,1912,2.3,5596,6.9,8579,10.5
2/1/2000,Ulsan,1388,17.07,327,4,216,2.7,574,7.1,1061,13
2/1/2000,Whole country,56723,15.11,20306,5.4,9392,2.5,26187,7,36417,9.7
3/1/2000,Busan,3935,12.19,1607,5,910,2.8,2024,6.3,2328,7.2
3/1/2000,Chungcheongbuk-do,1805,14.28,873,6.9,289,2.3,918,7.3,932,7.4
3/1/2000,Chungcheongnam-do,2269,13.96,1325,8.2,390,2.4,1187,7.3,944,5.8
