Countries,Education level,Occupation,Count
Tuvalu,Upper secondary education,Agricultural related Workers,39
Marshall Islands,Lower secondary education,Agricultural related Workers,444
Tonga,Upper secondary education,Craft Workers,863
Marshall Islands,Upper secondary education,Services and Sales Workers,1049
Nauru,Upper secondary education,Services and Sales Workers,611
Palau,Primary education,Services and Sales Workers,43
Tonga,Lower secondary education,Mechanic,719
Marshall Islands,Upper secondary education,Clerical Support Workers,448
Nauru,Lower secondary education,Craft Workers,53
Tonga,Upper secondary education,Agricultural related Workers,509
Tonga,Upper secondary education,Mechanic,206
Nauru,Upper secondary education,Agricultural related Workers,35
Tonga,Post-secondary non-tertiary education,Services and Sales Workers,412
Marshall Islands,Lower secondary education,Craft Workers,1000
Nauru,Upper secondary education,Clerical Support Workers,278
Tuvalu,Upper secondary education,Services and Sales Workers,245
Tuvalu,Lower secondary education,Mechanic,53
Tuvalu,Lower secondary education,Services and Sales Workers,161
Tuvalu,Lower secondary education,Agricultural related Workers,58
Marshall Islands,Upper secondary education,Agricultural related Workers,202
Tuvalu,Upper secondary education,Clerical Support Workers,201
Tuvalu,Lower secondary education,Craft Workers,205
Marshall Islands,Upper secondary education,Craft Workers,1019
Tonga,Upper secondary education,Elementary Occupations,247
Nauru,Upper secondary education,Craft Workers,220
Nauru,Upper secondary education,Technicians,213
Tonga,Upper secondary education,Services and Sales Workers,1245
Tonga,Lower secondary education,Professionals,566
Nauru,Lower secondary education,Clerical Support Workers,16
Nauru,Lower secondary education,Mechanic,46
Tonga,Post-secondary non-tertiary education,Clerical Support Workers,489
Tuvalu,Upper secondary education,Craft Workers,177
Tonga,Upper secondary education,Managers,464
Marshall Islands,Lower secondary education,Managers,85
Tuvalu,Upper secondary education,Elementary Occupations,70
Marshall Islands,Lower secondary education,Services and Sales Workers,700
Tonga,Lower secondary education,Agricultural related Workers,2655
Marshall Islands,Lower secondary education,Technicians,107
Tonga,Lower secondary education,Armed Forces Occupations,104
Tonga,Upper secondary education,Technicians,639
Marshall Islands,Upper secondary education,Elementary Occupations,537
Nauru,Post-secondary non-tertiary education,Managers,51
Tonga,Lower secondary education,Technicians,582
Tuvalu,Upper secondary education,Professionals,245
Marshall Islands,Lower secondary education,Professionals,37
Tuvalu,Lower secondary education,Technicians,53
Marshall Islands,Lower secondary education,Elementary Occupations,859
Marshall Islands,Primary education,Elementary Occupations,83
Nauru,Lower secondary education,Elementary Occupations,162
Tonga,Post-secondary non-tertiary education,Technicians,564
Tuvalu,Upper secondary education,Managers,103
Nauru,Primary education,Elementary Occupations,24
Palau,Upper secondary education,Professionals,218
Marshall Islands,Upper secondary education,Mechanic,282
Tonga,Upper secondary education,Professionals,765
Nauru,Upper secondary education,Mechanic,130
Marshall Islands,Upper secondary education,Armed Forces Occupations,6
Marshall Islands,Upper secondary education,Professionals,395
Nauru,Upper secondary education,Managers,70
Tonga,Post-secondary non-tertiary education,Professionals,2159
Palau,Primary education,Elementary Occupations,85
Marshall Islands,Upper secondary education,Managers,180
Tonga,Primary education,Elementary Occupations,52
Tuvalu,Lower secondary education,Managers,63
Nauru,Upper secondary education,Professionals,209
Tonga,Post-secondary non-tertiary education,Managers,459
Tuvalu,Lower secondary education,Professionals,39
Tuvalu,Upper secondary education,Technicians,190
Tuvalu,Upper secondary education,Mechanic,63
Marshall Islands,Lower secondary education,Clerical Support Workers,96
Tuvalu,Lower secondary education,Elementary Occupations,155
Marshall Islands,Lower secondary education,Mechanic,279
Tuvalu,Lower secondary education,Clerical Support Workers,42
Tonga,Primary education,Craft Workers,225
Nauru,Post-secondary non-tertiary education,Professionals,50
Marshall Islands,Upper secondary education,Technicians,365
Tonga,Lower secondary education,Elementary Occupations,889
Tonga,Upper secondary education,Armed Forces Occupations,199
Tonga,Lower secondary education,Managers,425
Tonga,Upper secondary education,Clerical Support Workers,601
Tonga,Lower secondary education,Craft Workers,3233
Nauru,Lower secondary education,Services and Sales Workers,152
Tonga,Lower secondary education,Services and Sales Workers,1849
Nauru,Lower secondary education,Technicians,17
Solomon Islands,Post-secondary non-tertiary education,Services and Sales Workers,212
Palau,Lower secondary education,Mechanic,10
Samoa,Lower secondary education,Craft Workers,520
Tuvalu,Upper secondary education,Agricultural related Workers,24
Marshall Islands,Lower secondary education,Agricultural related Workers,319
Solomon Islands,Upper secondary education,Agricultural related Workers,4599
Cook Islands,Lower secondary education,Clerical Support Workers,141
Kiribati,Upper secondary education,Managers,891
Palau,Upper secondary education,Craft Workers,568
Niue,Upper secondary education,Technicians,32
Tuvalu,Post-secondary non-tertiary education,Services and Sales Workers,16
Cook Islands,Upper secondary education,Technicians,304
Vanuatu,Post-secondary non-tertiary education,Professionals,748
Solomon Islands,No schooling,Craft Workers,443
Micronesia (Federated States of),Upper secondary education,Services and Sales Workers,2064
Niue,No schooling,Clerical Support Workers,7
Vanuatu,Lower secondary education,Technicians,970
Marshall Islands,Upper secondary education,Services and Sales Workers,1565
Marshall Islands,No schooling,Craft Workers,25
Kiribati,Upper secondary education,Elementary Occupations,3928
Tuvalu,No schooling,Craft Workers,11
Vanuatu,Upper secondary education,Technicians,1197
Marshall Islands,Primary education,Clerical Support Workers,9
Kiribati,Primary education,Mechanic,120
Samoa,Primary education,Services and Sales Workers,194
Cook Islands,Post-secondary non-tertiary education,Technicians,86
Vanuatu,Primary education,Professionals,752
Vanuatu,Primary education,Elementary Occupations,3049
Marshall Islands,Primary education,Technicians,11
Tonga,Primary education,Services and Sales Workers,143
Vanuatu,Lower secondary education,Clerical Support Workers,442
