Countries,Sex,Age,Economic sector,Total Count
Marshall Islands,Female,15-24,Wholesale and Retail,80
Samoa,Male,25-54,Transportation and storage,1012
Palau,Male,25-54,Support Service,674
Kiribati,Male,25-54,Education,541
Micronesia (Federated States of),Male,15-24,Agriculture and fishing,114
Niue,Male,15-24,Agriculture and fishing,6
Palau,Female,25-54,Agriculture and fishing,47
Marshall Islands,Male,25-54,Agriculture and fishing,678
Kiribati,Female,25-54,Agriculture and fishing,403
Micronesia (Federated States of),Male,55-64,Agriculture and fishing,106
Kiribati,Male,25-54,Agriculture and fishing,2774
Cook Islands,Male,55-64,Agriculture and fishing,60
Samoa,Male,25-54,Agriculture and fishing,1365
Niue,Male,55-64,Agriculture and fishing,7
Samoa,Female,25-54,Agriculture and fishing,117
Palau,Female,55-64,Agriculture and fishing,28
Palau,Male,55-64,Agriculture and fishing,52
Palau,Male,15-24,Agriculture and fishing,37
Kiribati,Female,55-64,Agriculture and fishing,66
Marshall Islands,Male,15-24,Agriculture and fishing,25
Nauru,Male,25-54,Agriculture and fishing,50
Kiribati,Male,15-24,Agriculture and fishing,732
Cook Islands,Male,25-54,Agriculture and fishing,119
Samoa,Male,55-64,Agriculture and fishing,270
Niue,Female,25-54,Agriculture and fishing,10
Palau,Male,25-54,Agriculture and fishing,336
Kiribati,Male,55-64,Agriculture and fishing,220
Niue,Male,25-54,Agriculture and fishing,28
Samoa,Male,15-24,Agriculture and fishing,402
Micronesia (Federated States of),Male,25-54,Agriculture and fishing,557
Samoa,Male,15-24,Electricity and Gas,85
Palau,Male,55-64,Electricity and Gas,9
Samoa,Male,25-54,Electricity and Gas,288
Palau,Male,25-54,Electricity and Gas,82
Palau,Female,25-54,Electricity and Gas,17
Marshall Islands,Male,25-54,Electricity and Gas,524
Niue,Male,25-54,Electricity and Gas,16
Kiribati,Male,25-54,Electricity and Gas,177
Nauru,Male,25-54,Electricity and Gas,67
Micronesia (Federated States of),Male,25-54,Electricity and Gas,237
Micronesia (Federated States of),Male,25-54,Water Supply,70
Palau,Female,25-54,Water Supply,9
Palau,Male,25-54,Water Supply,76
Marshall Islands,Male,25-54,Water Supply,62
Palau,Male,55-64,Water Supply,18
Samoa,Male,25-54,Water Supply,198
Palau,Male,15-24,Construction,37
Nauru,Male,25-54,Construction,79
Micronesia (Federated States of),Male,55-64,Construction,97
Kiribati,Male,25-54,Construction,491
Nauru,Male,15-24,Construction,30
Palau,Male,25-54,Construction,567
Palau,Male,55-64,Construction,123
Palau,Female,25-54,Construction,18
Niue,Male,15-24,Construction,10
Marshall Islands,Male,25-54,Construction,956
Micronesia (Federated States of),Male,15-24,Construction,74
Samoa,Male,15-24,Construction,209
Cook Islands,Male,25-54,Construction,379
Samoa,Male,55-64,Construction,110
Marshall Islands,Male,15-24,Construction,75
Niue,Male,25-54,Construction,46
Niue,Male,25-54,Construction,39
Micronesia (Federated States of),Male,25-54,Construction,676
Samoa,Male,25-54,Construction,1002
Cook Islands,Male,15-24,Construction,69
Kiribati,Male,15-24,Construction,114
Micronesia (Federated States of),Male,25-54,Wholesale and Retail,1107
Micronesia (Federated States of),Female,55-64,Wholesale and Retail,126
Kiribati,Male,55-64,Wholesale and Retail,235
Kiribati,Female,15-24,Wholesale and Retail,544
Cook Islands,Female,25-54,Wholesale and Retail,447
Palau,Male,55-64,Wholesale and Retail,54
Marshall Islands,Male,15-24,Wholesale and Retail,144
Micronesia (Federated States of),Female,25-54,Wholesale and Retail,1164
Palau,Female,15-24,Wholesale and Retail,62
Niue,Female,25-54,Wholesale and Retail,22
Marshall Islands,Female,25-54,Wholesale and Retail,594
Nauru,Female,15-24,Wholesale and Retail,31
Kiribati,Female,55-64,Wholesale and Retail,347
Cook Islands,Female,55-64,Wholesale and Retail,68
Samoa,Male,25-54,Wholesale and Retail,1554
Cook Islands,Male,55-64,Wholesale and Retail,40
Cook Islands,Male,15-24,Wholesale and Retail,112
Kiribati,Male,15-24,Wholesale and Retail,555
Micronesia (Federated States of),Female,15-24,Wholesale and Retail,428
Marshall Islands,Male,25-54,Wholesale and Retail,736
Nauru,Male,15-24,Wholesale and Retail,53
Micronesia (Federated States of),Male,55-64,Wholesale and Retail,173
Samoa,Female,25-54,Wholesale and Retail,1212
Niue,Male,55-64,Wholesale and Retail,8
Micronesia (Federated States of),Male,15-24,Wholesale and Retail,266
Palau,Female,25-54,Wholesale and Retail,398
Samoa,Female,15-24,Wholesale and Retail,456
Nauru,Male,25-54,Wholesale and Retail,101
Nauru,Female,25-54,Wholesale and Retail,95
Samoa,Male,55-64,Wholesale and Retail,133
Kiribati,Female,25-54,Wholesale and Retail,2558
Kiribati,Male,25-54,Wholesale and Retail,1946
Cook Islands,Male,25-54,Wholesale and Retail,318
Niue,Male,15-24,Wholesale and Retail,9
Palau,Male,25-54,Wholesale and Retail,454
Palau,Male,15-24,Wholesale and Retail,92
Niue,Male,25-54,Wholesale and Retail,19
Niue,Male,25-54,Wholesale and Retail,28
Palau,Female,55-64,Wholesale and Retail,35
Cook Islands,Female,15-24,Wholesale and Retail,61
Samoa,Female,55-64,Wholesale and Retail,125
Samoa,Male,15-24,Wholesale and Retail,463
Marshall Islands,Female,25-54,Transportation and storage,121
Kiribati,Female,25-54,Transportation and storage,227
Palau,Male,55-64,Transportation and storage,32
Samoa,Female,25-54,Transportation and storage,227
Palau,Male,25-54,Transportation and storage,216
Kiribati,Male,25-54,Transportation and storage,1490
Marshall Islands,Male,55-64,Transportation and storage,157
Nauru,Male,25-54,Transportation and storage,76
Palau,Male,15-24,Transportation and storage,16
Micronesia (Federated States of),Male,25-54,Transportation and storage,467
Samoa,Male,55-64,Transportation and storage,68
Kiribati,Female,15-24,Transportation and storage,90
Cook Islands,Male,25-54,Transportation and storage,165
Micronesia (Federated States of),Female,25-54,Transportation and storage,105
Samoa,Female,15-24,Transportation and storage,78
Niue,Male,25-54,Transportation and storage,18
Marshall Islands,Male,25-54,Transportation and storage,703
Micronesia (Federated States of),Male,55-64,Transportation and storage,81
Palau,Female,25-54,Transportation and storage,46
Niue,Female,25-54,Transportation and storage,6
Cook Islands,Female,25-54,Transportation and storage,43
Samoa,Male,15-24,Transportation and storage,205
Kiribati,Male,15-24,Transportation and storage,194
Kiribati,Male,15-24,Accommodation and Food,57
Cook Islands,Male,25-54,Accommodation and Food,255
Kiribati,Male,25-54,Accommodation and Food,228
Nauru,Male,15-24,Accommodation and Food,37
Palau,Male,25-54,Accommodation and Food,397
Marshall Islands,Female,25-54,Accommodation and Food,316
Micronesia (Federated States of),Male,55-64,Accommodation and Food,62
Micronesia (Federated States of),Female,15-24,Accommodation and Food,65
Samoa,Female,25-54,Accommodation and Food,500
Palau,Female,25-54,Accommodation and Food,432
Kiribati,Female,15-24,Accommodation and Food,100
Palau,Male,55-64,Accommodation and Food,27
Samoa,Male,25-54,Accommodation and Food,569
Cook Islands,Female,55-64,Accommodation and Food,48
Cook Islands,Male,15-24,Accommodation and Food,97
Cook Islands,Female,15-24,Accommodation and Food,133
Nauru,Female,15-24,Accommodation and Food,32
Palau,Male,15-24,Accommodation and Food,48
Niue,Female,25-54,Accommodation and Food,36
Niue,Female,25-54,Accommodation and Food,29
Palau,Female,55-64,Accommodation and Food,58
Nauru,Male,25-54,Accommodation and Food,85
Cook Islands,Female,25-54,Accommodation and Food,241
Samoa,Male,15-24,Accommodation and Food,217
Kiribati,Female,25-54,Accommodation and Food,321
Nauru,Female,25-54,Accommodation and Food,82
Samoa,Female,15-24,Accommodation and Food,171
Niue,Male,25-54,Accommodation and Food,14
Palau,Female,15-24,Accommodation and Food,42
Micronesia (Federated States of),Male,25-54,Accommodation and Food,228
Micronesia (Federated States of),Female,25-54,Accommodation and Food,446
Marshall Islands,Male,25-54,Accommodation and Food,291
Nauru,Female,25-54,Financial and insurance activities,37
Niue,Female,25-54,Financial and insurance activities,19
Niue,Female,25-54,Financial and insurance activities,7
Marshall Islands,Male,25-54,Financial and insurance activities,96
Kiribati,Female,25-54,Financial and insurance activities,81
Micronesia (Federated States of),Female,25-54,Financial and insurance activities,94
Palau,Male,55-64,Financial and insurance activities,7
Marshall Islands,Female,25-54,Financial and insurance activities,188
Kiribati,Male,25-54,Financial and insurance activities,87
Nauru,Male,15-24,Financial and insurance activities,53
Samoa,Male,25-54,Financial and insurance activities,404
Palau,Male,25-54,Financial and insurance activities,25
Samoa,Female,15-24,Financial and insurance activities,132
Cook Islands,Female,25-54,Financial and insurance activities,133
Samoa,Male,15-24,Financial and insurance activities,122
Palau,Female,25-54,Financial and insurance activities,61
Samoa,Female,25-54,Financial and insurance activities,631
Nauru,Male,25-54,Financial and insurance activities,58
Samoa,Female,55-64,Support Service,73
Palau,Male,15-24,Support Service,84
Niue,Male,25-54,Support Service,16
Samoa,Female,25-54,Support Service,473
Palau,Female,25-54,Support Service,367
Samoa,Male,15-24,Support Service,335
Niue,Female,55-64,Support Service,11
Nauru,Male,25-54,Support Service,254
Cook Islands,Female,25-54,Support Service,234
Niue,Female,15-24,Support Service,6
Cook Islands,Male,25-54,Support Service,147
Samoa,Male,55-64,Support Service,91
Nauru,Female,25-54,Support Service,154
Micronesia (Federated States of),Male,25-54,Support Service,113
Palau,Female,15-24,Support Service,47
Micronesia (Federated States of),Female,25-54,Support Service,66
Kiribati,Male,25-54,Support Service,541
Palau,Female,55-64,Support Service,40
Kiribati,Male,15-24,Support Service,70
Nauru,Female,15-24,Support Service,27
Samoa,Male,25-54,Support Service,1202
Niue,Female,25-54,Support Service,47
Marshall Islands,Female,25-54,Support Service,300
Marshall Islands,Male,25-54,Support Service,566
Nauru,Male,15-24,Support Service,134
Samoa,Female,15-24,Support Service,187
Palau,Male,55-64,Support Service,112
Niue,Male,55-64,Support Service,6
Samoa,Male,25-54,Education,885
Cook Islands,Male,25-54,Education,73
Palau,Female,25-54,Education,380
Kiribati,Female,25-54,Education,1528
Cook Islands,Female,55-64,Education,42
Marshall Islands,Male,25-54,Education,762
Niue,Female,55-64,Education,9
Micronesia (Federated States of),Male,55-64,Education,373
Marshall Islands,Female,25-54,Education,738
Palau,Male,25-54,Education,160
Micronesia (Federated States of),Female,25-54,Education,1067
Cook Islands,Female,25-54,Education,119
Samoa,Male,15-24,Education,114
Samoa,Female,55-64,Education,175
Samoa,Female,15-24,Education,191
Niue,Male,25-54,Education,15
Niue,Female,25-54,Education,23
Niue,Female,25-54,Education,36
Marshall Islands,Female,55-64,Education,148
Nauru,Female,25-54,Education,197
Micronesia (Federated States of),Female,55-64,Education,165
Kiribati,Female,55-64,Education,67
Samoa,Female,25-54,Education,1673
Marshall Islands,Male,55-64,Education,219
Nauru,Male,25-54,Education,26
Kiribati,Female,15-24,Education,184
Palau,Male,15-24,Education,13
Palau,Female,55-64,Education,61
Palau,Male,55-64,Education,39
Palau,Female,15-24,Education,19
Micronesia (Federated States of),Male,25-54,Education,1062
Samoa,Male,55-64,Education,143
