Pacific Island Countries,Sex,Economic sector,Number of employed persons,Sex share
Nauru,Female,Accommodation and Food,118,0.46
Nauru,Male,Accommodation and Food,141,0.54
Nauru,Female,Support Service,185,0.32
Nauru,Male,Support Service,401,0.68
Nauru,Female,Agriculture and Fishing,22,0.27
Nauru,Male,Agriculture and Fishing,61,0.73
Nauru,Male,Construction,122,1.00
Nauru,Female,Education,226,0.80
Nauru,Male,Education,56,0.20
Nauru,Male,Electricity and Gas,78,0.66
Nauru,Female,Financial and Insurance,41,0.34
Nauru,Male,Financial and Insurance,124,0.37
Nauru,Female,Social Work and Health ,207,0.63
Nauru,Male,Social Work and Health ,162,0.66
Nauru,Male,Transportation and Storage,82,0.34
Nauru,Female,Wholesale and Retail,127,0.44
Nauru,Male,Wholesale and Retail,161,0.56
Solomon Islands,Female,Accommodation and Food,1055,0.76
Solomon Islands,Male,Accommodation and Food,328,0.24
Solomon Islands,Female,Support Service,1129,0.21
Solomon Islands,Male,Support Service,4289,0.79
Solomon Islands,Female,Agriculture and Fishing,14021,0.31
Solomon Islands,Male,Agriculture and Fishing,30646,0.69
Solomon Islands,Female,Construction,97,0.02
Solomon Islands,Male,Construction,4340,0.98
Solomon Islands,Female,Education,5982,0.45
Solomon Islands,Male,Education,7385,0.55
Solomon Islands,Male,Electricity and Gas,144,1.00
Solomon Islands,Female,Financial and Insurance,450,0.31
Solomon Islands,Male,Financial and Insurance,987,0.69
Solomon Islands,Female,Social Work and Health ,1068,0.52
Solomon Islands,Male,Social Work and Health ,1000,0.48
Solomon Islands,Female,Transportation and Storage,217,0.05
Solomon Islands,Male,Transportation and Storage,4082,0.95
Solomon Islands,Female,Wholesale and Retail,7350,0.41
Solomon Islands,Male,Wholesale and Retail,10454,0.59
Micronesia (Federated States of),Female,Accommodation and Food,542,0.63
Micronesia (Federated States of),Male,Accommodation and Food,317,0.37
Micronesia (Federated States of),Female,Support Service,87,0.35
Micronesia (Federated States of),Male,Support Service,159,0.65
Micronesia (Federated States of),Female,Agriculture and Fishing,42,0.05
Micronesia (Federated States of),Male,Agriculture and Fishing,779,0.95
Micronesia (Federated States of),Male,Construction,853,1.00
Micronesia (Federated States of),Female,Education,1282,0.47
Micronesia (Federated States of),Male,Education,1442,0.53
