Pacific Island Countries,Sex,Economic Sector,Number of employed persons,Female Proportion,Male Proportion
Nauru,Female,Accommodation and Food,118,0.46,0
Nauru,Male,Accommodation and Food,141,0,0.54
Nauru,Female,Support Service,185,0.32,0
Nauru,Male,Support Service,401,0,0.68
Nauru,Female,Agriculture and Fishing,22,0.27,0
Nauru,Male,Agriculture and Fishing,61,0,0.73
Nauru,Male,Construction,122,1.00,0
Nauru,Female,Education,226,0.80,0
Nauru,Male,Education,56,0,0.20
Nauru,Male,Electricity and Gas,78,0,1.00
Nauru,Female,Financial and Insurance,41,0.25,0
Nauru,Male,Financial and Insurance,124,0.00,0.75
Nauru,Female,Social Work and Health ,207,0.56,0
Nauru,Male,Social Work and Health ,162,0,0.44
Nauru,Male,Transportation and Storage,82,0,1.00
Nauru,Female,Wholesale and Retail,127,0.44,0
Nauru,Male,Wholesale and Retail,161,0,0.56
Solomon Islands,Female,Accommodation and Food,1055,0.76,0
Solomon Islands,Male,Accommodation and Food,328,0,0.24
Solomon Islands,Female,Support Service,1129,0.21,0
Solomon Islands,Male,Support Service,4289,0,0.79
Solomon Islands,Female,Agriculture and Fishing,14021,0.31,0
Solomon Islands,Male,Agriculture and Fishing,30646,0,0.69
Solomon Islands,Female,Construction,97,0.02,0
Solomon Islands,Male,Construction,4340,0,0.98
Solomon Islands,Female,Education,5982,0.45,0
Solomon Islands,Male,Education,7385,0,0.55
Solomon Islands,Male,Electricity and Gas,144,0,1.00
Solomon Islands,Female,Financial and Insurance,450,0.31,0
Solomon Islands,Male,Financial and Insurance,987,0,0.69
Solomon Islands,Female,Social Work and Health ,1068,0.52,0
Solomon Islands,Male,Social Work and Health ,1000,0,0.48
Solomon Islands,Female,Transportation and Storage,217,0.05,0
Solomon Islands,Male,Transportation and Storage,4082,0,0.95
Solomon Islands,Female,Wholesale and Retail,7350,0.41,0
Solomon Islands,Male,Wholesale and Retail,10454,0,0.59
Micronesia,Female,Accommodation and Food,542,0.63,0
Micronesia,Male,Accommodation and Food,317,0,0.37
Micronesia,Female,Support Service,87,0.35,0
Micronesia,Male,Support Service,159,0,0.65
Micronesia,Female,Agriculture and Fishing,42,0.05,0
Micronesia,Male,Agriculture and Fishing,779,0,0.95
Micronesia,Male,Construction,853,0,1.00
Micronesia,Female,Education,1282,0.47,0
Micronesia,Male,Education,1442,0,0.53
Micronesia,Male,Electricity and Gas,279,0,1.00
Micronesia,Female,Financial and Insurance,112,0.55,0
Micronesia,Male,Financial and Insurance,91,0,0.45
Micronesia,Female,Social Work and Health ,738,0.58,0
Micronesia,Male,Social Work and Health ,538,0,0.42
Micronesia,Female,Transportation and Storage,122,0.17,0
Micronesia,Male,Transportation and Storage,580,0,0.83
Micronesia,Female,Wholesale and Retail,1719,0.52,0
Micronesia,Male,Wholesale and Retail,1560,0,0.48
Samoa,Female,Accommodation and Food,727,0.47,0
Samoa,Male,Accommodation and Food,821,0,0.53
