Pacific Island Countries,Sex,Economic sector,Number of employed persons
Cook Islands,Female,Accommodation and Food service,443
Cook Islands,Total,Accommodation and Food service,843
Cook Islands,Male,Accommodation and Food service,399
Palau,Total,Accommodation and Food service,1021
Palau,Male,Accommodation and Food service,478
Palau,Female,Accommodation and Food service,543
Cook Islands,Total,Support Service,517
Cook Islands,Male,Support Service,217
Cook Islands,Female,Support Service,300
Palau,Total,Support Service,1338
Palau,Female,Support Service,456
Palau,Male,Support Service,882
Cook Islands,Total,Agricultur and Fishery,245
Cook Islands,Male,Agricultur and Fishery,198
Palau,Male,Agricultur and Fishery,434
Palau,Female,Agricultur and Fishery,83
Palau,Total,Agricultur and Fishery,517
Cook Islands,Male,Construction,496
Cook Islands,Total,Construction,506
Palau,Total,Construction,769
Palau,Male,Construction,743
Palau,Female,Construction,26
Tokelau,Total,Construction,28
Tokelau,Male,Construction,28
Cook Islands,Female,Education,220
Cook Islands,Total,Education,316
Cook Islands,Male,Education,95
Palau,Male,Education,219
Palau,Total,Education,686
Palau,Female,Education,467
Tokelau,Total,Education,66
Tokelau,Male,Education,17
Tokelau,Female,Education,49
Cook Islands,Total,Electricity and Gas,47
Cook Islands,Male,Electricity and Gas,43
Palau,Male,Electricity and Gas,97
Palau,Total,Electricity and Gas,116
Palau,Female,Electricity and Gas,19
Tokelau,Total,Electricity and Gas,22
Tokelau,Male,Electricity and Gas,22
Cook Islands,Male,Financial and Insurance,45
Cook Islands,Female,Financial and Insurance,195
Cook Islands,Total,Financial and Insurance,241
Palau,Total,Financial and Insurance,102
Palau,Male,Financial and Insurance,33
Palau,Female,Financial and Insurance,69
Cook Islands,Female,Human health and Social work ,244
Cook Islands,Male,Human health and Social work ,43
Cook Islands,Total,Human health and Social work ,287
Palau,Female,Human health and Social work ,285
Palau,Male,Human health and Social work ,116
Palau,Total,Human health and Social work ,401
Tokelau,Female,Human health and Social work ,27
Tokelau,Total,Human health and Social work ,31
Cook Islands,Total,Transportation and Storage,304
Cook Islands,Male,Transportation and Storage,256
Cook Islands,Female,Transportation and Storage,47
Palau,Female,Transportation and Storage,53
Palau,Male,Transportation and Storage,273
Palau,Total,Transportation and Storage,326
Cook Islands,Male,Wholesale and Retail,477
