gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group b,bachelor's degree,standard,none,72.0,72.0,74.0
female,group c,some college,standard,completed,69.0,90.0,88.0
female,group b,master's degree,standard,none,90.0,95.0,93.0
male,group a,associate's degree,free/reduced,none,47.0,57.0,44.0
male,group c,some college,standard,none,76.0,78.0,75.0
female,group b,associate's degree,standard,none,71.0,83.0,78.0
female,group b,some college,standard,completed,88.0,95.0,92.0
male,group b,some college,free/reduced,none,40.0,43.0,39.0
male,group d,high school,free/reduced,completed,64.0,64.0,67.0
female,group b,high school,free/reduced,none,38.0,60.0,50.0
male,group c,associate's degree,standard,none,58.0,54.0,52.0
male,group d,associate's degree,standard,none,40.0,52.0,43.0
female,group b,high school,standard,none,65.0,81.0,73.0
male,group a,some college,standard,completed,78.0,72.0,70.0
female,group a,master's degree,standard,none,50.0,53.0,58.0
female,group c,some high school,standard,none,69.0,75.0,78.0
male,group c,high school,standard,none,88.0,89.0,86.0
female,group b,some high school,free/reduced,none,64.0,32.0,28.0
male,group c,master's degree,free/reduced,completed,46.0,42.0,46.0
female,group c,associate's degree,free/reduced,none,54.0,58.0,61.0
male,group d,high school,standard,none,66.0,69.0,63.0
female,group b,some college,free/reduced,completed,65.0,75.0,70.0
male,group d,some college,standard,none,44.0,54.0,53.0
female,group c,some high school,standard,none,69.0,73.0,73.0
male,group d,bachelor's degree,free/reduced,completed,74.0,71.0,80.0
male,group a,master's degree,free/reduced,none,73.0,74.0,72.0
male,group b,some college,standard,none,69.0,54.0,55.0
female,group c,bachelor's degree,standard,none,67.0,69.0,75.0
male,group c,high school,standard,none,70.0,70.0,65.0
female,group d,master's degree,standard,none,62.0,70.0,75.0
female,group d,some college,standard,none,69.0,74.0,74.0
female,group b,some college,standard,none,63.0,65.0,61.0
female,group e,master's degree,free/reduced,none,56.0,72.0,65.0
male,group d,some college,standard,none,40.0,42.0,38.0
male,group e,some college,standard,none,97.0,87.0,82.0
male,group e,associate's degree,standard,completed,81.0,81.0,79.0
female,group d,associate's degree,standard,none,74.0,81.0,83.0
female,group d,some high school,free/reduced,none,50.0,64.0,59.0
female,group d,associate's degree,free/reduced,completed,75.0,90.0,88.0
male,group b,associate's degree,free/reduced,none,57.0,56.0,57.0
male,group c,associate's degree,free/reduced,none,55.0,61.0,54.0
female,group c,associate's degree,standard,none,58.0,73.0,68.0
female,group b,associate's degree,standard,none,53.0,58.0,65.0
male,group b,some college,free/reduced,completed,59.0,65.0,66.0
female,group e,associate's degree,free/reduced,none,50.0,56.0,54.0
male,group b,associate's degree,standard,none,65.0,54.0,57.0
female,group a,associate's degree,standard,completed,55.0,65.0,62.0
female,group c,high school,standard,none,66.0,71.0,76.0
female,group d,associate's degree,free/reduced,completed,57.0,74.0,76.0
male,group c,high school,standard,completed,82.0,84.0,82.0
male,group e,some college,standard,none,53.0,55.0,48.0
male,group e,associate's degree,free/reduced,completed,77.0,69.0,68.0
male,group c,some college,standard,none,53.0,44.0,42.0
male,group d,high school,standard,none,88.0,78.0,75.0
female,group c,some high school,free/reduced,completed,71.0,84.0,87.0
female,group c,high school,free/reduced,none,33.0,41.0,43.0
female,group e,associate's degree,standard,completed,82.0,85.0,86.0
male,group d,associate's degree,standard,none,52.0,55.0,49.0
male,group d,some college,standard,completed,58.0,59.0,58.0
female,group c,some high school,free/reduced,none,64.0,69.0,66.0
male,group e,bachelor's degree,free/reduced,completed,79.0,74.0,72.0
male,group a,some high school,free/reduced,none,39.0,39.0,34.0
male,group a,associate's degree,free/reduced,none,62.0,61.0,55.0
female,group c,associate's degree,standard,none,69.0,80.0,71.0
female,group d,some high school,standard,none,59.0,58.0,59.0
