Retailer,Sales Method,Product,Total Sales
Walmart,Online,Women's Apparel,2245
Walmart,Outlet,Men's Street Footwear,2020
West Gear,Outlet,Men's Street Footwear,1037
Walmart,Outlet,Men's Street Footwear,1624
Walmart,Outlet,Men's Street Footwear,1360
Walmart,Outlet,Men's Athletic Footwear,1632
West Gear,Outlet,Men's Street Footwear,816
Walmart,Outlet,Men's Athletic Footwear,1946
Walmart,Online,Men's Street Footwear,2166
Walmart,Outlet,Men's Athletic Footwear,1408
West Gear,Online,Men's Street Footwear,1046
Walmart,Outlet,Men's Street Footwear,1734
Walmart,Outlet,Women's Apparel,1835
Walmart,Outlet,Women's Street Footwear,1428
Walmart,Outlet,Women's Street Footwear,1714
West Gear,Online,Men's Street Footwear,1030
Walmart,Outlet,Women's Street Footwear,1432
Walmart,Outlet,Men's Athletic Footwear,1063
Walmart,Online,Men's Athletic Footwear,1980
Walmart,Outlet,Men's Athletic Footwear,1187
Walmart,Online,Men's Street Footwear,1360
West Gear,Outlet,Men's Athletic Footwear,796
West Gear,Outlet,Women's Apparel,774
Walmart,Online,Men's Street Footwear,1555
Walmart,Online,Men's Street Footwear,1853
Walmart,Online,Women's Street Footwear,1680
Walmart,Outlet,Men's Apparel,1414
Walmart,Online,Men's Athletic Footwear,1586
West Gear,Outlet,Women's Street Footwear,1306
West Gear,Outlet,Women's Athletic Footwear,1183
West Gear,Outlet,Women's Street Footwear,469
Walmart,Online,Men's Athletic Footwear,1299
West Gear,Outlet,Women's Street Footwear,525
Walmart,Outlet,Men's Street Footwear,884
Walmart,Online,Men's Athletic Footwear,1640
West Gear,Outlet,Women's Apparel,1280
Walmart,Outlet,Women's Apparel,1307
Walmart,Outlet,Women's Athletic Footwear,1294
Walmart,Online,Men's Apparel,1736
Walmart,Outlet,Women's Apparel,1463
West Gear,Outlet,Men's Apparel,695
Walmart,Outlet,Men's Athletic Footwear,817
Walmart,Online,Women's Street Footwear,1625
Walmart,Online,Women's Street Footwear,1474
West Gear,Online,Men's Athletic Footwear,832
Walmart,Outlet,Men's Street Footwear,771
Walmart,Outlet,Women's Athletic Footwear,1097
Walmart,Online,Women's Athletic Footwear,1476
West Gear,Online,Women's Athletic Footwear,1404
West Gear,Outlet,Men's Apparel,1146
West Gear,Online,Women's Apparel,774
Walmart,Online,Men's Athletic Footwear,945
West Gear,Online,Women's Street Footwear,1305
West Gear,Online,Women's Street Footwear,574
Walmart,Online,Women's Apparel,1159
Walmart,Outlet,Women's Apparel,830
Walmart,Outlet,Women's Street Footwear,761
Sports Direct,Outlet,Men's Street Footwear,599
Walmart,Outlet,Men's Street Footwear,804
Walmart,Outlet,Women's Athletic Footwear,799
West Gear,Outlet,Women's Athletic Footwear,510
Walmart,Online,Men's Street Footwear,879
West Gear,Online,Women's Street Footwear,541
Walmart,Outlet,Men's Apparel,1046
West Gear,Online,Men's Apparel,842
West Gear,Outlet,Men's Athletic Footwear,512
Walmart,Online,Women's Apparel,1646
Walmart,Online,Women's Apparel,1393
Sports Direct,Online,Men's Street Footwear,736
West Gear,Online,Women's Apparel,1357
Walmart,Online,Men's Street Footwear,899
Walmart,Online,Women's Athletic Footwear,1194
Walmart,Outlet,Men's Street Footwear,682
Walmart,Outlet,Men's Apparel,1086
Walmart,Online,Women's Athletic Footwear,960
Walmart,Outlet,Men's Athletic Footwear,675
Sports Direct,Outlet,Women's Street Footwear,700
Walmart,Online,Women's Street Footwear,779
West Gear,Online,Men's Apparel,1264
Walmart,Outlet,Women's Athletic Footwear,941
Walmart,Outlet,Men's Apparel,853
West Gear,Online,Women's Athletic Footwear,537
Walmart,Online,Men's Athletic Footwear,850
Walmart,Online,Women's Athletic Footwear,1101
Walmart,Online,Men's Apparel,1058
Walmart,Online,Men's Street Footwear,812
Walmart,Outlet,Men's Street Footwear,546
Walmart,Outlet,Women's Apparel,742
Walmart,Online,Men's Street Footwear,856
West Gear,Online,Men's Athletic Footwear,580
Walmart,Online,Men's Athletic Footwear,810
Walmart,Outlet,Women's Street Footwear,647
Walmart,Outlet,Men's Athletic Footwear,607
Walmart,Outlet,Women's Street Footwear,607
Sports Direct,Outlet,Women's Apparel,629
Walmart,Online,Men's Athletic Footwear,768
Walmart,Outlet,Women's Street Footwear,550
Walmart,Online,Men's Apparel,1121
Walmart,Online,Men's Apparel,955
Sports Direct,Outlet,Women's Apparel,409
Sports Direct,Outlet,Men's Athletic Footwear,546
Walmart,Online,Women's Street Footwear,792
Walmart,Outlet,Women's Athletic Footwear,480
Walmart,Online,Women's Street Footwear,702
Walmart,Outlet,Men's Apparel,545
Sports Direct,Online,Women's Street Footwear,679
Sports Direct,Outlet,Women's Athletic Footwear,479
Walmart,Online,Women's Athletic Footwear,576
Walmart,Outlet,Women's Apparel,644
Walmart,Online,Women's Street Footwear,616
Walmart,Online,Women's Apparel,785
Sports Direct,Online,Women's Apparel,508
Walmart,Outlet,Women's Athletic Footwear,417
Walmart,Outlet,Men's Athletic Footwear,536
Walmart,Online,Women's Apparel,676
Sports Direct,Online,Women's Apparel,545
Sports Direct,Online,Men's Athletic Footwear,580
Walmart,Online,Men's Street Footwear,470
Walmart,Outlet,Women's Apparel,416
Walmart,Online,Men's Athletic Footwear,647
Walmart,Online,Men's Apparel,578
Walmart,Outlet,Women's Apparel,576
Walmart,Outlet,Women's Street Footwear,374
Sports Direct,Outlet,Women's Athletic Footwear,338
Walmart,Outlet,Men's Apparel,508
Sports Direct,Online,Women's Athletic Footwear,528
Walmart,Outlet,Women's Athletic Footwear,369
Walmart,Online,Women's Athletic Footwear,519
Walmart,Online,Women's Apparel,705
Walmart,Online,Women's Athletic Footwear,437
Walmart,Outlet,Women's Athletic Footwear,343
Walmart,Online,Women's Street Footwear,405
Walmart,Online,Women's Apparel,383
Sports Direct,Online,Women's Athletic Footwear,333
Walmart,Online,Men's Apparel,474
Walmart,Online,Men's Apparel,354
Walmart,Outlet,Men's Apparel,286
Walmart,Online,Women's Athletic Footwear,351
Sports Direct,Outlet,Men's Apparel,273
Sports Direct,Online,Men's Apparel,312
Sports Direct,Outlet,Men's Apparel,264
Walmart,Outlet,Men's Apparel,282
Walmart,Online,Men's Apparel,342
