Income,Cars,Commute Distance,Age,Purchased Bike
40000,0,0-1 Miles,42,No
30000,1,0-1 Miles,43,No
80000,2,2-5 Miles,60,No
70000,1,5-10 Miles,41,Yes
30000,0,0-1 Miles,36,Yes
10000,0,1-2 Miles,50,No
160000,4,0-1 Miles,33,Yes
40000,0,0-1 Miles,43,Yes
20000,2,5-10 Miles,58,No
20000,1,0-1 Miles,48,Yes
30000,2,1-2 Miles,54,Yes
90000,4,10+ Miles,36,No
170000,4,0-1 Miles,55,No
40000,1,1-2 Miles,35,Yes
60000,1,0-1 Miles,45,Yes
10000,1,0-1 Miles,38,Yes
30000,2,1-2 Miles,59,Yes
30000,0,0-1 Miles,47,No
40000,1,1-2 Miles,35,Yes
20000,2,5-10 Miles,55,Yes
40000,0,0-1 Miles,36,Yes
80000,4,10+ Miles,35,No
40000,0,1-2 Miles,35,Yes
80000,3,5-10 Miles,56,No
40000,1,0-1 Miles,34,No
30000,0,0-1 Miles,63,No
30000,1,0-1 Miles,29,Yes
100000,1,5-10 Miles,40,No
70000,2,5-10 Miles,44,No
20000,2,0-1 Miles,32,Yes
20000,0,0-1 Miles,63,No
10000,1,0-1 Miles,26,Yes
20000,1,5-10 Miles,31,No
80000,2,1-2 Miles,50,Yes
90000,2,2-5 Miles,62,Yes
10000,2,0-1 Miles,41,No
10000,1,0-1 Miles,50,Yes
30000,1,2-5 Miles,30,No
20000,1,2-5 Miles,28,No
10000,2,0-1 Miles,40,Yes
30000,0,0-1 Miles,43,No
40000,2,5-10 Miles,65,Yes
10000,0,0-1 Miles,40,No
170000,3,5-10 Miles,48,Yes
20000,0,0-1 Miles,41,Yes
20000,0,0-1 Miles,66,Yes
60000,1,5-10 Miles,46,Yes
40000,2,5-10 Miles,52,Yes
30000,2,0-1 Miles,42,No
40000,0,0-1 Miles,39,Yes
30000,1,0-1 Miles,28,No
80000,4,10+ Miles,35,No
20000,0,0-1 Miles,65,No
90000,3,5-10 Miles,56,No
70000,1,5-10 Miles,42,No
80000,2,10+ Miles,54,No
40000,0,0-1 Miles,38,Yes
130000,4,5-10 Miles,61,Yes
40000,0,0-1 Miles,43,Yes
60000,1,2-5 Miles,38,Yes
10000,1,1-2 Miles,45,No
10000,0,0-1 Miles,35,No
40000,1,0-1 Miles,52,Yes
60000,3,10+ Miles,41,No
30000,0,0-1 Miles,37,Yes
30000,2,5-10 Miles,68,No
40000,0,0-1 Miles,37,Yes
30000,1,2-5 Miles,33,Yes
20000,1,0-1 Miles,43,Yes
10000,2,0-1 Miles,30,No
120000,4,10+ Miles,36,Yes
10000,2,0-1 Miles,35,No
130000,4,0-1 Miles,52,No
20000,1,2-5 Miles,36,Yes
20000,2,1-2 Miles,62,No
130000,4,0-1 Miles,31,No
20000,2,1-2 Miles,26,No
80000,2,10+ Miles,29,Yes
80000,2,1-2 Miles,50,Yes
40000,2,5-10 Miles,63,Yes
30000,0,0-1 Miles,45,Yes
10000,2,0-1 Miles,40,No
30000,0,0-1 Miles,47,Yes
20000,1,2-5 Miles,29,No
40000,1,5-10 Miles,52,Yes
10000,1,1-2 Miles,26,Yes
130000,3,0-1 Miles,51,Yes
80000,4,1-2 Miles,40,No
30000,1,2-5 Miles,29,No
20000,1,1-2 Miles,40,Yes
30000,1,0-1 Miles,29,Yes
30000,1,0-1 Miles,30,Yes
60000,1,2-5 Miles,37,Yes
30000,1,2-5 Miles,33,No
30000,2,5-10 Miles,55,No
90000,2,10+ Miles,62,No
30000,1,0-1 Miles,43,No
40000,1,0-1 Miles,44,Yes
40000,0,0-1 Miles,37,Yes
20000,2,0-1 Miles,43,No
10000,0,0-1 Miles,35,No
60000,2,0-1 Miles,43,Yes
10000,0,1-2 Miles,49,No
60000,1,5-10 Miles,45,No
70000,2,5-10 Miles,49,Yes
30000,1,2-5 Miles,30,No
70000,2,5-10 Miles,52,Yes
40000,2,1-2 Miles,53,Yes
40000,0,0-1 Miles,38,Yes
40000,0,0-1 Miles,39,Yes
20000,0,0-1 Miles,46,Yes
70000,1,5-10 Miles,38,No
40000,2,1-2 Miles,35,No
130000,1,0-1 Miles,36,Yes
20000,0,0-1 Miles,26,Yes
10000,0,0-1 Miles,30,Yes
30000,2,0-1 Miles,42,No
20000,0,0-1 Miles,40,Yes
80000,2,2-5 Miles,62,No
30000,1,2-5 Miles,29,No
40000,2,5-10 Miles,66,Yes
150000,4,0-1 Miles,48,No
80000,3,10+ Miles,31,No
100000,4,5-10 Miles,56,No
40000,0,0-1 Miles,38,Yes
80000,4,1-2 Miles,40,No
30000,1,2-5 Miles,32,No
30000,1,2-5 Miles,39,No
