month,holiday,weekday,workingday,weather,total_user
Jan,No,Sat,No,Mist,985
Jan,No,Sun,No,Mist,801
Jan,No,Mon,Yes,Clear,1349
Jan,No,Tue,Yes,Clear,1562
Jan,No,Wed,Yes,Clear,1600
Jan,No,Thu,Yes,Clear,1606
Jan,No,Fri,Yes,Mist,1510
Jan,No,Sat,No,Mist,959
Jan,No,Sun,No,Clear,822
Jan,No,Mon,Yes,Clear,1321
Jan,No,Tue,Yes,Mist,1263
Jan,No,Wed,Yes,Clear,1162
Jan,No,Thu,Yes,Clear,1406
Jan,No,Fri,Yes,Clear,1421
Jan,No,Sat,No,Mist,1248
Jan,No,Sun,No,Clear,1204
Jan,Yes,Mon,No,Mist,1000
Jan,No,Tue,Yes,Mist,683
Jan,No,Wed,Yes,Mist,1650
Jan,No,Thu,Yes,Mist,1927
Jan,No,Fri,Yes,Clear,1543
Jan,No,Sat,No,Clear,981
Jan,No,Sun,No,Clear,986
Jan,No,Mon,Yes,Clear,1416
Jan,No,Tue,Yes,Mist,1985
Jan,No,Wed,Yes,Light Rain/Snow,506
Jan,No,Thu,Yes,Clear,431
Jan,No,Fri,Yes,Mist,1167
Jan,No,Sat,No,Clear,1098
Jan,No,Sun,No,Clear,1096
Jan,No,Mon,Yes,Mist,1501
Feb,No,Tue,Yes,Mist,1360
Feb,No,Wed,Yes,Mist,1526
Feb,No,Thu,Yes,Clear,1550
Feb,No,Fri,Yes,Mist,1708
Feb,No,Sat,No,Mist,1005
Feb,No,Sun,No,Clear,1623
Feb,No,Mon,Yes,Clear,1712
Feb,No,Tue,Yes,Clear,1530
Feb,No,Wed,Yes,Mist,1605
Feb,No,Thu,Yes,Clear,1538
Feb,No,Fri,Yes,Clear,1746
Feb,No,Sat,No,Clear,1472
Feb,No,Sun,No,Clear,1589
Feb,No,Mon,Yes,Clear,1913
Feb,No,Tue,Yes,Clear,1815
Feb,No,Wed,Yes,Clear,2115
Feb,No,Thu,Yes,Clear,2475
Feb,No,Fri,Yes,Clear,2927
Feb,No,Sat,No,Clear,1635
Feb,No,Sun,No,Clear,1812
Feb,Yes,Mon,No,Mist,1107
