region,industry,gender,worth in billions
North America,Technology-Computer,male,76.0
North America,Technology-Computer,male,48.0
North America,Technology-Computer,male,32.3
North America,Technology-Computer,male,31.8
North America,Technology-Computer,male,28.5
North America,Technology-Computer,male,19.3
East Asia,Technology-Computer,male,18.4
North America,Technology-Computer,male,17.5
North America,Technology-Computer,male,15.9
South Asia,Technology-Computer,male,15.3
North America,Technology-Computer,female,14.0
East Asia,Technology-Computer,male,13.4
East Asia,Technology-Computer,male,12.1
East Asia,Technology-Computer,male,11.1
South Asia,Technology-Computer,male,11.1
East Asia,Technology-Computer,male,10.0
North America,Technology-Computer,male,9.3
Europe,Technology-Computer,male,8.8
North America,Technology-Computer,male,8.2
Europe,Technology-Computer,male,8.2
North America,Technology-Computer,male,7.7
North America,Technology-Computer,male,7.5
Europe,Technology-Computer,male,7.5
Europe,Technology-Computer,male,7.0
North America,Technology-Computer,male,6.8
North America,Technology-Computer,male,6.8
East Asia,Technology-Computer,male,6.6
East Asia,Technology-Computer,male,5.4
North America,Technology-Computer,male,5.0
East Asia,Technology-Computer,male,4.8
North America,Technology-Computer,male,4.5
East Asia,Technology-Computer,male,4.5
North America,Technology-Computer,male,4.5
Europe,Technology-Computer,male,4.2
East Asia,Technology-Computer,male,4.2
East Asia,Technology-Computer,male,4.1
Latin America,Technology-Computer,male,4.1
Europe,Technology-Computer,male,3.8
North America,Technology-Computer,male,3.8
East Asia,Technology-Computer,male,3.7
North America,Technology-Computer,male,3.7
North America,Technology-Computer,male,3.7
North America,Technology-Computer,male,3.6
North America,Technology-Computer,male,3.5
North America,Technology-Computer,male,3.5
East Asia,Technology-Computer,male,3.3
North America,Technology-Computer,male,3.3
East Asia,Technology-Computer,male,3.1
North America,Technology-Computer,male,3.0
North America,Technology-Computer,male,2.9
North America,Technology-Computer,female,2.7
Europe,Technology-Computer,female,2.7
East Asia,Technology-Computer,male,2.7
North America,Technology-Computer,male,2.7
East Asia,Technology-Computer,male,2.6
East Asia,Technology-Computer,male,2.6
North America,Technology-Computer,male,2.6
North America,Technology-Computer,male,2.5
North America,Technology-Computer,male,2.5
North America,Technology-Computer,male,2.5
East Asia,Technology-Computer,male,2.3
North America,Technology-Computer,male,2.2
Europe,Technology-Computer,male,2.2
East Asia,Technology-Computer,male,2.2
North America,Technology-Computer,male,2.2
North America,Technology-Computer,male,2.2
North America,Technology-Computer,male,2.1
East Asia,Technology-Computer,male,2.1
East Asia,Technology-Computer,male,2.0
North America,Technology-Computer,male,2.0
North America,Technology-Computer,female,2.0
North America,Technology-Computer,male,2.0
