type_of_subject,subject_race,subject_sex,box_office
Criminal,African American,Male,130000000
Criminal,White,Male,52900000
Criminal,African American,Male,86700
Criminal,White,Male,33000000
Criminal,White,Male,49100000
Criminal,White,Male,102000000
Criminal,White,Male,102000000
Criminal,White,Male,4000000
Criminal,White,Male,1170000
Criminal,White,Male,46800000
Criminal,White,Male,1190000
Criminal,White,Male,65700
Criminal,White,Male,552000
Criminal,White,Male,275000
Criminal,White,Male,74900
Criminal,White,Male,53300000
Criminal,White,Male,7060000
Criminal,White,Male,340000
Criminal,White,Male,340000
Criminal,White,Male,3900000
Criminal,White,Male,1210000
Criminal,White,Male,1940000
Criminal,Multi racial,Male,2060000
Criminal,Multi racial,Male,2060000
Other,African American,Male,56700000
Other,Asian American,Male,81200000
Other,White,Male,21200000
Other,White,Female,14200000
Other,White,Male,8250000
Other,White,Female,4530000
Other,White,Female,332000
Other,White,Female,10100000
Other,African American,Female,693000
Other,White,Female,36600000
Other,African American,Male,16100000
Other,Multi racial,Male,16100000
Other,White,Female,221000
Other,White,Male,6390000
Other,Multi racial,Male,315000
Other,Asian American,Female,5860000
Other,White,Female,11600000
Other,White,Male,6000000
Other,White,Female,6000000
Other,White,Female,4080000
Other,White,Female,14500000
Media,White,Male,14500000
Other,White,Male,25000000
Other,African American,Male,117000000
Other,White,Male,538000
Other,White,Male,42400000
Other,White,Male,616000
Other,White,Male,2480000
Other,Multi racial,Male,32500000
Other,White,Female,87100000
Other,White,Female,1220000
Other,White,Female,37700000
Other,White,Male,21800
Other,White,Male,15400000
Other,White,Female,15400000
Other,White,Male,31600000
Other,Hispanic (Latin American),Male,1320000
Other,White,Male,83300000
Other,White,Male,96100000
Other,White,Male,37900000
Actress / activist,Hispanic (Latin American),Female,50000000
Media,White,Male,41200000
Media,Middle Eastern,Male,3090000
Media,White,Male,5990000
Media,White,Female,1570000
Athlete / military,White,Male,116000000
