Year,Age,Gender,Case
2015,20-29,Male,5
2015,30-39,Male,20
2015,40-49,Male,35
2015,50-59,Male,94
2015,60-69,Male,161
2015,70-79,Male,110
2015,80 and above,Male,39
2015,Less than 20,Male,10
2015,20-29,Female,7
2015,30-39,Female,32
2015,40-49,Female,73
2015,50-59,Female,101
2015,60-69,Female,106
2015,70-79,Female,81
2015,80 and above,Female,43
2015,Less than 20,Female,5
2016,20-29,Male,9
2016,30-39,Male,21
2016,40-49,Male,38
2016,50-59,Male,90
2016,60-69,Male,140
2016,70-79,Male,135
2016,80 and above,Male,46
2016,Less than 20,Male,5
2016,20-29,Female,3
2016,30-39,Female,30
2016,40-49,Female,90
2016,50-59,Female,77
2016,60-69,Female,100
2016,70-79,Female,83
2016,80 and above,Female,45
2016,Less than 20,Female,5
2017,20-29,Male,8
2017,30-39,Male,13
2017,40-49,Male,46
2017,50-59,Male,89
2017,60-69,Male,146
2017,70-79,Male,140
2017,80 and above,Male,48
2017,Less than 20,Male,6
2017,20-29,Female,6
2017,30-39,Female,37
2017,40-49,Female,90
2017,50-59,Female,99
2017,60-69,Female,121
2017,70-79,Female,77
2017,80 and above,Female,39
2017,Less than 20,Female,3
2018,20-29,Male,5
2018,30-39,Male,18
2018,40-49,Male,34
2018,50-59,Male,81
2018,60-69,Male,149
2018,70-79,Male,162
2018,80 and above,Male,45
2018,Less than 20,Male,5
2018,20-29,Female,9
2018,30-39,Female,33
2018,40-49,Female,69
2018,50-59,Female,108
2018,60-69,Female,129
2018,70-79,Female,96
2018,80 and above,Female,52
2018,Less than 20,Female,4
2019,20-29,Male,3
2019,30-39,Male,15
2019,40-49,Male,56
2019,50-59,Male,92
2019,60-69,Male,146
2019,70-79,Male,150
2019,80 and above,Male,45
2019,Less than 20,Male,6
2019,20-29,Female,10
2019,30-39,Female,41
2019,40-49,Female,88
2019,50-59,Female,115
2019,60-69,Female,110
2019,70-79,Female,87
2019,80 and above,Female,45
2019,Less than 20,Female,7
2020,20-29,Male,6
2020,30-39,Male,14
2020,40-49,Male,56
2020,50-59,Male,107
2020,60-69,Male,168
2020,70-79,Male,158
2020,80 and above,Male,47
2020,Less than 20,Male,4
2020,20-29,Female,7
2020,30-39,Female,42
2020,40-49,Female,81
2020,50-59,Female,120
2020,60-69,Female,139
2020,70-79,Female,111
2020,80 and above,Female,45
2020,Less than 20,Female,5
