month,holiday,weather,total_user
Jan,No,Mist,985
Jan,No,Mist,801
Jan,No,Clear,1349
Jan,No,Clear,1562
Jan,No,Clear,1600
Jan,No,Clear,1606
Jan,No,Mist,1510
Jan,No,Mist,959
Jan,No,Clear,822
Jan,No,Clear,1321
Jan,No,Mist,1263
Jan,No,Clear,1162
Jan,No,Clear,1406
Jan,No,Clear,1421
Jan,No,Mist,1248
Jan,No,Clear,1204
Jan,Yes,Mist,1000
Jan,No,Mist,683
Jan,No,Mist,1650
Jan,No,Mist,1927
Jan,No,Clear,1543
Jan,No,Clear,981
Jan,No,Clear,986
Jan,No,Clear,1416
Jan,No,Mist,1985
Jan,No,Light Rain/Snow,506
Jan,No,Clear,431
Jan,No,Mist,1167
Jan,No,Clear,1098
Jan,No,Clear,1096
Jan,No,Mist,1501
Feb,No,Mist,1360
Feb,No,Mist,1526
Feb,No,Clear,1550
Feb,No,Mist,1708
Feb,No,Mist,1005
Feb,No,Clear,1623
Feb,No,Clear,1712
Feb,No,Clear,1530
Feb,No,Mist,1605
Feb,No,Clear,1538
Feb,No,Clear,1746
Feb,No,Clear,1472
Feb,No,Clear,1589
Feb,No,Clear,1913
Feb,No,Clear,1815
Feb,No,Clear,2115
Feb,No,Clear,2475
Feb,No,Clear,2927
Feb,No,Clear,1635
Feb,No,Clear,1812
Feb,Yes,Mist,1107
Feb,No,Clear,1450
Feb,No,Clear,1917
Feb,No,Mist,1807
Feb,No,Mist,1461
Feb,No,Clear,1969
Feb,No,Clear,2402
Feb,No,Mist,1446
Mar,No,Clear,1851
Mar,No,Clear,2134
Mar,No,Clear,1685
Mar,No,Mist,1944
Mar,No,Mist,2077
Mar,No,Mist,605
Mar,No,Clear,1872
Mar,No,Clear,2133
Mar,No,Mist,1891
Mar,No,Light Rain/Snow,623
Mar,No,Mist,1977
Mar,No,Clear,2132
Mar,No,Clear,2417
Mar,No,Clear,2046
Mar,No,Mist,2056
Mar,No,Mist,2192
Mar,No,Clear,2744
Mar,No,Clear,3239
Mar,No,Clear,3117
Mar,No,Clear,2471
Mar,No,Mist,2077
Mar,No,Clear,2703
Mar,No,Mist,2121
Mar,No,Mist,1865
Mar,No,Clear,2210
Mar,No,Clear,2496
Mar,No,Mist,1693
Mar,No,Clear,2028
Mar,No,Clear,2425
Mar,No,Mist,1536
Mar,No,Light Rain/Snow,1685
Apr,No,Mist,2227
Apr,No,Mist,2252
Apr,No,Clear,3249
Apr,No,Clear,3115
Apr,No,Mist,1795
Apr,No,Clear,2808
Apr,No,Clear,3141
Apr,No,Mist,1471
Apr,No,Mist,2455
Apr,No,Mist,2895
Apr,No,Mist,3348
Apr,No,Mist,2034
Apr,No,Mist,2162
Apr,No,Clear,3267
Apr,Yes,Clear,3126
Apr,No,Light Rain/Snow,795
Apr,No,Clear,3744
Apr,No,Clear,3429
Apr,No,Mist,3204
Apr,No,Clear,3944
Apr,No,Clear,4189
Apr,No,Mist,1683
Apr,No,Mist,4036
Apr,No,Mist,4191
Apr,No,Clear,4073
Apr,No,Clear,4400
Apr,No,Mist,3872
Apr,No,Mist,4058
Apr,No,Clear,4595
Apr,No,Clear,5312
May,No,Mist,3351
May,No,Mist,4401
May,No,Mist,4451
May,No,Mist,2633
May,No,Clear,4433
May,No,Clear,4608
May,No,Clear,4714
May,No,Clear,4333
May,No,Clear,4362
May,No,Clear,4803
May,No,Clear,4182
May,No,Clear,4864
May,No,Mist,4105
May,No,Mist,3409
May,No,Mist,4553
May,No,Clear,3958
May,No,Mist,4123
May,No,Mist,3855
May,No,Mist,4575
May,No,Clear,4917
May,No,Clear,5805
May,No,Clear,4660
May,No,Mist,4274
May,No,Mist,4492
May,No,Clear,4978
May,No,Clear,4677
May,No,Clear,4679
May,No,Clear,4758
May,No,Clear,4788
May,Yes,Clear,4098
May,No,Clear,3982
Jun,No,Mist,3974
Jun,No,Clear,4968
Jun,No,Clear,5312
Jun,No,Clear,5342
Jun,No,Mist,4906
Jun,No,Clear,4548
Jun,No,Clear,4833
Jun,No,Clear,4401
Jun,No,Mist,3915
Jun,No,Clear,4586
Jun,No,Clear,4966
Jun,No,Clear,4460
Jun,No,Clear,5020
Jun,No,Clear,4891
Jun,No,Clear,5180
Jun,No,Mist,3767
Jun,No,Clear,4844
Jun,No,Clear,5119
Jun,No,Mist,4744
Jun,No,Mist,4010
Jun,No,Mist,4835
Jun,No,Clear,4507
Jun,No,Mist,4790
Jun,No,Clear,4991
Jun,No,Clear,5202
Jun,No,Clear,5305
Jun,No,Mist,4708
Jun,No,Clear,4648
Jun,No,Clear,5225
Jun,No,Clear,5515
Jul,No,Clear,5362
Jul,No,Clear,5119
Jul,No,Mist,4649
Jul,Yes,Mist,6043
Jul,No,Clear,4665
Jul,No,Clear,4629
Jul,No,Clear,4592
Jul,No,Mist,4040
Jul,No,Clear,5336
Jul,No,Clear,4881
Jul,No,Clear,4086
Jul,No,Clear,4258
Jul,No,Clear,4342
Jul,No,Clear,5084
Jul,No,Clear,5538
Jul,No,Clear,5923
Jul,No,Clear,5302
