Studio,Type,Year,Worldwide $m
Fox,Drama,2009,2727.3
Par.,Drama,1997,1843.2
NL,Drama,2003,1119.1
BV,Drama,2006,1066.2
BV,Comedy,2010,1017.2
WB,Action,2008,1001.9
WB,Family,2001,974.7
BV,Action,2007,961.0
WB,Family,2007,938.2
WB,Family,2009,934.0
NL,Drama,2002,925.3
Fox,Action,1999,924.3
DW,Family,2004,919.8
Uni.,Action,1993,914.7
WB,Family,2005,895.9
Sony,Action,2007,890.9
Fox,Family,2009,884.8
WB,Family,2002,878.6
NL,Drama,2001,870.8
BV,Family,2003,867.9
Fox,Action,2005,848.8
P/DW,Action,2009,836.3
Sony,Action,2002,821.7
Fox,Action,1996,817.4
P/DW,Family,2007,799.0
WB,Family,2004,795.6
Par.,Action,2008,786.6
BV,Family,1994,783.8
Sony,Action,2004,783.8
Fox,Action,1977,775.4
Sony,Action,2009,769.7
Sony,Mystery/Suspense,2006,758.2
BV,Family,2005,745.0
WB,Action,2003,742.1
BV,Family,2009,731.3
Sum.,Drama,2009,709.7
P/DW,Action,2007,709.7
Par.,Drama,1994,677.4
BV,Mystery/Suspense,1999,672.8
Fox,Family,2006,655.4
BV,Action,2003,654.3
Fox,Action,2002,649.4
P/DW,Family,2008,631.7
BV,Family,2004,631.4
Sony,Drama,2008,624.4
BV,Family,2007,623.7
Uni.,Action,1997,618.6
NM,Drama,2004,611.9
Uni.,Drama,2008,609.8
P/DW,Family,2008,603.9
Par.,Action,2010,594.8
Sony,Action,2006,594.2
Par.,Drama,2005,591.7
Sony,Action,1997,589.4
Sony,Action,2008,586.1
WB,Drama,2007,585.3
Par.,Action,2008,585.2
Fox,Family,2006,574.5
BV,Action,1998,553.7
Uni.,Drama,2005,550.5
Par.,Action,2000,546.4
Fox,Action,2004,544.3
Fox,Action,1980,538.4
DW,Family,2005,532.7
Fox,Family,2007,527.1
BV,Family,2001,525.4
BV,Family,2008,521.3
TriS,Drama,1991,519.8
WB,Action,2009,516.8
Uni.,Comedy,2004,516.6
Par.,Drama,1990,505.7
BV,Family,1992,504.1
WB,Drama,2004,497.4
WB,Action,1996,494.5
WB,Action,2010,487.9
Sony,Mystery/Suspense,2009,485.9
BV,Family,1999,485.0
Uni.,Comedy,2003,484.6
DW,Family,2001,484.4
DW,Drama,1998,481.8
Fox,Action,2005,478.2
Fox,Family,1990,476.7
Fox,Action,1983,475.1
WB,Family,2005,475.0
Par.,Action,1989,474.2
P/DW,Family,2010,472.6
Uni.,Mystery/Suspense,1975,470.7
WB,Comedy,2009,467.3
WB,Action,1999,463.5
BV,Drama,1990,463.4
BV,Family,2006,462.0
Fox,Action,2006,459.4
Par.,Action,1996,457.7
DW,Drama,2000,457.6
BV,Drama,2007,457.4
WB,Drama,2003,456.8
WB,Action,2007,456.1
WB,Drama,2001,450.7
BV,Drama,2001,449.2
BV,Family,1999,448.2
Fox,Family,2009,443.2
Uni.,Drama,2007,442.8
Sony,Action,2002,441.8
Fox,Family,1993,441.3
WB,Mystery/Suspense,1973,441.1
WB,Action,2003,433.4
Uni.,Action,2001,433.0
MGM,Drama,2002,432.0
Fox,Drama,2000,429.6
WB,Action,2003,427.3
Orion,Drama,1990,424.2
BV,Family,2008,419.7
Uni.,Action,1999,415.9
WB (NL),Drama,2008,415.3
Fox,Family,2009,413.1
WB,Action,1989,411.3
WB,Drama,1992,410.9
Sum.,Drama,2008,408.8
BV,Mystery/Suspense,2002,408.2
Fox,Action,2003,407.7
Uni.,Action,2008,401.1
MGM,Drama,1939,400.2
Par.,Action,2006,397.9
Par.,Drama,1978,394.6
WB,Drama,2006,391.1
WB,Action,1991,390.5
Par.,Drama,2009,385.5
WB,Family,2006,384.3
Par.,Action,1981,384.1
Fox,Action,2007,383.5
Fox,Family,2002,383.3
P/DW,Family,2009,381.5
Uni.,Family,1985,381.1
Sony,Action,1998,379.0
Fox,Drama,1994,378.9
FoxS,Drama,2008,377.9
BV,Family,1991,377.4
Par.,Drama,2000,374.1
