day,sex,total_bill,tip
Thur,Male,30.19,7.0
Sun,Female,20.07,2.73
Sat,Male,29.43,5.28
Sat,Male,36.23,9.71
Fri,Male,46.05,1.29
Thur,Male,31.13,2.37
Sat,Male,15.47,3.69
Sat,Female,38.6,9.48
Sun,Female,40.0,9.18
Sat,Male,14.02,2.46
Sat,Female,41.93,9.83
Sat,Female,25.92,7.76
Thur,Male,40.09,5.86
Sat,Female,15.69,9.39
Sun,Male,19.97,8.93
Fri,Female,47.92,4.52
Thur,Male,34.6,6.91
Sat,Female,39.78,6.83
Sun,Female,35.98,3.94
Sun,Male,14.19,2.61
Fri,Male,26.18,5.2
Sun,Male,41.4,3.37
Sun,Female,35.38,4.2
Sun,Female,5.27,9.59
Thur,Female,8.93,5.15
Sat,Male,20.61,7.16
Sun,Female,47.5,4.03
Sat,Male,27.1,9.96
Sun,Male,17.16,6.93
Fri,Male,21.22,2.76
Sat,Male,14.48,1.88
Sun,Female,23.95,9.49
Thur,Female,14.81,9.5
Sun,Female,43.06,6.59
Sat,Male,25.53,1.15
Thur,Male,17.59,3.03
Sun,Female,46.98,8.21
Fri,Male,19.15,8.88
Fri,Male,45.94,5.09
Thur,Female,6.95,4.29
Thur,Male,36.82,3.47
Sun,Female,26.78,2.05
Sun,Male,24.99,2.04
Fri,Female,6.63,9.57
Thur,Female,6.83,8.28
Sat,Female,19.97,2.48
Fri,Male,47.62,2.86
Sun,Male,32.79,6.9
Fri,Male,21.6,7.88
Sun,Male,32.54,8.29
Sun,Female,14.28,2.47
Thur,Female,12.43,9.86
Sun,Male,21.28,3.05
Thur,Male,43.85,6.3
Thur,Female,27.92,6.29
Thur,Male,18.36,9.71
Fri,Female,47.76,6.92
Sat,Male,41.72,6.26
Sun,Male,19.53,5.67
Fri,Female,48.74,7.88
Fri,Male,49.43,1.95
Sat,Female,23.39,1.02
Thur,Male,34.52,9.57
Thur,Female,23.25,5.49
Fri,Male,16.58,3.96
Thur,Male,8.72,4.31
Fri,Male,16.86,8.23
Fri,Male,17.22,4.44
Thur,Female,22.94,7.93
Sun,Male,13.32,4.96
Thur,Male,47.92,8.6
Thur,Female,9.63,1.69
Thur,Female,33.13,5.33
Thur,Female,24.88,5.2
Sat,Female,24.06,3.38
Thur,Male,21.74,9.49
Sun,Male,44.07,9.15
Sun,Male,17.62,4.99
Sat,Male,5.93,1.87
Sun,Female,46.31,2.86
Sun,Female,43.9,3.44
Fri,Male,17.46,5.36
Sun,Male,28.56,4.05
Fri,Male,9.91,7.97
Thur,Male,9.2,5.28
Sat,Female,42.69,8.83
Sun,Male,23.46,9.96
Thur,Female,34.78,2.98
Thur,Female,47.44,6.51
Fri,Male,16.03,8.63
Fri,Female,5.59,9.51
Thur,Female,6.09,3.61
Sat,Female,36.92,7.54
Fri,Male,46.6,1.14
Sun,Female,26.03,8.91
Fri,Female,21.88,1.58
Sun,Female,29.43,7.6
Fri,Male,43.65,9.95
Sat,Male,34.35,5.51
Sat,Male,15.48,2.88
Sat,Female,39.86,6.35
Sun,Male,11.06,6.62
Sun,Male,12.45,7.01
Fri,Female,32.57,2.55
Sun,Female,15.75,9.09
Fri,Female,36.72,6.59
Fri,Male,20.73,1.39
Sun,Female,17.48,7.16
Sat,Female,49.95,2.76
Sat,Male,6.83,1.25
Sat,Male,34.06,5.96
Sun,Female,6.74,8.32
Fri,Female,39.21,8.74
Fri,Male,15.35,1.93
Fri,Female,9.04,6.97
Thur,Female,34.18,7.39
Thur,Female,37.97,3.65
Sat,Female,35.51,9.74
Sun,Female,7.34,3.51
Sun,Female,18.24,1.63
Sat,Female,25.3,5.67
Fri,Male,17.92,7.25
Sun,Female,41.47,3.2
Sat,Female,10.9,4.05
Sat,Female,32.55,6.07
Sun,Female,49.47,8.98
Fri,Male,45.62,7.73
Sun,Male,15.0,2.89
Sun,Male,5.0,3.27
Fri,Female,49.13,5.71
Sat,Female,44.72,7.92
Thur,Male,46.38,6.57
Fri,Male,23.7,5.51
Thur,Female,38.51,6.37
Sat,Female,14.58,7.8
Sat,Male,22.65,5.83
