Product Name,Brand,Category,Rating
Dress,Adidas,Men's Fashion,1.04
Shoes,Zara,Men's Fashion,1.05
T-shirt,Adidas,Men's Fashion,4.30
Dress,Adidas,Men's Fashion,1.38
Jeans,Gucci,Men's Fashion,1.36
Sweater,H&M,Men's Fashion,4.47
T-shirt,Adidas,Men's Fashion,1.16
Shoes,Zara,Men's Fashion,3.67
Dress,Gucci,Men's Fashion,3.79
Jeans,H&M,Men's Fashion,2.61
Jeans,H&M,Men's Fashion,3.92
Jeans,Adidas,Men's Fashion,1.79
T-shirt,Adidas,Men's Fashion,3.60
Dress,Zara,Men's Fashion,2.83
Jeans,Zara,Men's Fashion,1.28
T-shirt,Nike,Men's Fashion,1.29
Shoes,H&M,Men's Fashion,2.45
T-shirt,Nike,Men's Fashion,2.06
T-shirt,Gucci,Men's Fashion,2.92
T-shirt,Nike,Men's Fashion,1.30
T-shirt,Nike,Men's Fashion,1.33
Sweater,Zara,Men's Fashion,3.28
Shoes,Nike,Men's Fashion,4.13
Dress,Gucci,Men's Fashion,3.90
Jeans,H&M,Men's Fashion,3.96
Jeans,Adidas,Men's Fashion,1.85
Shoes,Nike,Men's Fashion,4.93
Jeans,Gucci,Men's Fashion,3.76
Jeans,H&M,Men's Fashion,4.74
Sweater,Zara,Men's Fashion,3.32
Sweater,Gucci,Men's Fashion,4.28
Jeans,Adidas,Men's Fashion,2.45
T-shirt,Zara,Men's Fashion,1.19
Shoes,H&M,Men's Fashion,1.46
Dress,Adidas,Men's Fashion,3.52
Jeans,Nike,Men's Fashion,2.66
T-shirt,H&M,Men's Fashion,2.51
T-shirt,Gucci,Men's Fashion,1.63
Sweater,H&M,Men's Fashion,1.09
T-shirt,H&M,Men's Fashion,3.38
Shoes,Zara,Men's Fashion,1.02
Shoes,Nike,Men's Fashion,4.40
Shoes,Adidas,Men's Fashion,2.35
Jeans,Nike,Men's Fashion,4.82
Dress,Zara,Men's Fashion,2.30
Shoes,Adidas,Men's Fashion,2.92
T-shirt,Nike,Men's Fashion,2.64
Shoes,Zara,Men's Fashion,1.09
Sweater,Gucci,Men's Fashion,3.47
Jeans,Nike,Men's Fashion,1.77
Dress,Adidas,Men's Fashion,1.91
Jeans,Zara,Men's Fashion,4.36
Sweater,Gucci,Men's Fashion,1.57
Jeans,Adidas,Men's Fashion,2.43
Shoes,Nike,Men's Fashion,4.36
T-shirt,Zara,Men's Fashion,3.03
Sweater,H&M,Men's Fashion,4.12
Sweater,Nike,Men's Fashion,3.50
T-shirt,H&M,Men's Fashion,2.98
Jeans,Zara,Men's Fashion,2.67
T-shirt,Adidas,Men's Fashion,3.62
Sweater,Gucci,Men's Fashion,3.08
T-shirt,Adidas,Men's Fashion,2.86
Dress,Nike,Men's Fashion,1.64
Sweater,H&M,Men's Fashion,2.43
Shoes,H&M,Men's Fashion,1.97
Shoes,Zara,Men's Fashion,4.59
Jeans,Zara,Men's Fashion,1.41
Shoes,Zara,Men's Fashion,1.72
Shoes,Adidas,Men's Fashion,3.66
Dress,H&M,Men's Fashion,2.23
Jeans,Gucci,Men's Fashion,2.40
Dress,H&M,Men's Fashion,4.13
Shoes,H&M,Men's Fashion,1.06
Dress,H&M,Men's Fashion,1.66
Shoes,Nike,Men's Fashion,2.50
Dress,Zara,Men's Fashion,2.98
Jeans,Zara,Men's Fashion,4.05
Jeans,Nike,Men's Fashion,4.08
Dress,Nike,Men's Fashion,1.76
Jeans,Nike,Men's Fashion,3.81
Jeans,Nike,Men's Fashion,1.39
Jeans,Gucci,Men's Fashion,2.96
Jeans,Nike,Men's Fashion,1.27
Sweater,H&M,Men's Fashion,4.18
T-shirt,Zara,Men's Fashion,3.81
Sweater,Nike,Men's Fashion,2.11
Sweater,Zara,Men's Fashion,4.88
T-shirt,Nike,Men's Fashion,3.08
Sweater,Nike,Men's Fashion,2.77
T-shirt,Gucci,Men's Fashion,2.80
Dress,Zara,Men's Fashion,3.89
Jeans,Adidas,Men's Fashion,4.42
Jeans,H&M,Men's Fashion,3.95
Jeans,Nike,Men's Fashion,4.80
Jeans,Zara,Men's Fashion,2.93
Sweater,Zara,Men's Fashion,1.16
Jeans,H&M,Men's Fashion,1.23
Sweater,Gucci,Men's Fashion,4.53
T-shirt,Nike,Men's Fashion,2.67
Jeans,Zara,Men's Fashion,3.31
T-shirt,Zara,Men's Fashion,2.14
Shoes,Zara,Men's Fashion,3.15
Sweater,Zara,Men's Fashion,1.86
Sweater,Gucci,Men's Fashion,3.40
Jeans,Gucci,Men's Fashion,4.47
Dress,H&M,Men's Fashion,1.11
Dress,H&M,Men's Fashion,1.50
Dress,Gucci,Men's Fashion,3.86
Shoes,Adidas,Men's Fashion,1.17
Jeans,Adidas,Men's Fashion,1.28
T-shirt,Nike,Men's Fashion,3.28
Dress,Nike,Men's Fashion,1.84
T-shirt,Adidas,Men's Fashion,3.15
