Client_Level,Trainer,Sessions_Attended,Calories_Burned
Advanced,Jordan,49,26708.8
Advanced,Jordan,7,1892.1
Intermediate,Casey,18,10685.9
Advanced,Alex,10,5103.9
Advanced,Taylor,13,4497.6
Beginner,Alex,27,6605.7
Intermediate,Taylor,34,16268.1
Advanced,Sam,42,16109.5
Beginner,Jordan,21,5259.0
Advanced,Alex,27,6935.3
Advanced,Jordan,33,17432.0
Advanced,Jordan,40,16714.6
Intermediate,Alex,48,10364.6
Beginner,Jordan,5,2094.2
Intermediate,Taylor,38,18630.0
Intermediate,Casey,10,3686.9
Intermediate,Sam,48,27974.7
Advanced,Sam,30,12303.1
Beginner,Casey,7,4136.2
Intermediate,Taylor,9,3230.8
Beginner,Sam,38,21644.3
Intermediate,Taylor,36,15515.6
Beginner,Alex,36,20874.0
Advanced,Casey,44,13220.6
Advanced,Sam,38,17431.8
Advanced,Jordan,19,9049.6
Intermediate,Sam,26,10031.6
Intermediate,Casey,16,6629.1
Advanced,Casey,47,19252.3
Advanced,Jordan,24,6376.3
Beginner,Taylor,29,17168.6
Beginner,Casey,14,7993.8
Beginner,Alex,35,19175.6
Beginner,Alex,30,9307.0
Intermediate,Taylor,13,7303.7
Beginner,Casey,14,4513.9
Beginner,Sam,36,19227.8
Intermediate,Taylor,23,13535.0
Beginner,Sam,33,18219.6
Intermediate,Casey,37,19446.3
Intermediate,Taylor,19,11279.0
Intermediate,Taylor,15,4774.4
Intermediate,Sam,36,17480.0
Intermediate,Jordan,6,1928.3
Beginner,Casey,49,21394.9
Beginner,Jordan,46,22524.4
Intermediate,Jordan,28,11245.3
Intermediate,Casey,37,15460.6
Beginner,Sam,10,3174.4
Intermediate,Casey,16,7907.4
Intermediate,Sam,27,10021.2
Advanced,Taylor,43,15838.4
Beginner,Casey,9,3217.1
Advanced,Jordan,47,18387.8
Beginner,Jordan,41,18285.7
Advanced,Alex,24,5255.7
Beginner,Jordan,22,7468.7
Advanced,Casey,18,3706.7
Beginner,Taylor,14,7467.7
Intermediate,Sam,26,7909.3
Intermediate,Alex,40,21884.3
Advanced,Alex,49,12147.1
Beginner,Casey,26,9401.1
Beginner,Sam,5,2868.3
Advanced,Sam,32,15080.0
Intermediate,Casey,48,22102.1
Beginner,Casey,22,11422.2
Intermediate,Casey,16,5788.6
Advanced,Alex,48,28311.2
Intermediate,Casey,22,7559.4
Advanced,Taylor,7,3215.2
Advanced,Taylor,29,8269.7
Beginner,Sam,37,9913.9
Beginner,Casey,27,12030.3
Beginner,Jordan,26,6222.5
Intermediate,Jordan,45,26553.0
Advanced,Jordan,24,6335.3
Advanced,Taylor,13,7332.1
Advanced,Alex,31,10202.2
Beginner,Sam,46,19007.1
Advanced,Casey,9,2282.3
Beginner,Sam,33,11422.6
Intermediate,Sam,36,17383.0
Advanced,Taylor,36,17312.9
Intermediate,Sam,28,6613.6
Advanced,Casey,46,13394.4
Advanced,Casey,44,12600.0
Intermediate,Jordan,25,7977.0
Advanced,Alex,16,3815.8
Intermediate,Jordan,18,7549.3
Advanced,Casey,39,15381.6
Intermediate,Jordan,8,2884.6
Intermediate,Jordan,25,6291.3
Advanced,Taylor,22,8837.9
Beginner,Jordan,47,23053.5
Beginner,Taylor,20,6481.1
Intermediate,Sam,12,4836.0
Beginner,Jordan,43,20909.8
Beginner,Taylor,49,26396.5
Advanced,Casey,26,6060.4
