Title,Worldwide Gross,Production Budget,Release Year,Content Rating,Running Time,Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating
From Dusk Till Dawn,25728961,20000000,1996,R,107,Horror,Fantasy,63,7.1
Broken Arrow,148345997,65000000,1996,R,108,Action,Contemporary Fiction,55,5.8
City Hall,20278055,40000000,1996,R,111,Drama,Contemporary Fiction,55,6.1
Happy Gilmore,38623460,10000000,1996,PG-13,92,Comedy,Contemporary Fiction,58,6.9
Fargo,51204567,7000000,1996,R,87,Thriller,Contemporary Fiction,94,8.3
The Craft,55669466,15000000,1996,R,100,Thriller,Fantasy,45,5.9
Twister,495900000,88000000,1996,PG-13,117,Action,Contemporary Fiction,57,6
Dragonheart,104364680,57000000,1996,PG-13,108,Adventure,Fantasy,50,6.2
The Phantom,17220599,45000000,1996,PG,100,Action,Super Hero,43,4.8
The Rock,336069511,75000000,1996,R,136,Action,Contemporary Fiction,66,7.2
The Cable Guy,102825796,47000000,1996,PG-13,95,Comedy,Contemporary Fiction,52,5.8
Eraser,234400000,100000000,1996,R,115,Action,Contemporary Fiction,34,5.9
The Hunchback of Notre Dame,325500000,100000000,1996,G,86,Adventure,Historical Fiction,73,6.5
The Nutty Professor,273814019,55000000,1996,PG-13,95,Comedy,Kids Fiction,67,5.6
Striptease,32773011,50000000,1996,R,115,Comedy,Contemporary Fiction,12,3.9
Independence Day,817400878,75000000,1996,PG-13,145,Adventure,Science Fiction,61,6.5
Phenomenon,142836382,32000000,1996,PG,124,Drama,Contemporary Fiction,50,6.3
Courage Under Fire,100833145,46000000,1996,R,115,Drama,Historical Fiction,85,6.6
Multiplicity,20133326,45000000,1996,PG-13,117,Comedy,Science Fiction,44,5.7
Trainspotting,24000785,3100000,1996,R,94,Drama,Contemporary Fiction,89,8.2
A Time to Kill,152266007,40000000,1996,R,150,Drama,Contemporary Fiction,68,7.1
Kingpin,32223424,25000000,1996,R,113,Comedy,Contemporary Fiction,51,6.7
The Adventures of Pinocchio,36682170,25000000,1996,G,94,Adventure,Fantasy,27,5.3
Chain Reaction,60209334,55000000,1996,PG-13,106,Action,Contemporary Fiction,13,5.2
Escape from L.A.,25426861,50000000,1996,R,101,Action,Science Fiction,56,5.3
Jack,58617334,45000000,1996,PG-13,113,Drama,Contemporary Fiction,17,5.3
Tin Cup,75854588,45000000,1996,R,105,Romantic Comedy,Contemporary Fiction,69,6.1
The Fan,18582965,55000000,1996,R,117,Thriller,Contemporary Fiction,40,5.6
The Island of Dr. Moreau,27682712,40000000,1996,PG-13,95,Adventure,Science Fiction,23,4.1
The First Wives Club,181489203,30000000,1996,PG,90,Comedy,Contemporary Fiction,41,5.6
Extreme Measures,17378193,38000000,1996,R,117,Drama,Contemporary Fiction,55,5.9
That Thing You Do!,31748615,2500000,1996,PG,110,Drama,Historical Fiction,92,6.7
The Ghost and the Darkness,38564422,55000000,1996,R,109,Action,Dramatization,51,6.6
The Long Kiss Goodnight,33447612,65000000,1996,R,120,Action,Contemporary Fiction,69,6.6
Sleepers,165600852,44000000,1996,R,105,Drama,Dramatization,73,7.3
Set It Off,36049108,9000000,1996,R,120,Drama,Contemporary Fiction,61,6.3
Ransom,308700000,70000000,1996,R,121,Action,Contemporary Fiction,70,6.6
The Mirror Has Two Faces,41267469,42000000,1996,PG-13,127,Romantic Comedy,Contemporary Fiction,54,6
The English Patient,231716374,35000000,1996,R,160,Drama,Historical Fiction,83,7.3
Space Jam,250200000,80000000,1996,PG,87,Comedy,Kids Fiction,36,5.6
Jingle All the Way,129832389,60000000,1996,PG,89,Comedy,Kids Fiction,16,4.9
Shine,35811509,5500000,1996,PG-13,105,Drama,Dramatization,90,7.6
Daylight,158908290,80000000,1996,PG-13,115,Action,Contemporary Fiction,22,5.4
Mars Attacks!,101371017,80000000,1996,PG-13,110,Comedy,Science Fiction,50,6.3
Jerry Maguire,274000000,50000000,1996,R,138,Romantic Comedy,Contemporary Fiction,84,7.2
Beavis and Butt-head Do America,63118386,12000000,1996,PG-13,80,Comedy,Contemporary Fiction,71,6.6
My Fellow Americans,22331846,21500000,1996,PG-13,102,Comedy,Contemporary Fiction,50,6.3
Scream,173046663,15000000,1996,R,110,Horror,Contemporary Fiction,81,2.9
Evita,151947179,55000000,1996,PG,134,Musical,Dramatization,61,6.1
The Relic,33956608,60000000,1997,R,110,Horror,Science Fiction,32,5.4
Dante's Peak,178200000,115000000,1997,PG-13,108,Drama,Contemporary Fiction,28,5.6
Absolute Power,50068310,50000000,1997,R,120,Thriller,Contemporary Fiction,46,6.5
Donnie Brasco,55954997,35000000,1997,R,121,Drama,Dramatization,87,7.7
Liar Liar,302710615,45000000,1997,PG-13,87,Comedy,Contemporary Fiction,82,6.7
The Saint,169400000,90000000,1997,PG-13,116,Action,Contemporary Fiction,30,5.9
The Fifth Element,263900000,95000000,1997,PG-13,105,Action,Science Fiction,72,7.4
Con Air,224117573,80000000,1997,R,115,Action,Contemporary Fiction,57,6.6
Batman & Robin,238317814,125000000,1997,PG-13,130,Action,Super Hero,11,3.5
My Best Friend's Wedding,287200000,46000000,1997,PG-13,105,Comedy,Contemporary Fiction,72,6.2
Face/Off,241200000,80000000,1997,R,138,Action,Contemporary Fiction,93,7.3
Men in Black,587790539,90000000,1997,PG-13,98,Adventure,Science Fiction,91,7
Contact,165900000,90000000,1997,PG,150,Drama,Science Fiction,67,7.3
Air Force One,315268353,85000000,1997,R,124,Action,Contemporary Fiction,78,6.3
Air Bud,27555061,3000000,1997,PG,97,Comedy,Kids Fiction,45,4.6
Conspiracy Theory,137118990,80000000,1997,R,135,Thriller,Contemporary Fiction,51,6.5
The Full Monty,257938649,3500000,1997,R,90,Comedy,Contemporary Fiction,95,7.2
Cop Land,63706632,15000000,1997,R,105,Drama,Contemporary Fiction,71,6.9
Event Horizon,26673242,60000000,1997,R,95,Horror,Science Fiction,21,6.3
Money Talks,41076865,25000000,1997,R,95,Action,Contemporary Fiction,17,5.7
The Game,48265581,50000000,1997,R,128,Thriller,Contemporary Fiction,80,7.7
