Genre,Creative Type,Content Rating,Worldwide Gross
Horror,Fantasy,R,25728961
Action,Contemporary Fiction,R,148345997
Drama,Contemporary Fiction,R,20278055
Comedy,Contemporary Fiction,PG-13,38623460
Thriller,Contemporary Fiction,R,51204567
Thriller,Fantasy,R,55669466
Action,Contemporary Fiction,PG-13,495900000
Adventure,Fantasy,PG-13,104364680
Action,Super Hero,PG,17220599
Action,Contemporary Fiction,R,336069511
Comedy,Contemporary Fiction,PG-13,102825796
Action,Contemporary Fiction,R,234400000
Adventure,Historical Fiction,G,325500000
Comedy,Kids Fiction,PG-13,273814019
Comedy,Contemporary Fiction,R,32773011
Adventure,Science Fiction,PG-13,817400878
Drama,Contemporary Fiction,PG,142836382
Drama,Historical Fiction,R,100833145
Comedy,Science Fiction,PG-13,20133326
Drama,Contemporary Fiction,R,24000785
Drama,Contemporary Fiction,R,152266007
Comedy,Contemporary Fiction,R,32223424
Adventure,Fantasy,G,36682170
Action,Contemporary Fiction,PG-13,60209334
Action,Science Fiction,R,25426861
Drama,Contemporary Fiction,PG-13,58617334
Romantic Comedy,Contemporary Fiction,R,75854588
Thriller,Contemporary Fiction,R,18582965
Adventure,Science Fiction,PG-13,27682712
Comedy,Contemporary Fiction,PG,181489203
Drama,Contemporary Fiction,R,17378193
Drama,Historical Fiction,PG,31748615
Action,Dramatization,R,38564422
Action,Contemporary Fiction,R,33447612
Drama,Dramatization,R,165600852
Drama,Contemporary Fiction,R,36049108
Action,Contemporary Fiction,R,308700000
Romantic Comedy,Contemporary Fiction,PG-13,41267469
Drama,Historical Fiction,R,231716374
Comedy,Kids Fiction,PG,250200000
Comedy,Kids Fiction,PG,129832389
Drama,Dramatization,PG-13,35811509
Action,Contemporary Fiction,PG-13,158908290
Comedy,Science Fiction,PG-13,101371017
Romantic Comedy,Contemporary Fiction,R,274000000
Comedy,Contemporary Fiction,PG-13,63118386
Comedy,Contemporary Fiction,PG-13,22331846
Horror,Contemporary Fiction,R,173046663
Musical,Dramatization,PG,151947179
Horror,Science Fiction,R,33956608
Drama,Contemporary Fiction,PG-13,178200000
Thriller,Contemporary Fiction,R,50068310
Drama,Dramatization,R,55954997
Comedy,Contemporary Fiction,PG-13,302710615
Action,Contemporary Fiction,PG-13,169400000
Action,Science Fiction,PG-13,263900000
Action,Contemporary Fiction,R,224117573
Action,Super Hero,PG-13,238317814
Comedy,Contemporary Fiction,PG-13,287200000
Action,Contemporary Fiction,R,241200000
Adventure,Science Fiction,PG-13,587790539
Drama,Science Fiction,PG,165900000
Action,Contemporary Fiction,R,315268353
Comedy,Kids Fiction,PG,27555061
Thriller,Contemporary Fiction,R,137118990
Comedy,Contemporary Fiction,R,257938649
Drama,Contemporary Fiction,R,63706632
Horror,Science Fiction,R,26673242
Action,Contemporary Fiction,R,41076865
Thriller,Contemporary Fiction,R,48265581
Comedy,Contemporary Fiction,PG-13,83226569
Drama,Historical Fiction,R,110604977
Action,Contemporary Fiction,R,62967368
Drama,Historical Fiction,R,43111725
Drama,Dramatization,PG-13,131445884
Drama,Historical Fiction,R,14843425
Action,Science Fiction,R,121100000
Musical,Factual,G,139801410
Thriller,Contemporary Fiction,R,159356941
Drama,Contemporary Fiction,R,25078937
Drama,Contemporary Fiction,PG-13,45916769
Comedy,Kids Fiction,PG,177993801
Drama,Dramatization,R,44212592
Horror,Contemporary Fiction,R,101363301
Drama,Contemporary Fiction,PG-13,21277770
Thriller,Historical Fiction,PG-13,1842879955
Action,Contemporary Fiction,PG-13,339504276
Romantic Comedy,Contemporary Fiction,PG-13,314111923
Drama,Contemporary Fiction,R,72673162
Action,Science Fiction,R,17650704
Drama,Contemporary Fiction,R,64252038
Action,Contemporary Fiction,R,19035741
Horror,Science Fiction,PG-13,50168294
Comedy,Contemporary Fiction,R,46189568
Comedy,Dramatization,R,39017984
Adventure,Science Fiction,PG-13,136117629
Thriller,Contemporary Fiction,R,32983332
Drama,Fantasy,PG-13,198750909
Drama,Contemporary Fiction,R,21567853
Adventure,Science Fiction,PG-13,349464664
Comedy,Contemporary Fiction,R,29203383
Drama,Contemporary Fiction,PG-13,75383563
Action,Science Fiction,PG-13,376000000
Drama,Contemporary Fiction,PG-13,81529000
Drama,Contemporary Fiction,PG,248400000
Romantic Comedy,Contemporary Fiction,PG-13,164800000
Drama,Contemporary Fiction,R,37562568
Adventure,Contemporary Fiction,PG-13,554600000
Action,Contemporary Fiction,R,285400000
Comedy,Kids Fiction,PG-13,71743823
Romantic Comedy,Contemporary Fiction,R,360099999
Adventure,Historical Fiction,PG-13,233700000
Drama,Historical Fiction,R,481635085
Action,Contemporary Fiction,R,49105766
Thriller,Contemporary Fiction,R,103891409
Action,Super Hero,R,131237688
Drama,Contemporary Fiction,R,22921898
Drama,Contemporary Fiction,PG,18253415
Drama,Contemporary Fiction,R,26708196
Action,Contemporary Fiction,PG-13,245300000
Action,Contemporary Fiction,R,41610884
Adventure,Kids Fiction,PG,152457863
Drama,Historical Fiction,R,22852487
Horror,Fantasy,R,50692188
Comedy,Fantasy,PG-13,68336997
Horror,Fantasy,R,20268825
Drama,Dramatization,R,82150642
Comedy,Contemporary Fiction,PG-13,190191646
Drama,Fantasy,PG-13,44650003
Adventure,Fantasy,G,363109485
Action,Contemporary Fiction,R,250649836
Adventure,Kids Fiction,G,69131860
Horror,Contemporary Fiction,R,37226218
Drama,Contemporary Fiction,R,16316273
Black Comedy,Contemporary Fiction,R,19080435
Romantic Comedy,Historical Fiction,R,279500000
Adventure,Dramatization,PG,218600000
Drama,Contemporary Fiction,PG,250800000
Drama,Dramatization,R,36400491
Drama,Contemporary Fiction,PG-13,56709981
Horror,Contemporary Fiction,R,40283321
Comedy,Contemporary Fiction,PG-13,202200000
Drama,Contemporary Fiction,PG-13,119709917
Drama,Contemporary Fiction,R,54294169
Comedy,Contemporary Fiction,PG-13,26613620
Comedy,Science Fiction,PG,36850101
Thriller,Contemporary Fiction,R,96398826
Comedy,Contemporary Fiction,R,176885658
Drama,Contemporary Fiction,R,75803716
Action,Contemporary Fiction,R,15164492
