Studio,Type,Worldwide $m,Domestic $m,Overseas $m,Year
Fox,Drama,2727.3,749.3,1978.0,2009
Par.,Drama,1843.2,600.8,1242.4,1997
NL,Drama,1119.1,377.0,742.1,2003
BV,Drama,1066.2,423.3,642.9,2006
BV,Comedy,1017.2,333.9,683.3,2010
WB,Action,1001.9,533.3,468.6,2008
WB,Family,974.7,317.6,657.2,2001
BV,Action,961.0,309.4,651.6,2007
WB,Family,938.2,292.0,646.2,2007
WB,Family,934.0,302.0,632.0,2009
NL,Drama,925.3,341.8,583.5,2002
Fox,Action,924.3,431.1,493.2,1999
DW,Family,919.8,441.2,478.6,2004
Uni.,Action,914.7,357.1,557.6,1993
WB,Family,895.9,290.0,605.9,2005
Sony,Action,890.9,336.5,554.3,2007
Fox,Family,884.8,196.6,688.2,2009
WB,Family,878.6,262.0,616.7,2002
NL,Drama,870.8,314.8,556.0,2001
BV,Family,867.9,339.7,528.2,2003
Fox,Action,848.8,380.3,468.5,2005
P/DW,Action,836.3,402.1,434.2,2009
Sony,Action,821.7,403.7,418.0,2002
Fox,Action,817.4,306.2,511.2,1996
P/DW,Family,799.0,322.7,476.2,2007
WB,Family,795.6,249.5,546.1,2004
Par.,Action,786.6,317.1,469.5,2008
BV,Family,783.8,328.5,455.3,1994
Sony,Action,783.8,373.6,410.2,2004
Fox,Action,775.4,461.0,314.4,1977
Sony,Action,769.7,166.1,603.6,2009
Sony,Mystery/Suspense,758.2,217.5,540.7,2006
BV,Family,745.0,291.7,453.3,2005
WB,Action,742.1,281.6,460.6,2003
BV,Family,731.3,293.0,438.3,2009
Sum.,Drama,709.7,296.6,413.1,2009
P/DW,Action,709.7,319.2,390.5,2007
Par.,Drama,677.4,329.7,347.7,1994
BV,Mystery/Suspense,672.8,293.5,379.3,1999
Fox,Family,655.4,195.3,460.1,2006
BV,Action,654.3,305.4,348.9,2003
Fox,Action,649.4,310.7,338.7,2002
P/DW,Family,631.7,215.4,416.3,2008
BV,Family,631.4,261.4,370.0,2004
Sony,Drama,624.4,227.9,396.4,2008
BV,Family,623.7,206.4,417.3,2007
Uni.,Action,618.6,229.1,389.6,1997
NM,Drama,611.9,370.8,241.1,2004
Uni.,Drama,609.8,144.1,465.7,2008
P/DW,Family,603.9,180.0,423.9,2008
Par.,Action,594.8,299.8,295.0,2010
Sony,Action,594.2,167.4,426.8,2006
Par.,Drama,591.7,234.3,357.5,2005
Sony,Action,589.4,250.7,338.7,1997
Sony,Action,586.1,168.4,417.7,2008
WB,Drama,585.3,256.4,329.0,2007
Par.,Action,585.2,318.4,266.8,2008
Fox,Family,574.5,250.9,323.6,2006
BV,Action,553.7,201.6,352.1,1998
Uni.,Drama,550.5,218.1,332.4,2005
Par.,Action,546.4,215.4,331.0,2000
Fox,Action,544.3,186.7,357.5,2004
Fox,Action,538.4,290.5,247.9,1980
DW,Family,532.7,193.6,339.1,2005
Fox,Family,527.1,183.1,343.9,2007
BV,Family,525.4,255.9,269.5,2001
BV,Family,521.3,223.8,297.5,2008
TriS,Drama,519.8,204.8,315.0,1991
WB,Action,516.8,209.0,307.7,2009
Uni.,Comedy,516.6,279.3,237.4,2004
Par.,Drama,505.7,217.6,288.1,1990
BV,Family,504.1,217.4,286.7,1992
WB,Drama,497.4,133.4,364.0,2004
WB,Action,494.5,241.7,252.8,1996
WB,Action,487.9,162.0,325.9,2010
Sony,Mystery/Suspense,485.9,133.4,352.6,2009
BV,Family,485.0,245.9,239.2,1999
Uni.,Comedy,484.6,242.8,241.8,2003
DW,Family,484.4,267.7,216.7,2001
DW,Drama,481.8,216.5,265.3,1998
Fox,Action,478.2,186.3,291.9,2005
Fox,Family,476.7,285.8,190.9,1990
Fox,Action,475.1,309.3,165.8,1983
WB,Family,475.0,206.5,268.5,2005
Par.,Action,474.2,197.2,277.0,1989
P/DW,Family,472.6,214.5,258.1,2010
Uni.,Mystery/Suspense,470.7,260.0,210.7,1975
WB,Comedy,467.3,277.3,190.0,2009
WB,Action,463.5,171.5,292.0,1999
BV,Drama,463.4,178.4,285.0,1990
BV,Family,462.0,244.1,217.9,2006
Fox,Action,459.4,234.4,225.0,2006
Par.,Action,457.7,181.0,276.7,1996
DW,Drama,457.6,187.7,269.9,2000
BV,Drama,457.4,220.0,237.4,2007
WB,Drama,456.8,111.1,345.6,2003
WB,Action,456.1,210.6,245.5,2007
WB,Drama,450.7,183.4,267.3,2001
BV,Drama,449.2,198.5,250.7,2001
BV,Family,448.2,171.1,277.1,1999
Fox,Family,443.2,219.6,223.6,2009
Uni.,Drama,442.8,227.5,215.4,2007
Sony,Action,441.8,190.4,251.4,2002
Fox,Family,441.3,219.2,222.1,1993
WB,Mystery/Suspense,441.1,232.7,208.4,1973
WB,Action,433.4,150.4,283.0,2003
Uni.,Action,433.0,202.0,231.0,2001
MGM,Drama,432.0,160.9,271.0,2002
Fox,Drama,429.6,233.6,196.0,2000
WB,Action,427.3,139.3,288.0,2003
Orion,Drama,424.2,184.2,240.0,1990
BV,Family,419.7,141.6,278.0,2008
Uni.,Action,415.9,155.4,260.5,1999
WB (NL),Drama,415.3,152.6,262.6,2008
Fox,Family,413.1,177.2,235.9,2009
WB,Action,411.3,251.2,160.2,1989
WB,Drama,410.9,121.9,289.0,1992
Sum.,Drama,408.8,192.8,216.0,2008
BV,Mystery/Suspense,408.2,228.0,180.3,2002
Fox,Action,407.7,214.9,192.8,2003
Uni.,Action,401.1,102.5,298.6,2008
MGM,Drama,400.2,198.7,201.5,1939
Par.,Action,397.9,134.0,263.8,2006
Par.,Drama,394.6,188.4,206.2,1978
WB,Drama,391.1,200.1,191.0,2006
WB,Action,390.5,165.5,225.0,1991
Par.,Drama,385.5,257.7,127.8,2009
WB,Family,384.3,198.0,186.3,2006
Par.,Action,384.1,242.4,141.8,1981
Fox,Action,383.5,134.5,249.0,2007
Fox,Family,383.3,176.4,206.9,2002
P/DW,Family,381.5,198.4,183.2,2009
Uni.,Family,381.1,210.6,170.5,1985
Sony,Action,379.0,136.3,242.7,1998
Fox,Drama,378.9,146.3,232.6,1994
FoxS,Drama,377.9,141.3,236.6,2008
BV,Family,377.4,171.4,206.0,1991
Par.,Drama,374.1,182.8,191.3,2000
Fox,Action,373.1,179.9,193.2,2009
WB,Action,372.7,205.3,167.4,2005
NL,Drama,372.2,70.1,302.1,2007
WB,Action,371.4,125.3,246.0,2009
Fox,Comedy,369.9,176.5,193.4,1998
WB,Drama,368.9,183.9,185.0,1993
Uni.,Action,368.8,181.2,187.6,2001
IFC,Drama,368.7,241.4,127.3,2002
Sony,Drama,368.1,179.5,188.6,2005
DW,Family,367.3,160.9,206.4,2004
Fox,Action,366.1,100.0,266.1,1995
Uni.,Drama,363.9,116.1,247.8,1999
BV,Family,363.4,162.8,200.6,1998
WB,Drama,362.7,125.5,237.2,2004
Fox,Drama,362.2,180.0,182.2,2001
BV,Family,362.0,191.8,170.2,1995
MGM,Drama,361.8,126.9,234.9,1999
Fox,Family,361.3,217.3,144.0,2007
Fox,Family,359.0,173.6,185.4,1992
Fox,Mystery/Suspense,358.4,132.1,226.3,2002
DW,Drama,356.3,130.1,226.2,1999
Uni.,Drama,355.2,173.8,181.4,1995
MGM,Drama,354.8,172.8,182.0,1988
Par.,Action,353.8,176.8,177.0,1986
Uni.,Action,353.2,155.1,198.2,2009
TriS,Drama,352.9,117.7,235.2,1992
MGM,Drama,352.2,106.4,245.8,1995
DW,Drama,352.1,164.6,187.5,2002
MGM,Drama,351.7,165.1,186.6,2001
NL,Comedy,351.6,119.9,231.6,1994
Fox,Action,350.4,121.2,229.2,1994
BV,Family,349.8,137.7,212.1,2000
Par.,Drama,349.5,140.5,209.0,1998
BV,Drama,347.5,173.0,174.5,2004
NL,Comedy,347.3,226.2,121.2,2001
Fox,Drama,347.2,144.8,202.4,2004
BV,Family,346.1,141.6,204.5,1995
Uni.,Family,345.1,260.0,85.1,2000
Uni.,Family,341.6,130.5,211.1,1994
Uni.,Action,341.4,134.5,206.9,2008
BV,Family,340.5,127.8,212.7,2007
WB,Action,336.5,184.0,152.5,1995
P/DW,Family,336.0,155.0,181.0,2006
