Team,Position,College,Salary
boston celtics,pg,texas,7730337
boston celtics,sf,marquette,6796117
boston celtics,sg,boston university,2839073
boston celtics,sg,georgia state,1148640
boston celtics,pf,unknown,5000000
boston celtics,pf,unknown,2839073
boston celtics,pf,lsu,1170960
boston celtics,c,gonzaga,2165160
boston celtics,pg,louisville,1824360
boston celtics,pg,oklahoma state,3431040
boston celtics,c,ohio state,2569260
boston celtics,pg,washington,6912869
boston celtics,sg,ohio state,3425510
boston celtics,sg,kentucky,1749840
boston celtics,c,north carolina,2616975
brooklyn nets,sg,unknown,3425510
brooklyn nets,sg,oklahoma state,845059
brooklyn nets,sg,north carolina,1500000
brooklyn nets,sg,arizona,1335480
brooklyn nets,pg,georgia tech,6300000
brooklyn nets,sg,unknown,1599840
brooklyn nets,sg,cincinnati,134215
brooklyn nets,pg,miami (fl),1500000
brooklyn nets,c,stanford,2839073
brooklyn nets,pf,syracuse,1140240
brooklyn nets,pf,saint louis,947276
brooklyn nets,pf,kansas,981348
brooklyn nets,c,georgetown,947276
brooklyn nets,pg,texas a&m,947276
brooklyn nets,pf,georgia tech,2839073
new york knicks,sg,ucla,8000000
new york knicks,pf,unlv,1635476
new york knicks,sf,unknown,30888
new york knicks,sf,syracuse,2839073
new york knicks,pg,unknown,7402812
new york knicks,sf,wichita state,845059
new york knicks,sg,saint joseph's,845059
new york knicks,pg,notre dame,1572360
new york knicks,c,stanford,2839073
new york knicks,pf,norfolk state,3750000
new york knicks,pf,unknown,4131720
new york knicks,c,unknown,2814000
new york knicks,sf,duke,1636842
new york knicks,sg,unknown,947276
new york knicks,pf,arizona,4000000
new york knicks,sg,washington,167406
philadelphia 76ers,pf,duke,2839073
philadelphia 76ers,pg,murray state,947276
philadelphia 76ers,sf,tennessee state,1000000
philadelphia 76ers,c,kansas,4626960
philadelphia 76ers,sf,syracuse,845059
philadelphia 76ers,pf,bowling green,1074169
philadelphia 76ers,pf,purdue,6500000
philadelphia 76ers,pg,north carolina,2144772
philadelphia 76ers,pg,arizona,525093
philadelphia 76ers,pf,kentucky,3457800
philadelphia 76ers,c,duke,4582680
philadelphia 76ers,pg,wake forest,947276
philadelphia 76ers,sg,michigan,2869440
philadelphia 76ers,sg,georgetown,947276
philadelphia 76ers,pf,unlv,525093
toronto raptors,c,unknown,2814000
toronto raptors,sf,unknown,1524000
toronto raptors,sf,missouri,2839073
toronto raptors,sg,usc,2839073
toronto raptors,pf,wake forest,2500000
toronto raptors,pg,texas,7000000
toronto raptors,pg,villanova,2839073
toronto raptors,c,unknown,1842000
toronto raptors,pf,kentucky,6268675
toronto raptors,sg,ucla,650000
toronto raptors,sf,washington,3553917
toronto raptors,pf,unknown,2900000
toronto raptors,pf,rider,245177
toronto raptors,c,unknown,4660482
toronto raptors,pg,utah,1509360
golden state warriors,sg,unknown,2500000
golden state warriors,sf,north carolina,3873398
golden state warriors,c,utah,2839073
golden state warriors,sg,belmont,947276
golden state warriors,pg,davidson,2839073
golden state warriors,c,vanderbilt,2008748
golden state warriors,pf,michigan state,2839073
golden state warriors,sf,arizona,2839073
golden state warriors,pg,unknown,5543725
golden state warriors,sf,ucla,1131960
golden state warriors,sf,north carolina,845059
golden state warriors,sf,kansas,1270964
golden state warriors,c,florida,3815000
golden state warriors,sg,washington state,2839073
golden state warriors,pf,unknown,289755
los angeles clippers,c,kansas,1100602
los angeles clippers,pf,arizona state,111444
los angeles clippers,sg,michigan,5675000
los angeles clippers,sf,michigan state,525093
los angeles clippers,sf,georgetown,9650000
los angeles clippers,pf,oklahoma,2839073
los angeles clippers,sf,syracuse,1100602
los angeles clippers,c,texas a&m,2839073
los angeles clippers,pf,ucla,947276
los angeles clippers,pg,wake forest,2839073
los angeles clippers,sf,kansas,3376000
los angeles clippers,pg,unknown,947726
los angeles clippers,sg,duke,7085000
los angeles clippers,pg,duke,3110796
los angeles clippers,sg,washington,1159680
los angeles lakers,pf,lsu,3000000
los angeles lakers,c,kansas,845059
