Pacific Island Countries and territories,Sex,Urbanization,Disability,TIME_PERIOD
marshall islands,total,national,no breakdown by disability,2011.0
marshall islands,total,national,no breakdown by disability,2019.0
solomon islands,male,urban,no breakdown by disability,2012.0
palau,total,rural,no breakdown by disability,2013.0
palau,total,rural,no breakdown by disability,2015.0
palau,male,rural,no breakdown by disability,2013.0
palau,male,rural,no breakdown by disability,2015.0
samoa,total,national,no breakdown by disability,2013.0
samoa,male,national,no breakdown by disability,2013.0
cook islands,female,national,no breakdown by disability,2015.0
kiribati,female,national,persons with disability,2015.0
kiribati,female,national,persons with disability,2019.0
kiribati,female,urban,persons without disability,2015.0
kiribati,female,urban,persons without disability,2019.0
kiribati,total,rural,persons with disability,2015.0
kiribati,total,rural,persons with disability,2019.0
kiribati,total,urban,no breakdown by disability,2015.0
kiribati,total,urban,no breakdown by disability,2019.0
tuvalu,total,urban,no breakdown by disability,2015.0
tuvalu,total,urban,no breakdown by disability,2017.0
tuvalu,female,national,no breakdown by disability,2015.0
tuvalu,female,national,no breakdown by disability,2017.0
tonga,female,urban,persons without disability,2016.0
tonga,female,urban,persons without disability,2018.0
tonga,female,urban,persons without disability,2021.0
tonga,total,urban,no breakdown by disability,2016.0
tonga,total,urban,no breakdown by disability,2018.0
tonga,total,urban,no breakdown by disability,2021.0
tonga,male,urban,no breakdown by disability,2016.0
tonga,male,urban,no breakdown by disability,2018.0
tonga,male,urban,no breakdown by disability,2021.0
tuvalu,total,rural,persons with disability,2017.0
tuvalu,male,rural,persons without disability,2017.0
marshall islands,female,national,persons without disability,2019.0
marshall islands,total,rural,persons without disability,2019.0
vanuatu,male,urban,persons without disability,2019.0
vanuatu,female,urban,persons without disability,2019.0
marshall islands,total,urban,no breakdown by disability,2011.0
marshall islands,total,urban,no breakdown by disability,2019.0
nauru,total,national,no breakdown by disability,2011.0
nauru,total,national,no breakdown by disability,2012.0
solomon islands,female,national,no breakdown by disability,2012.0
solomon islands,female,urban,no breakdown by disability,2012.0
micronesia (federated states of),male,national,no breakdown by disability,2013.0
micronesia (federated states of),female,national,no breakdown by disability,2013.0
palau,female,urban,no breakdown by disability,2013.0
palau,female,urban,no breakdown by disability,2015.0
palau,male,urban,no breakdown by disability,2013.0
palau,male,urban,no breakdown by disability,2015.0
cook islands,male,urban,no breakdown by disability,2015.0
cook islands,female,urban,no breakdown by disability,2015.0
kiribati,male,urban,persons without disability,2015.0
kiribati,male,urban,persons without disability,2019.0
kiribati,female,urban,persons with disability,2015.0
palau,total,national,persons without disability,2015.0
tokelau,female,national,no breakdown by disability,2015.0
tonga,female,urban,persons with disability,2016.0
tonga,male,rural,persons without disability,2016.0
tonga,male,rural,persons without disability,2018.0
tonga,male,rural,persons without disability,2021.0
tonga,female,rural,persons without disability,2016.0
tonga,female,rural,persons without disability,2018.0
tonga,female,rural,persons without disability,2021.0
tonga,female,national,no breakdown by disability,2016.0
tonga,female,national,no breakdown by disability,2018.0
tonga,female,national,no breakdown by disability,2021.0
tonga,total,rural,no breakdown by disability,2016.0
tonga,total,rural,no breakdown by disability,2018.0
tonga,total,rural,no breakdown by disability,2021.0
tuvalu,female,urban,persons without disability,2017.0
tuvalu,male,urban,persons without disability,2017.0
marshall islands,male,urban,persons without disability,2019.0
vanuatu,female,national,persons with disability,2019.0
vanuatu,total,rural,persons with disability,2019.0
vanuatu,total,urban,no breakdown by disability,2019.0
samoa,total,urban,no breakdown by disability,2013.0
cook islands,male,rural,no breakdown by disability,2015.0
kiribati,male,rural,persons with disability,2015.0
kiribati,male,rural,persons with disability,2019.0
kiribati,male,urban,persons with disability,2015.0
kiribati,male,urban,persons with disability,2019.0
tonga,male,national,no breakdown by disability,2016.0
tonga,male,national,no breakdown by disability,2018.0
tonga,male,national,no breakdown by disability,2021.0
tonga,male,urban,persons with disability,2016.0
tonga,male,urban,persons without disability,2016.0
tonga,male,urban,persons without disability,2018.0
tonga,male,urban,persons without disability,2021.0
tonga,total,rural,persons without disability,2016.0
tonga,total,rural,persons without disability,2018.0
tonga,total,rural,persons without disability,2021.0
marshall islands,female,urban,persons without disability,2019.0
vanuatu,male,rural,persons with disability,2019.0
vanuatu,male,national,no breakdown by disability,2019.0
vanuatu,male,urban,no breakdown by disability,2019.0
vanuatu,total,rural,persons without disability,2019.0
vanuatu,total,rural,no breakdown by disability,2019.0
marshall islands,female,national,no breakdown by disability,2011.0
marshall islands,female,national,no breakdown by disability,2019.0
solomon islands,male,rural,no breakdown by disability,2012.0
micronesia (federated states of),male,urban,no breakdown by disability,2013.0
samoa,female,rural,no breakdown by disability,2013.0
kiribati,male,national,no breakdown by disability,2015.0
kiribati,male,national,no breakdown by disability,2019.0
kiribati,total,rural,persons without disability,2015.0
kiribati,total,rural,persons without disability,2019.0
kiribati,male,urban,no breakdown by disability,2015.0
kiribati,male,urban,no breakdown by disability,2019.0
palau,female,rural,persons without disability,2015.0
tuvalu,total,national,no breakdown by disability,2015.0
tuvalu,total,national,no breakdown by disability,2017.0
tonga,male,rural,persons with disability,2016.0
tuvalu,female,national,persons without disability,2017.0
marshall islands,male,rural,persons without disability,2019.0
marshall islands,male,urban,no breakdown by disability,2011.0
marshall islands,male,urban,no breakdown by disability,2019.0
marshall islands,total,rural,no breakdown by disability,2011.0
marshall islands,total,rural,no breakdown by disability,2019.0
solomon islands,female,rural,no breakdown by disability,2012.0
palau,total,rural,persons without disability,2015.0
tuvalu,male,urban,no breakdown by disability,2015.0
tuvalu,male,urban,no breakdown by disability,2017.0
tuvalu,total,rural,no breakdown by disability,2015.0
tuvalu,total,rural,no breakdown by disability,2017.0
tuvalu,female,urban,no breakdown by disability,2015.0
tuvalu,female,urban,no breakdown by disability,2017.0
marshall islands,male,national,persons without disability,2019.0
marshall islands,total,urban,persons without disability,2019.0
vanuatu,total,urban,persons without disability,2019.0
vanuatu,female,rural,persons without disability,2019.0
vanuatu,female,national,persons without disability,2019.0
vanuatu,female,urban,no breakdown by disability,2019.0
marshall islands,female,rural,no breakdown by disability,2011.0
marshall islands,female,rural,no breakdown by disability,2019.0
nauru,male,national,no breakdown by disability,2011.0
nauru,male,national,no breakdown by disability,2012.0
solomon islands,male,national,no breakdown by disability,2012.0
palau,male,national,no breakdown by disability,2013.0
palau,male,national,no breakdown by disability,2015.0
cook islands,male,national,no breakdown by disability,2015.0
kiribati,total,urban,persons without disability,2015.0
kiribati,total,urban,persons without disability,2019.0
kiribati,female,rural,persons without disability,2015.0
kiribati,female,rural,persons without disability,2019.0
kiribati,male,national,persons with disability,2015.0
kiribati,male,national,persons with disability,2019.0
palau,female,urban,persons without disability,2015.0
