diagnosis_year,sex,20-29 ans,30-39 ans,40-49 ans,50-59 ans,60-69 ans,70-79 ans,80 ans et +,moins de 20 ans
2008.0,femme,8.0,27.0,72.0,82.0,74.0,54.0,45.0,6.0
2008.0,homme,5.0,8.0,27.0,93.0,155.0,122.0,47.0,11.0
2009.0,femme,9.0,26.0,76.0,75.0,88.0,64.0,34.0,5.0
2009.0,homme,8.0,12.0,35.0,91.0,154.0,103.0,47.0,9.0
2010.0,femme,10.0,38.0,70.0,95.0,89.0,66.0,49.0,3.0
2010.0,homme,3.0,12.0,31.0,67.0,166.0,121.0,47.0,9.0
2011.0,femme,10.0,37.0,62.0,90.0,96.0,80.0,33.0,8.0
2011.0,homme,11.0,16.0,34.0,83.0,160.0,111.0,44.0,13.0
2012.0,femme,8.0,30.0,66.0,86.0,104.0,65.0,41.0,4.0
2012.0,homme,5.0,11.0,29.0,78.0,165.0,121.0,46.0,10.0
2013.0,femme,6.0,15.0,78.0,99.0,102.0,71.0,39.0,4.0
2013.0,homme,2.0,13.0,36.0,98.0,150.0,107.0,42.0,6.0
2014.0,femme,13.0,36.0,75.0,84.0,101.0,45.0,41.0,5.0
2014.0,homme,4.0,17.0,40.0,77.0,161.0,134.0,43.0,3.0
2015.0,femme,7.0,32.0,73.0,101.0,106.0,81.0,43.0,5.0
2015.0,homme,5.0,20.0,35.0,94.0,161.0,110.0,39.0,10.0
2016.0,femme,3.0,30.0,90.0,77.0,100.0,83.0,45.0,5.0
2016.0,homme,9.0,21.0,38.0,90.0,140.0,135.0,46.0,5.0
2017.0,femme,6.0,37.0,90.0,99.0,121.0,77.0,39.0,3.0
2017.0,homme,8.0,13.0,46.0,89.0,146.0,140.0,48.0,6.0
2018.0,femme,9.0,33.0,69.0,108.0,129.0,96.0,52.0,4.0
2018.0,homme,5.0,18.0,34.0,81.0,149.0,162.0,45.0,5.0
2019.0,femme,10.0,41.0,88.0,115.0,110.0,87.0,45.0,7.0
2019.0,homme,3.0,15.0,56.0,92.0,146.0,150.0,45.0,6.0
2020.0,femme,7.0,42.0,81.0,120.0,139.0,111.0,45.0,5.0
2020.0,homme,6.0,14.0,56.0,107.0,168.0,158.0,47.0,4.0
