Name,Team,Number,Position,Age,Height,Weight,College,Salary
avery bradley,boston celtics,0.0,pg,25.0,6-2,180.0,texas,7730337.0
jae crowder,boston celtics,13.0,sf,25.0,6-6,235.0,marquette,6796117.0
john holland,boston celtics,30.0,sg,27.0,6-5,205.0,boston university,2839073.0
r.j. hunter,boston celtics,28.0,sg,22.0,6-5,185.0,georgia state,1148640.0
jonas jerebko,boston celtics,8.0,pf,29.0,6-10,231.0,unknown,5000000.0
amir johnson,boston celtics,13.0,pf,29.0,6-9,240.0,unknown,2839073.0
jordan mickey,boston celtics,13.0,pf,21.0,6-8,235.0,lsu,1170960.0
kelly olynyk,boston celtics,41.0,c,25.0,7-0,238.0,gonzaga,2165160.0
terry rozier,boston celtics,12.0,pg,22.0,6-2,190.0,louisville,1824360.0
marcus smart,boston celtics,36.0,pg,22.0,6-4,220.0,oklahoma state,3431040.0
jared sullinger,boston celtics,7.0,c,24.0,6-9,260.0,ohio state,2569260.0
isaiah thomas,boston celtics,4.0,pg,27.0,5-9,185.0,washington,6912869.0
evan turner,boston celtics,11.0,sg,27.0,6-7,220.0,ohio state,3425510.0
james young,boston celtics,13.0,sg,20.0,6-6,215.0,kentucky,1749840.0
tyler zeller,boston celtics,44.0,c,26.0,7-0,253.0,north carolina,2616975.0
bojan bogdanovic,brooklyn nets,44.0,sg,27.0,6-8,216.0,unknown,3425510.0
markel brown,brooklyn nets,22.0,sg,24.0,6-3,190.0,oklahoma state,845059.0
wayne ellington,brooklyn nets,21.0,sg,28.0,6-4,200.0,north carolina,1500000.0
rondae hollis-jefferson,brooklyn nets,24.0,sg,21.0,6-7,220.0,arizona,1335480.0
jarrett jack,brooklyn nets,2.0,pg,32.0,6-3,200.0,georgia tech,6300000.0
sergey karasev,brooklyn nets,10.0,sg,22.0,6-7,208.0,unknown,1599840.0
sean kilpatrick,brooklyn nets,6.0,sg,26.0,6-4,219.0,cincinnati,134215.0
shane larkin,brooklyn nets,0.0,pg,23.0,5-11,175.0,miami (fl),1500000.0
brook lopez,brooklyn nets,11.0,c,28.0,7-0,275.0,stanford,2839073.0
chris mccullough,brooklyn nets,1.0,pf,21.0,6-11,200.0,syracuse,1140240.0
willie reed,brooklyn nets,33.0,pf,26.0,6-10,220.0,saint louis,947276.0
