location,date,precipitation,temp_max,temp_min,wind,weather
seattle,2015-01-01,0.0,5.6,-3.2,1.2,sun
seattle,2015-01-02,1.5,5.6,0.0,2.3,rain
seattle,2015-01-03,0.0,5.0,1.7,1.7,fog
seattle,2015-01-04,0.0,10.6,3.3,4.5,rain
seattle,2015-01-05,0.0,12.2,9.4,2.2,rain
seattle,2015-01-06,0.0,12.2,6.1,1.3,fog
seattle,2015-01-07,0.0,7.8,5.6,1.6,fog
seattle,2015-01-08,0.0,7.8,1.7,2.6,fog
seattle,2015-01-09,0.3,10.0,3.3,0.6,rain
seattle,2015-01-10,0.0,7.8,6.1,0.5,rain
seattle,2015-01-11,1.5,9.4,7.2,1.1,rain
seattle,2015-01-12,0.0,11.1,4.4,1.6,fog
seattle,2015-01-13,0.0,9.4,2.8,2.7,fog
seattle,2015-01-14,0.0,6.1,0.6,2.8,fog
seattle,2015-01-15,0.0,7.8,1.1,3.2,rain
seattle,2015-01-16,0.0,11.7,5.6,4.5,fog
seattle,2015-01-17,0.0,13.3,3.3,2.8,rain
seattle,2015-01-18,0.0,13.9,7.2,2.2,rain
seattle,2015-01-19,0.5,10.0,6.1,2.8,rain
seattle,2015-01-20,0.0,10.0,3.3,3.0,fog
seattle,2015-01-21,0.0,7.2,-0.5,1.3,fog
seattle,2015-01-22,0.8,9.4,6.1,1.3,rain
seattle,2015-01-23,0.0,12.2,8.3,2.6,rain
seattle,2015-01-24,0.5,14.4,11.1,3.3,rain
seattle,2015-01-25,0.0,17.2,7.2,1.4,fog
seattle,2015-01-26,0.0,16.1,6.1,2.2,fog
seattle,2015-01-27,0.8,11.1,8.3,2.0,rain
seattle,2015-01-28,0.0,12.2,5.0,1.8,fog
seattle,2015-01-29,0.0,12.2,3.3,2.9,sun
seattle,2015-01-30,0.0,8.3,1.1,0.8,fog
seattle,2015-01-31,0.0,7.2,3.3,1.9,fog
