Apps,Percentage of US teens using apps,Frequency of Usage
youtube,16.0,almost constantly
youtube,38.0,several times a day
youtube,17.0,about once a day
tiktok,17.0,almost constantly
tiktok,32.0,several times a day
tiktok,9.0,about once a day
snapchat,14.0,almost constantly
snapchat,29.0,several times a day
snapchat,8.0,about once a day
instagram,8.0,almost constantly
instagram,27.0,several times a day
instagram,12.0,about once a day
facebook,3.0,almost constantly
facebook,8.0,several times a day
facebook,8.0,about once a day
