App,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day
Pinterest,288,16,94,0
Facebook,192,14,117,15
Instagram,351,13,120,48
TikTok,21,20,117,8
LinkedIn,241,16,9,21
Twitter,464,3,137,30
LinkedIn,229,1,188,25
LinkedIn,8,19,179,48
TikTok,80,7,14,25
Snapchat,428,6,4,41
Snapchat,52,18,124,26
Facebook,314,18,132,28
LinkedIn,26,17,198,18
Instagram,427,0,110,19
Facebook,434,2,111,16
Twitter,494,10,93,49
Snapchat,32,2,81,8
Snapchat,104,19,3,49
LinkedIn,431,7,14,38
Snapchat,347,16,187,21
LinkedIn,52,19,51,33
Facebook,100,19,42,9
Pinterest,214,9,122,16
Facebook,221,15,127,22
Instagram,280,13,42,15
LinkedIn,355,0,128,38
Twitter,188,3,5,15
TikTok,77,2,192,13
Twitter,337,18,21,44
TikTok,199,5,186,40
TikTok,321,4,136,18
Twitter,119,17,97,3
TikTok,396,10,37,36
Pinterest,112,8,82,21
Snapchat,63,0,86,44
Twitter,108,0,163,40
TikTok,252,3,6,39
LinkedIn,233,15,197,25
Pinterest,180,20,127,3
Twitter,289,20,131,14
Facebook,75,10,19,38
Twitter,51,10,21,9
Facebook,187,20,146,20
LinkedIn,215,10,157,31
Facebook,202,1,64,12
Pinterest,206,11,150,1
Pinterest,295,1,47,23
Pinterest,43,19,16,38
LinkedIn,5,7,38,40
LinkedIn,167,10,33,27
Facebook,78,9,166,22
Pinterest,319,19,170,21
Pinterest,172,2,151,44
Snapchat,485,13,40,24
Snapchat,402,14,41,40
Twitter,215,1,120,10
Facebook,104,20,46,27
LinkedIn,363,7,194,24
Facebook,312,9,96,15
TikTok,39,14,80,32
LinkedIn,260,10,159,19
LinkedIn,379,17,48,44
Facebook,208,15,92,9
Pinterest,341,13,4,41
Snapchat,28,9,53,15
Instagram,407,13,192,18
Facebook,498,16,176,18
TikTok,21,6,38,43
TikTok,474,8,112,7
Instagram,36,20,134,43
Twitter,461,20,156,6
Pinterest,178,18,135,5
Snapchat,361,18,190,48
Pinterest,24,15,31,3
Snapchat,149,4,153,15
Snapchat,250,11,200,13
Instagram,251,19,67,47
TikTok,153,7,107,4
Instagram,394,17,23,7
LinkedIn,344,1,125,10
Instagram,454,10,112,39
Instagram,59,8,96,9
Instagram,289,19,15,33
Facebook,497,4,17,19
Twitter,450,18,142,44
Twitter,74,20,197,12
Facebook,492,17,116,45
Snapchat,156,18,3,14
Twitter,335,10,33,25
Pinterest,114,11,60,39
Snapchat,31,8,143,21
Pinterest,316,12,117,2
TikTok,189,19,111,25
Snapchat,106,20,144,42
Pinterest,227,3,53,13
Pinterest,267,17,192,35
Twitter,36,13,132,16
Snapchat,9,14,117,48
Pinterest,122,1,146,40
