Region,Species,Color,Sunlight,GrowthScore
North,Rose,Red,High,49.43
Central,Rose,Purple,Low,39.85
South,Rose,Purple,Low,23.20
West,Rose,Red,Low,23.29
West,Rose,Purple,High,32.96
North,Rose,Yellow,Low,28.26
Central,Rose,Green,High,54.31
North,Rose,Red,Medium,48.98
South,Rose,White,Low,30.81
West,Rose,Green,High,25.54
South,Rose,Red,Low,32.16
South,Rose,Red,Medium,32.74
North,Rose,Red,Low,15.76
Central,Rose,Yellow,Medium,28.37
West,Rose,Yellow,High,36.32
South,Rose,White,Low,26.09
West,Rose,White,Low,22.63
North,Rose,Red,Low,40.31
South,Rose,Yellow,Medium,49.19
North,Rose,Red,Low,34.79
North,Rose,Purple,Low,24.27
Central,Rose,White,Medium,45.01
North,Rose,Green,High,50.88
South,Rose,Red,High,37.54
Central,Rose,Green,High,46.02
Central,Rose,Purple,Medium,32.74
North,Rose,Yellow,Low,35.07
South,Rose,White,Low,15.55
Central,Rose,Yellow,High,30.27
West,Rose,White,Medium,33.66
South,Rose,Green,Low,15.18
West,Rose,Yellow,High,45.62
Central,Rose,Red,Medium,19.58
West,Rose,Green,Low,28.24
West,Rose,Red,Medium,28.60
South,Rose,Red,High,49.64
West,Rose,Red,Low,28.86
Central,Rose,Red,Low,22.08
North,Rose,Green,Low,17.41
North,Rose,Green,Low,23.41
Central,Rose,Yellow,High,38.64
South,Rose,Green,High,36.60
North,Rose,Purple,High,41.20
Central,Lavender,Yellow,Medium,38.86
Central,Lavender,Yellow,Low,16.70
West,Lavender,White,Medium,34.04
North,Lavender,Green,Low,19.49
North,Lavender,Yellow,Medium,51.31
South,Lavender,Yellow,Low,23.75
Central,Lavender,Red,Low,27.58
West,Lavender,Red,High,40.53
Central,Lavender,Yellow,High,27.89
Central,Lavender,White,Low,30.68
South,Lavender,Yellow,Low,16.00
North,Lavender,Purple,High,50.48
South,Lavender,Purple,Low,12.23
West,Lavender,Red,High,39.28
Central,Lavender,Green,Medium,40.64
Central,Lavender,Purple,High,44.91
Central,Lavender,Purple,Medium,28.82
West,Lavender,White,High,28.61
Central,Lavender,Green,High,34.01
South,Lavender,Red,Medium,26.59
South,Lavender,Yellow,Medium,41.30
South,Lavender,Red,Medium,37.56
West,Lavender,Green,Low,30.96
West,Lavender,Purple,Low,13.67
South,Lavender,Yellow,Low,44.51
West,Lavender,Yellow,Low,26.68
Central,Lavender,Red,Low,25.77
North,Lavender,Yellow,Low,34.33
Central,Lavender,White,Medium,40.32
Central,Lavender,White,Medium,4.91
North,Lavender,White,Medium,39.58
North,Lavender,Green,Low,28.49
West,Lavender,Purple,Medium,40.12
South,Lavender,Yellow,Medium,28.75
South,Lavender,Purple,Low,23.06
South,Lavender,Green,High,28.00
Central,Lavender,Red,Medium,39.26
Central,Lavender,Red,Low,27.60
West,Lavender,Purple,High,45.97
South,Lavender,Green,Medium,43.26
South,Lavender,Yellow,Medium,38.24
South,Lavender,Yellow,High,49.28
Central,Lavender,Purple,Medium,30.52
Central,Lavender,Green,High,47.45
West,Lavender,Yellow,High,54.68
West,Lavender,Green,High,53.00
West,Lavender,Red,Low,37.64
West,Lavender,Green,Low,39.65
North,Lavender,Green,Low,19.46
South,Lavender,White,High,30.77
West,Lavender,Red,Medium,46.06
Central,Lavender,Purple,High,51.96
West,Lavender,Purple,High,37.60
South,Lavender,Yellow,High,44.04
West,Lavender,Green,High,45.19
North,Lavender,Green,Medium,57.14
West,Basil,Yellow,Low,22.63
South,Basil,White,Low,29.72
West,Basil,Green,Medium,27.30
South,Basil,Purple,Low,36.28
West,Basil,Yellow,Medium,26.33
South,Basil,Purple,High,40.30
North,Basil,Green,High,30.86
South,Basil,Red,Medium,28.71
Central,Basil,Green,Medium,59.59
West,Basil,White,Medium,44.22
Central,Basil,Yellow,Medium,41.15
South,Basil,White,High,43.23
West,Basil,Purple,High,47.90
Central,Basil,Red,Medium,33.88
North,Basil,Green,High,29.02
West,Basil,Red,Medium,41.93
West,Basil,Purple,High,47.59
West,Basil,White,Low,16.43
North,Basil,Purple,Low,27.33
South,Basil,Yellow,Medium,44.49
West,Basil,Red,High,49.61
Central,Basil,Green,Medium,34.72
South,Basil,Red,Medium,40.57
Central,Basil,Yellow,Low,24.91
South,Basil,Yellow,Low,31.89
West,Basil,Purple,High,26.12
North,Basil,Green,Low,42.02
Central,Basil,White,High,43.80
South,Basil,White,Medium,38.53
Central,Basil,Red,Medium,30.81
South,Basil,Green,Low,18.29
North,Basil,Purple,Medium,24.51
North,Basil,Green,Low,15.71
North,Basil,Purple,Medium,36.76
North,Basil,White,Medium,41.32
West,Basil,Red,Low,11.51
North,Basil,Yellow,Low,24.78
North,Basil,Yellow,High,62.56
Central,Basil,Green,High,61.72
Central,Basil,Green,Low,24.99
North,Basil,Red,Medium,49.57
West,Basil,Purple,Low,30.46
Central,Basil,Red,Low,23.62
North,Basil,Yellow,High,61.80
Central,Basil,Green,High,31.26
South,Basil,White,Low,14.15
Central,Basil,Green,High,43.69
Central,Basil,Yellow,Low,39.85
West,Basil,Purple,Low,24.51
South,Basil,Purple,Low,31.17
