fuel_type,transmission,owner,kilometers_driven,new_price,price
Diesel,Automatic,Second,190494,24.38,11.87
Diesel,Automatic,First,89534,11.81,2.78
Diesel,Manual,First,88257,24.2,18.28
Diesel,Manual,Fourth & Above,167249,13.81,22.52
Diesel,Automatic,Second,170595,31.81,22.8
Diesel,Automatic,Fourth & Above,81088,25.27,14.09
Diesel,Manual,First,23780,14.84,4.65
Diesel,Automatic,Fourth & Above,103664,26.86,7.17
Diesel,Automatic,First,103326,23.06,8.08
Diesel,Manual,Fourth & Above,50953,31.25,22.93
Diesel,Automatic,Second,64195,24.18,18.22
Diesel,Manual,Third,164648,10.42,20.55
Diesel,Automatic,Second,35464,30.32,13.73
Diesel,Manual,Second,134997,20.03,2.6
Diesel,Manual,First,45440,27.28,10.66
Diesel,Manual,Third,134206,31.04,2.69
Diesel,Automatic,Fourth & Above,143059,16.16,6.99
Diesel,Manual,Third,52946,30.28,16.78
Diesel,Automatic,Third,197633,12.61,20.22
Diesel,Automatic,First,65798,13.7,7.33
Diesel,Automatic,Second,86996,8.24,6.89
Diesel,Automatic,Second,40266,33.41,4.88
Diesel,Manual,Fourth & Above,15898,18.58,14.92
Diesel,Automatic,First,127192,18.23,15.48
Diesel,Manual,First,182646,32.15,14.74
Diesel,Manual,Third,93639,20.88,20.57
Diesel,Manual,Second,104881,12.35,3.24
Diesel,Automatic,First,195782,23.2,16.59
Diesel,Manual,Third,96567,24.03,19.77
Diesel,Manual,Third,85886,25.27,9.47
Diesel,Manual,First,175289,26.36,22.7
Diesel,Manual,First,30884,9.53,3.15
Diesel,Automatic,Third,57111,16.78,11.92
Diesel,Automatic,Second,69993,34.0,21.54
Diesel,Manual,Third,138652,8.65,12.07
Diesel,Automatic,Fourth & Above,88672,25.99,23.95
Diesel,Automatic,First,76125,32.05,19.79
Diesel,Automatic,Second,75333,18.72,9.94
Diesel,Manual,Third,19460,10.96,20.94
Diesel,Manual,Fourth & Above,152867,16.22,7.34
Diesel,Automatic,Second,117205,30.88,21.22
Diesel,Automatic,Third,85139,28.64,16.16
Diesel,Automatic,Fourth & Above,68829,21.1,12.4
Diesel,Manual,Third,24719,22.27,6.81
Diesel,Automatic,Fourth & Above,34042,18.6,17.87
Diesel,Manual,Third,28019,22.61,13.95
Diesel,Automatic,Fourth & Above,121023,30.48,15.43
Diesel,Manual,First,136278,25.59,10.67
Diesel,Manual,Fourth & Above,179024,19.16,8.36
Diesel,Automatic,Third,178735,14.92,3.73
Diesel,Manual,Fourth & Above,119708,9.99,16.14
Diesel,Manual,Third,189001,14.01,21.26
Diesel,Manual,First,19343,28.21,6.22
Diesel,Manual,Fourth & Above,180863,23.32,13.81
Diesel,Manual,Fourth & Above,67530,17.53,13.93
Diesel,Automatic,Third,154771,18.47,23.25
Diesel,Manual,Second,60113,31.72,21.6
Diesel,Manual,Fourth & Above,176258,11.59,24.3
Diesel,Automatic,First,174841,9.34,6.04
Diesel,Automatic,Third,63218,15.12,17.15
Diesel,Automatic,Third,29229,9.76,24.44
Diesel,Manual,Third,199073,16.81,23.48
Diesel,Automatic,First,65468,32.24,21.82
Diesel,Automatic,Second,20589,33.65,2.11
Diesel,Automatic,First,108300,33.64,9.61
Diesel,Manual,Second,51247,12.47,12.71
Diesel,Manual,Third,199651,8.68,7.28
Diesel,Manual,First,80442,11.92,14.18
Diesel,Manual,First,68819,9.2,4.19
Diesel,Automatic,Fourth & Above,53461,21.92,2.21
Diesel,Manual,Fourth & Above,181541,27.51,16.96
Diesel,Manual,Second,30435,27.56,10.62
Diesel,Automatic,Fourth & Above,172793,15.65,15.15
Diesel,Manual,Fourth & Above,143195,33.23,16.55
Diesel,Manual,First,122752,14.81,19.03
Diesel,Automatic,Third,166488,15.03,12.27
Diesel,Automatic,Fourth & Above,95166,34.99,15.11
Diesel,Automatic,Third,56335,8.06,24.1
Diesel,Manual,Second,173052,12.43,16.21
Diesel,Manual,Second,60772,13.3,24.58
Diesel,Automatic,Fourth & Above,96700,14.82,13.41
Diesel,Automatic,Third,106758,26.88,23.95
Diesel,Automatic,Third,138447,25.41,6.73
Diesel,Manual,Second,15695,19.09,9.17
Diesel,Manual,Fourth & Above,188296,24.07,12.78
Diesel,Manual,Third,70410,16.13,11.73
Diesel,Automatic,First,100895,28.97,2.39
Diesel,Automatic,Fourth & Above,110649,10.88,2.19
Diesel,Automatic,Second,145994,10.87,17.06
Diesel,Manual,Second,127018,13.39,4.38
Diesel,Manual,Fourth & Above,145758,9.62,4.96
Diesel,Automatic,Fourth & Above,22205,23.31,11.4
Diesel,Manual,Second,164599,18.75,17.93
Diesel,Manual,First,38202,29.57,21.45
Diesel,Manual,Second,187214,22.11,23.74
Diesel,Manual,Second,35095,11.57,16.96
Diesel,Manual,First,104837,21.32,22.89
Diesel,Manual,First,130589,28.61,13.11
Diesel,Automatic,Fourth & Above,76630,23.03,12.98
Diesel,Automatic,Fourth & Above,114428,19.1,20.02
Diesel,Automatic,Second,132035,20.43,11.93
Diesel,Automatic,Second,79518,19.68,3.79
Diesel,Automatic,Second,32692,34.74,15.06
Diesel,Automatic,First,164934,27.97,23.51
Diesel,Manual,Fourth & Above,140035,14.69,21.98
